,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,0.003025405722728465,0.004022072481457144,0.002813101977808401,0.019326814624946564,0.005394406682462431,0.008395813719835133,0.0015545470201323041,0.010050605420256034,0.01139019891154021,0.0034237567309173757,0.004112369437643792,0.001353397033381043,0.05227627590298653,0.004759426383534446,0.01318606867454946,0.009526952335145325,0.0027308158102096057,0.012751158197643235,0.0033987271014484575,0.009178527647745795,0.004141456134384498,0.0020625795918749646,0.004151942614116706,0.03167712597176433,0.0019176354086084756,0.008413407331390772,0.0019347934474353678,0.004323539963224903,0.0022178472418454475,0.03863165026530623,0.013367253001779317,0.003735802274895832,0.006104198112734593,0.009740810201037675,0.025621728317346423,0.02127818892709911,0.015603952538222075,0.003179207427892834,0.0056537359743379055,0.006166924349963665,0.014858478548703716,0.0008640857196587603,0.005631664716929663,0.006522522829473018,0.013064752514474094,0.002270399033732247,0.0016375204148062039,0.004188452334201429,0.004526909897977021,0.0019423777558404253,0.002240880820027087,0.03656034615822137,0.006846712339029182,0.0019954121924820357,0.015549634746275843,0.0036745534918736665,0.008802922053728252,0.01923049058765173,0.005313206533319317,0.0014373502830858343,0.00011538241684320382,0.002463756127690431,0.02207373349723639,0.005566276280442253,0.0044140230078483,0.004750141091644764,0.005297149604011793,0.020691364179365335,0.0025093616437516174,0.004597003174130805,0.003739302601898089,0.0021323937338456746,0.002336605891759973,0.0130834370321827,0.0008257767473696731,0.003650015183375217,0.0024965397559572012,0.02202677771449089,0.008460062966914848,0.012658394599566237,0.004854048031847924,0.009044822998112068,0.002809527993958909,0.0008875573099066968,0.001957665096560959,0.0007316675187030342,0.004837961166049354,0.0019295433850493283,0.0017063453070295508,0.001980852249544114,0.0013747199301724323,0.0021276212041266263,0.01286116377916187,0.0005742599103541579,0.0033959434236749074,0.0053928701533004645,0.013187145818956197,0.004785679496708326,0.005746534315403551,0.01304755583871156,0.003431792156479787,0.00268984086207638,0.0163350767781958,0.0013902606425108387,0.007302455204771832,0.009282448712619953,0.004018584783188998,0.005561746010207571,0.005034177414490842,0.005516952831530943,0.002012271734129172,0.003979647786763962,0.04573896611109376,0.008668280647834764,0.009993344019167126,0.002008487287675962,0.01084386430797167,0.0034567748077097347,0.0057130265235900875,0.0049960150028346105,0.007420248800190166,0.006747825240017847,0.003184995110204909,0.007925548733910546,0.008756329948082566,0.014201092403382062,0.006153430994309019,0.0007657635248324368
layer_1,0.016516965976916254,0.007582566553610377,0.000919814127846621,0.007943627132335677,0.005670733358711004,0.033386036036536094,0.0019566533219767734,0.0034193835250334813,0.008894443575409241,0.018500548377633094,0.008004475336056202,0.004318896189215593,0.02356698939576745,0.001310256895085331,0.009263226395414676,0.0005973525515582879,0.0013971120401402005,0.020764513718895615,0.005178857682039961,0.0029629612260032444,0.017390517401508987,0.005281087643234059,0.0018488020736549516,0.0010376401935354807,0.0017127439386968035,0.0034160472988151013,0.002101037599641131,0.0014888220553984865,0.002086120499734534,0.004380677262088284,0.00036155873276584317,0.015781564697972497,0.05522251203656196,0.004375921873142943,0.004043720573972678,0.010478395653190092,0.013034071931615472,0.0063643909356324,0.0076321321100112985,0.009542543779534753,0.0036915047868387773,0.00017782963230274617,0.0006547093388508074,0.006231756628258154,0.011265787795418874,0.0020440732454881073,0.0036964067845838143,0.03445389229804277,0.00934345657180529,0.0005892093098373152,0.0009280562435742467,0.0020954133407212793,0.0010677695521735587,0.0030802078935084866,0.01719646029639989,0.0013198700670909603,0.007157042800099589,0.006169154420640552,0.0024838534503942356,0.02292314577847719,0.005090433233417571,0.012402580959023907,0.0016803086501022335,0.000252256855746964,0.015998403672128916,0.01349490243534092,0.016723137012450026,0.00033835945243481546,0.0016618049397948199,0.003813786750251893,0.0027907434484222902,0.003106019842089154,0.007057818067260087,0.0005758796226291451,0.0009741618736006785,0.0020998398770461792,0.003995621251524426,0.00021673009752703364,0.0029134568369772753,0.004743496673181653,0.0016831411709426903,0.012180103276623413,0.00612329543044325,0.0040477211930556225,0.012807855629362166,0.0157760688487906,0.008572153463028372,0.005467970836907626,0.0025443989456107375,0.008533815395203419,0.004056569303502329,0.007618030681042001,0.003070344356528949,0.00594912268803455,0.006438950833398849,0.0020724620966939256,0.002419122268911451,0.0054778763919603075,0.009876132867066189,0.0038469795032870023,0.025492349248379467,0.008743927616160363,0.020361471120268107,0.004088656521344092,0.02479607648216188,0.0024898304595262744,0.026409799075918273,0.004171315501153004,0.011975641595199704,0.004123050503549166,0.014547166572883725,0.01841805928852409,0.012945924231316894,0.008709520630072803,0.007199427747400478,0.003318720827519428,0.006139376541832462,0.0035868326349009294,0.014734312267974019,0.010230770641937852,0.004706264377455227,0.0023317707912065087,0.00403149202815257,0.02448043822310865,0.006722163879312575,0.004520403437200002,0.00115723874696414,0.004777816175483167
layer_2,0.0063365518851787785,0.019027855931781232,0.010614312232937663,0.00861593776382506,0.004774761176086031,0.021822829055599867,0.008796959610190242,0.009389607249759138,0.0007511368436098565,0.0007947203854564577,0.006385283147101291,0.013139052396873012,0.012499301420757548,0.0024456399836344646,0.0011694573372369632,0.0013710653212910984,0.014764551594853402,0.0053811688674613835,0.010465664390940219,0.0051030825125053525,0.005201855743071065,0.012934546367032453,0.015705610980512576,0.012744675341527909,0.003501495418313425,0.01106925642292481,0.008989153411239386,0.012773620582884178,0.0019453272146347444,0.005860888287425041,0.004965698114247062,0.011853557471185923,0.012251071736682207,0.005819619743851945,0.0120614122482948,0.018191374274902045,0.028307607313618064,0.07994851175695658,0.002690985408844426,0.005119235623278655,0.0034547318663680927,0.003834029754216317,0.02282612244132906,0.002608421217300929,0.0073360788251739,0.000967239666642854,0.0020505661086644977,0.007248543797759339,0.005211198686156422,0.013617254188284278,0.0047065211975132115,0.0001314787706360221,0.010056283761223313,0.008376555820577778,0.001628057541383896,0.005877621616818942,0.017812743475660683,0.0032044325867900624,0.0035198857862269507,0.0014793991870828904,0.0027317824159399607,0.005680573149584233,0.0013171159027842805,0.004121222372050397,0.0012716467477730474,0.00099922717170557,0.005126864464837126,0.00559008180454839,0.001674581691622734,0.006982913802203256,0.006771662395913154,0.0041021492413710805,0.007144785904092715,0.0012504561332752928,0.004027464847022202,0.006432926267152652,0.011555442535318435,0.003031752815586515,0.0033080245926976203,0.019368399400264025,0.014491291297599674,0.004501635562046431,0.004356630431720987,0.00947615563753061,0.0021186979103367774,0.04331934742629528,0.002043081059528049,0.0020301752811064944,0.0030001789098605515,0.0009865613453439437,0.0029190632147947327,0.0064313144487095995,0.00730921084410511,0.010492326760431752,0.006531422077096068,0.005755101006943732,0.01121922017307952,0.0024676567106507717,0.008503253404051066,0.002800661961664446,0.002731609002512414,0.0023316222883295267,0.036468904810026286,0.006714853979647159,0.002401142787421122,0.000548231455613859,0.004439766914001666,0.0058761395269539204,0.004766145516186953,0.0032277005069772714,0.016005883766338228,0.006442209696979262,0.005647270819172263,0.0018070816027466207,0.008906943034380674,0.004307583672343753,0.007338877586880699,0.005775494191329927,0.020139081673696636,0.0016486460654414259,0.0032637559963040984,0.0006324182044772897,0.0019248884059197735,0.005381736125564203,0.0016328194475499914,0.0006107345219061245,0.01101624861243181,0.013234607412014156
layer_3,0.005974388534668833,0.006069502754253335,0.006824262188747526,0.013222114485688507,0.0014491073600947856,0.004109153081953991,6.453674701333512e-05,0.0006659508754091803,0.012190201836638152,0.001967413640813902,0.00038391996677091813,0.004704800512117799,0.002593596686856472,0.0037834845631732603,0.003222471814660821,0.0025486945363809355,0.0008385459388955496,0.009237366986926645,0.011886906783329322,0.0036039660073583944,0.009273422664264216,0.003293226941023022,0.0007120172116265167,0.0029616776559851133,0.021487723514437677,0.0006747096905019135,0.0029823766375193374,0.044804457779973744,0.009315811737906188,0.011958543494693004,0.0025481169982231222,0.0001156539026851533,0.003299224805959966,0.006110542585374788,0.004233010975876823,0.01966852951794863,0.004982451848918572,0.003162657686625607,0.00447018420585664,0.0013907444415963254,0.002203271881735418,0.001697093617694918,0.0032626536895986645,0.028680860670283435,0.004433875346439891,0.013353652069927193,0.006244448302313685,0.006359583010198549,0.006124252689769492,0.016139991509262472,0.0010907837646664121,0.005971046228078194,0.003090197818237357,0.0019590982282534242,0.0005592076716129668,0.0014245977297832723,0.0014067107377923093,0.008144410230452195,0.028696246007457377,0.0023104859913291877,0.002294869272154756,0.013275508324149997,0.0022908622858813033,0.029362436905503272,0.0012824104476021603,0.0021010727663815488,0.0035023969440953805,0.005993592363083735,0.004436998259043321,0.00474687336361967,0.008390599960694089,0.002621912957401946,0.01960003702202812,0.006180892963311635,0.002164277078845771,0.0019313133705873042,0.005545251796138473,0.015405475142179057,0.002148252441838849,0.004076870870776474,0.008480959372827784,0.005690285883611068,0.0012500063207698986,0.0007222329515207093,0.013202273371862248,0.026640738416463135,0.0011646052279684228,0.0060692502791062,0.032255095914006236,0.0016160172504896763,0.002457062148023397,0.0038982336953631604,0.011329064525198192,0.0053412578455754554,0.0025742314537637867,0.06664729647338391,0.0010080421171733177,0.0010947874761768617,0.0020783798056072554,0.005839538602158427,0.015126357418484986,0.00495519645162858,0.019957734919153154,0.0024515484081348406,0.012684192229644396,0.009595112788956613,0.0013993186809238979,0.007059694349300117,0.0012462337760371157,0.005962719876552,0.016901892069727184,0.0028151783859357237,0.005849102608626708,0.06484693292528391,0.005294547214871273,0.004625008812290617,0.004735416051698848,0.0016272134058817756,0.002167340368614532,0.014317961042979731,0.013369859368540347,0.004396165779035073,0.01336277547175996,0.002747363326488994,0.0030043092244886795,0.002207451451686211,0.012657316713593901,0.01198423456051387
layer_4,0.0027495740007725546,0.0014720003024558538,0.029959288178943097,0.008007440320216119,0.01118638446147088,0.02414462042041123,0.00544605158851482,0.003537176456884481,0.0004055759961192962,0.004417589817894623,0.006552300695911981,0.029361737767467276,0.005441738172085025,0.02749759195605293,0.0122748371376656,0.06941127659752964,0.004579544409061782,0.0018934248099685648,0.031359929074533284,0.003595232954248786,0.002731334108975716,0.017339091803878545,0.0013629406852123792,0.006730928289471194,0.02379778984002769,0.0015787292475579306,0.0032536302544758657,0.007948980145156383,0.0217825311049819,0.005217360018868931,0.0042621976480586455,0.021125226537697016,0.0023096337402239444,0.03032510501332581,0.0038971001835307107,0.007087957361945883,0.0253702529752627,0.002719311501059565,0.01753002269368153,0.0012261553067946806,0.0006650579709094017,0.000537686511670472,0.001707522175711347,0.006237506647594273,0.0022849995392607526,0.002350702036928851,0.0006004521312570432,0.0005835029693844262,0.016434800452552734,0.030919239250943066,0.010196691997116432,0.0008453610456490424,0.0006597743902239017,0.0028470613347599282,0.008989046895876526,0.0007637758420605678,0.0019720655705896205,0.007193365154089406,4.5624282720382325e-05,0.008291151958983391,0.006603841126197949,0.001510538580478169,0.005150730900932103,0.002438557846471667,0.0011506735809962264,0.004493179440032691,0.02451020791893825,0.0009394214321946493,0.0012050457450095565,0.0030095633480232207,0.0028892227448523043,0.020404800334945322,0.018158687993418424,0.00023300607208511792,0.0036304489031317643,0.001982362760754768,0.001287695223581977,0.0005793828755849972,0.0008382839505793526,0.0025755934332846665,0.004387858080444857,0.00584783612168394,0.0053367990222614025,0.0010455689411901403,0.012140586122404784,0.0005495114014775026,0.001670888101652963,0.00300408356502885,0.00652037155276048,0.005722361624939367,0.0023831576836528257,0.004374034206266515,0.01217624316108413,0.005272256167372689,0.005093301142915152,0.007798350601224229,0.001045321215642616,0.0008185857028001919,0.0009399391579790972,0.00701267151045613,0.006328631632495672,0.05652675257995725,0.0012193996913265437,0.002721889335953165,0.002633944966364652,0.0018209194540395402,0.0001425086653762264,0.0005386606845422648,0.017650553460698576,0.04396605113521218,0.006783844523597509,0.0016345361262210644,0.000736649717000546,0.011019316692836583,0.0005961632973048837,0.0008413520561589393,0.0007623777340631932,0.007364518606336788,0.0023572522238828244,0.001754665344778914,0.00033579617869690994,0.0018639333851751872,0.0032239156290597747,0.009323078480083496,0.006226638682419434,0.004565854049869813,0.0032097876566695048,0.012098339886870235
layer_5,0.01140438134316355,0.0015209409745875746,0.0030693266619346102,0.0021420047956053167,0.004440125303808599,0.001612277743552113,0.024540480207651854,0.03619937582872808,0.004009143695002422,0.004383734721923247,0.008696482675150037,0.0009649369084218051,0.0010447242480586282,0.0007016478138393722,0.06671002557501197,0.007117530314717442,0.0011743305846175646,0.008046901286579668,0.005937948169594165,0.002327389100391883,0.006732253677328117,0.0013748542685061693,0.003210260796768125,0.005570523653004784,0.0003933653795684222,0.011149036306887865,0.009775376587640494,0.013078821052331477,0.011806193171069027,0.009867576118558645,0.00022834776151285042,0.003070523787027923,0.00389819253818132,0.0026839223894057794,0.0014766425025300122,0.023067872691899537,0.0051571472693467514,0.0003338075261854101,0.00044964963213715235,0.006197471514460631,0.0063980408944189545,0.0035688707674853505,0.002281699621526059,0.014567798250354827,0.10059379905462265,0.014292886551702395,0.004387743527768179,0.0017415943217929453,0.008470524486619979,0.000605754975695163,0.008072902974672615,0.005957066458067857,0.006590802945429459,0.05810656106099486,0.006975103167351335,0.0007785860289004631,0.001955920844920911,0.025891052996739744,0.006110153212212026,0.0009501084641669877,0.0005536015024699736,0.0001605326092976611,0.0029425867141981144,0.0013269868100178428,0.0017682275295373983,0.007995436758210416,0.0001402368206618121,0.003240963809512323,0.000898900569009129,0.010490539176389575,0.004054761800216511,0.003121047601889586,0.0007326641077816021,0.006162192999618128,0.03284364309161902,0.006194482140708715,0.00424692363027134,0.008150378798600286,0.0010396124202816282,0.01015208811921184,0.004921837156871334,0.0006177685320290038,0.0050763813295634464,0.0007200709643075243,0.013851964706555009,0.011954104246105999,0.013751135235652327,0.0037724566395627335,0.006261810220894404,0.002239746064879,0.0011601549619081198,0.0012265726859914138,0.01082740877987817,0.006467966829659417,0.0010923395783174782,0.0040590785551466975,0.005367779800435528,0.005560084175085649,0.029542404813691973,0.001752622326312121,0.0029656629665987568,0.0018762890422658529,0.003524431042606011,0.0038776373991277068,0.02331162376329303,0.0005661587548092939,0.0013967439808766358,0.0038232277520000935,0.0010526230155664962,0.008916035454021767,0.0003234576551039936,0.0008555096919008065,0.00092981290705211,0.004754383062536362,0.007002732255496085,0.009635003501316533,0.0020516245742328463,0.0059703723684651775,0.005702159941429272,0.0067345023259986194,0.0023215192212956027,0.028626521648839116,0.006647555706149433,0.003464507606695406,0.01841019233223051,0.0009002592577598989,0.00521836289903149,0.008830400201259182
layer_6,0.007178064123145304,0.07468008428812027,0.007065858723071869,0.01367412246647291,0.0015617598388780608,0.014967597075738012,0.014742429915349931,0.013268666686490177,0.00390406753111165,0.00042371801697299816,0.002214976565737743,0.0019380198902217672,0.0006690652150427922,0.0015239889750955627,0.0011176498032727977,0.010609646956436337,0.0394047855399549,0.0008382474374957383,0.01727099304436706,0.002359498741716379,0.01573739026207477,0.002451703011174686,0.006135422950028442,0.00021471168663993013,0.0018339605710934847,0.0009749394244863652,0.001531398359220475,0.02011993860185612,0.00046445865227724427,0.03572659093886614,0.003327243099338375,0.009554115751525387,0.0026431605365360156,0.008422080354648642,0.00233056498283986,0.0024479740763490554,0.0010590059093374294,0.0039011655771173537,0.0015424752020044253,0.00021355276730901097,0.029601114988327026,0.001951127914362587,0.0025925907961209305,0.002672625994309783,0.008808782347477973,0.012012699856422842,0.00027920171261939684,0.0009575700380082708,0.0029348052552086302,0.0014718282982357778,0.004454121418530121,0.0018856374025926926,0.0023426316783297808,0.002093009892851114,0.001979766174190445,0.001533063430833863,0.0037240174401085824,0.005970042788540013,0.004295726437121629,0.004607234162976965,0.018115136970300226,0.00015719412149337587,0.05063551190774888,1.3837032238370739e-05,0.0028547964358585885,0.001440809875202831,0.026917036285158246,0.0048985987901687626,0.006653153690858744,0.014183994540944695,0.0017604099950403907,0.0021554704912705347,0.0038863645907258617,0.012410426525166258,0.05042648060247302,0.00011465516116004437,0.03558172657154501,0.0018668831954710184,0.001297451313585043,0.0016496539110084996,0.0045947906354558655,0.01258163551799953,0.013494207188487053,0.002349216788134072,0.004323418356361799,0.0019788014005462174,0.022501260980498046,0.000586749447247712,0.005562601701531094,0.00031040484391269273,0.0008576243947027251,0.014992139721289276,0.010501763503998517,0.000309116768403328,0.0008734979780274443,0.01746239486616105,0.00035814859911624807,0.002476535868481733,0.005023424706887453,0.0037283300928538667,0.0021849410800496116,0.023208689896855504,0.008710795310907998,0.012683981435839087,0.012093116766773165,4.626237714546733e-05,0.0058311316173058,0.00402332644443959,0.011219546013744548,0.011837193632964045,0.0029194201520294882,0.02502497615525499,0.0011893940769368782,0.005083110272535123,0.00022183664914336986,0.00031571043211442884,0.010925637185864616,0.0005405450118996668,0.0027590992083423773,0.025985661689192058,0.0011932135562528856,0.0012370711355470122,0.013330328954325524,0.0022171157562115695,0.00047774601771379823,0.0006349027440592181,0.004614154729060829,0.0013816707041405607
layer_7,0.008493887522490695,0.0011841003330482637,0.0033250561833847313,0.003849039513734169,0.0015418245474575088,0.0004654474814742571,0.0006071066328149755,0.007728623296134174,0.0015631647501140834,0.013539174613542855,0.0006976420275168493,0.003975532541080611,0.0005848718039487722,0.023980169144342655,0.00010176544070418458,0.006159897572943009,0.012705578523455188,0.043765316884964704,0.002794171010609716,0.011177542204968631,0.0014182132264249957,9.051620865648147e-05,0.0019468924388638697,0.025912025347352027,0.003524569794535637,0.006022333491710014,0.002482439331652131,0.000824944935448002,0.000999512224807404,0.0053041160723660144,0.034626448126509786,0.0024577229720307513,0.008733294971752912,0.00010729321409598925,0.01011620405712165,0.007432425277074799,0.00545283779152669,0.011713887765072286,0.0010849718357349048,0.003328672862844542,0.0005614754871930927,0.026240744949318467,0.012889010740909725,0.004193814708269201,0.00741097925521899,0.0032756514751235955,0.008602004406857305,0.0036708576801174784,0.0012967159796971827,5.310635548084974e-05,0.001003115653875284,0.0014035683921247255,0.0020580205184523945,0.011195841818698682,0.002893913373409305,0.0051756559766363355,0.019342134150210768,0.008932288533542306,0.005235518546833191,0.0007890310588118155,0.003564552407478914,0.0001944161870778771,0.0007194714569777716,0.012579535053810105,0.03174394732923247,0.023753680847585203,0.0010004653103533202,0.004813435296528041,0.000911678410921013,6.913703531608916e-05,0.0028695384971797466,0.011427085910690948,0.0005295913408190245,0.0004484063957352191,0.0038987028581323104,0.0024721417532418853,0.0023426282903528774,0.014372499319724738,0.0028479978798714002,0.004935571040841751,0.008106265974929557,0.002264517419389449,0.022730579790659247,0.0886719211935997,0.0002850643651618157,0.0018118708732072263,0.0035436445855884812,0.0016730622653267347,0.0006847870227647946,0.005057997893891298,0.014302382469177246,0.006097149108536541,0.05632656479254365,0.0005884413239255081,0.0064217692473903295,0.0008605226034705993,0.0015470391121925786,0.0026137500180630014,0.01450815036892891,0.0036089898698264734,0.0019445739692309871,0.000670774089085171,0.002058351111772936,0.00902332603756804,0.004575305632897653,0.0007075694313971325,0.007566331533598714,0.06321077509783209,0.0008026504584995564,0.003415543459705077,0.0009296210338652599,0.011534952255897225,0.0007652890072495211,0.010154818086884915,0.012275418334174901,0.002122577245172579,0.0018832226929953323,0.005753183304914273,0.0060692122112959625,0.004980271945823915,0.0037346879643155263,0.00014932774858607444,0.03378832649439573,0.0026184764003846796,0.003857323684205767,0.0019428625641739927,0.012662332283798605,0.015561310288030655
layer_8,0.00019881170926964843,0.011096021262928843,0.0021813174280396197,0.003862728958192747,0.010863179652951659,6.080322491470724e-05,0.001089844112866558,0.0022560241544852034,0.0018828699672303628,0.0028505903820041567,0.006880789968417958,0.0065035282773897056,0.0013175939150096383,0.0005008353545417776,0.001590709345327923,0.005109398891800083,0.0028438507445389407,0.001121836228412576,0.007189801126951351,0.001677882203948684,0.019386091567575932,0.06922076806426049,0.003206488857977092,0.04868189748376608,0.0006900149452849291,0.004398553133942187,0.0023661954885756133,0.003482457957579754,0.002225574554904597,0.012377687788102776,0.0006949457016889937,0.003415114235249348,0.00017372295231325553,0.0025108052320138084,0.009019535678671673,0.00014999115417595023,0.0033625766646582633,0.0001358493770385394,0.026007141387090087,0.0033114979942911304,0.0020579252231982537,0.018295224774628877,0.0015893536384101025,0.040372548857703805,0.0019308584308600984,0.0009535583412798587,0.008401569963898509,0.0032897661793685985,0.004654777099203784,0.01889716263511218,0.006902309842407703,0.0006020164358778857,0.0023055336208199152,0.0030879443741287107,0.0023040060329367405,0.002496383973048069,0.004119185967283556,0.0020654745528008787,0.05805504125542939,0.0016334486394771375,0.003514282158575952,0.0019699277929612433,0.0015102039897465147,0.005565839767805301,0.006411085316794924,0.0016553837797255255,0.007098720822832547,0.01892870962677989,0.01642036115459632,0.002589309072936885,0.00525221608026186,0.03303231282159686,0.00852339134318754,0.02158566447906196,0.0018127847262076101,0.0016946854861453176,0.004384792612981982,0.0004289530598180136,0.04238597558811307,0.00011783035966800526,4.473280190723017e-05,0.02418607896193862,0.0024620324473653456,0.0022444685263326393,0.0004903531432501041,0.0031332923629088325,0.00017837316139775793,0.0014102905999607174,0.009820516644977033,0.006667565287207253,0.0006864765980571974,0.0015941183586255646,0.0014451154829293955,0.0007088416743499693,0.01756079580169171,0.0011229849669325631,0.002811181161669083,0.006649956495966763,0.004890606053522788,0.0011442126557813027,0.0003471810126211494,0.00432345278619323,0.007280960513744503,0.001654614947765367,0.004420632129185833,0.00016120363616209943,0.0014230623707408086,0.07728223297744989,0.0032108780794078483,0.004509434085339308,0.001127475592365954,0.00016271641790808645,0.003150280600239057,0.0002610109197848942,0.007045761192566715,0.0014582481046090834,0.003907350391964428,0.0009874171952833422,0.003119580894126557,0.031030984297394752,0.0018554007477359846,0.0013603233997127972,0.0010051304756780156,0.010833050194196402,0.0027462637203279883,0.055513807259267196,0.005879306974238716,0.019890160858631135
layer_9,6.060008272470441e-05,0.0020301055365416687,0.001109469341172371,0.011878142240457237,0.00474065724061802,0.054204688146710395,0.002414395016094204,0.00650341000786284,0.010492111996281892,0.0021463831546134314,0.002196016919915564,0.0026508610881865024,0.004173808232590091,0.0027860311220865696,0.00342283651814796,0.001545881731726695,0.009612197157694027,9.806488917092793e-05,0.006651010708301328,0.011336144905071706,0.0010572476022935008,0.0049556657625362275,0.0021408034360501913,0.0037472235842142252,0.0008133936348895076,0.005360558885149658,0.0066130965715274215,0.06002285983413458,0.07998529706150294,0.019913934217765928,0.005929935677268077,0.012349284992087633,0.006755363396950998,0.0015381918952334672,0.0013112884973816108,0.006514054959989152,0.015855289911851287,0.007907444140873849,0.0015729215604369528,0.007650461364537477,0.04693172480911016,0.020757166135590522,0.006178591436473653,0.003181655467924429,0.00763563240878284,0.001996981483825948,0.003471698288485641,0.027467471612617374,0.0005512019833258818,9.905129787512124e-05,0.0013963187459739856,0.01665731753921136,0.002820349219837226,0.0041069138480816034,0.029178806841373445,0.000616457886644639,0.0016606311459327117,0.0018657863364205695,0.007805169555358589,0.013183907063212246,0.0001794165015598992,0.006863342641154304,0.00018636439242982305,0.0010643239470664412,0.005164290035609156,0.001572840473090764,0.0019312046503182502,0.002727439353475347,0.004325922666466795,0.002897426479612477,0.0009419666303438134,0.0007703246269375086,0.0018971269241592381,0.004273554487299407,0.01893924023024738,0.014789563324302434,0.0006460690251697087,0.008381011789897457,0.0004638072864327114,0.0028504037079983393,0.0015549129311693832,0.0072991514822933826,0.0007625040701532271,0.01481748497346416,8.07996271760203e-06,0.003763861703919247,0.0500637948513031,0.0008192791559849866,0.009775910027092322,0.002763782348774839,0.04411582175642252,0.006532369046472013,0.002629406535997987,0.010125522571615874,0.0027248076623072846,0.002622267770639155,0.00401591605390422,0.0004034294390294235,0.0010708597853954416,0.0004260651403455995,0.0009943840756750433,0.016661742721917106,0.0018905134516535326,0.0011967660109803546,0.005654057365609333,0.003389380271255504,0.011270067999139427,0.010859030447900295,0.030716369049623608,0.001072334076743573,0.0009218813911138568,0.0011238413846876938,0.007692537751281634,0.0003436234930268256,0.005601249292958528,0.007174151528161019,0.0007642736725392751,0.020967725049704313,0.00474214825546369,0.0012160795979434624,0.0008822257581050508,0.012447671983391046,0.0001680067816050723,0.002885052802739665,0.0017114871260127983,0.0036487346212379632,0.005446393325692043,0.0017852942063473166
