,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,0.003993688150658272,0.005549444642383605,0.0031065479648532345,0.008962088444968685,0.004384169201366603,0.014414956185501069,0.0015040089837566484,0.009176418143324554,0.010641919723711908,0.014257719400338828,0.001493503229430644,0.0009735094085044693,0.03545858182013035,0.005839072519447655,0.015859220065176486,0.005270219724043273,0.0024742391955805943,0.007468472088221461,0.004464524882641854,0.011324485505465418,0.002852816485974472,0.0011783613750594667,0.005706712324754335,0.02025840780348517,0.001065583828749368,0.007298457687720656,0.008678864713292569,0.0010882709147699643,0.004448776534409262,0.02213463099207729,0.017707760194316507,0.004895456223748624,0.011689401199109852,0.020963845734950155,0.011893533580005168,0.019276284005027264,0.003753721041721292,0.009354831019882113,0.006677507893182337,0.005125904370797798,0.016556115690618753,0.0037752465286757797,0.004702096830005758,0.005717259211232886,0.02169178556650877,0.0018217618542257696,0.003305119108845247,0.0029312909925647544,0.004786769913043827,0.009541775879915804,0.0009451788234582637,0.062207696549594405,0.0033193152229068802,0.0037697161245159806,0.006616148988250643,0.004773005534952972,0.0061903163220267746,0.01588166052941233,0.008730139429681004,0.0032808489521266894,0.00020437910265172832,0.0008479337593598757,0.014223128461744637,0.004492444283678196,0.005984744797169697,0.0042917966807726774,0.0045459907641634345,0.005793472201330588,0.004504440577875357,0.0066994959686417135,0.0029007297137286516,0.0016866775481321383,0.007304399317363277,0.013973519089631736,0.000649115921696648,0.00395560220873449,0.0013181640053517186,0.011997758461511694,0.008497100750682876,0.01567741498351097,0.00286446327358135,0.007625791149039287,0.0062755856401054185,0.004505478835490066,0.00231262324785348,0.001205006107193185,0.004197152360429755,0.002542187373765046,0.002195517999061849,0.008991046027513222,0.005840090205892921,0.002824126112391241,0.013301572180353105,0.0013074834950384685,0.005833243947126903,0.0035068152303574605,0.015503751318901778,0.0058750408614287155,0.00464327692752704,0.00910323765128851,0.004276819294318557,0.0018684518088412005,0.021589297875761984,0.00610249765595654,0.010892731826752424,0.010112664045300335,0.0031027445118525067,0.013723364868201315,0.004650986644555814,0.005944572102744132,0.003757195552461781,0.004412283909623511,0.03316223124042153,0.015579974655993282,0.015872696675360204,0.0039444179891142996,0.005950246414868161,0.005065902304486372,0.00588183565880172,0.008744068257510663,0.004436954986304044,0.004123858796083369,0.006729481595102698,0.007661810941935982,0.007213311785599217,0.007996453176019713,0.0036140006718051155,0.00037847449013497683
layer_1,0.012362828347831964,0.006127939660800621,0.0048961038228299,0.0040943460440030326,0.00836942806839943,0.026988927726633846,0.0018634250739705748,0.004399794215569273,0.014516765435691923,0.024453812642022968,0.007743112337775529,0.005676120247226208,0.016271247128024698,0.0011649567879794631,0.013909209927078336,0.00056711551558692,0.003528279032325372,0.019643790274858474,0.009679039418697357,0.006449238988570869,0.012281043855473399,0.0032368830860650634,0.002958665566839045,0.0025170023523969575,0.002390434714616276,0.0022933901203214192,0.005061235364119057,0.0005779502201767173,0.0026887437101686374,0.0028536593911121597,0.000973560808779439,0.004372830791689921,0.03236629161052406,0.006988023940939456,0.010002425506536383,0.028241302240639924,0.0174581303820014,0.0021507091849343853,0.00763208230753662,0.005647100907517597,0.008724074389901944,0.0002718235891370568,0.0014809621041058563,0.004111235410091467,0.01247236791299656,0.002719942308613099,0.006720096320495941,0.026433366511482745,0.018220476116985084,0.00139402748158318,0.0019230467814486474,0.003201397879747674,0.0009935649156977888,0.002880530294496566,0.014377230021636933,0.002259169298631605,0.003494541374966502,0.004643143277935451,0.002593050875584595,0.01835920975077897,0.005749999737599864,0.013367073792032898,0.0015907688475272153,0.0008398231545288581,0.020669828485697508,0.00838856870890595,0.015635875161970035,0.0007321854117617476,0.003450554950395599,0.002741786470869556,0.005069633820094168,0.001820898350852076,0.005704975068802014,0.0014441302788327447,0.001075061631272547,0.001638928793981904,0.004028299564379267,0.004206465691531776,0.0015879727902938612,0.01087548267096281,0.0018448087171418592,0.014911296623758973,0.006898694180417806,0.0031050265836529436,0.009856321483384818,0.016229954084847124,0.008034384867642075,0.002672615029732697,0.0015552939250483178,0.005706712297396734,0.0050910976121667775,0.008944613088387995,0.002359868304920383,0.005101562262279913,0.005422059784177691,0.0018276520576910116,0.0055492904689162965,0.004954450851364527,0.007981979499745648,0.0038657687228987924,0.025191795751452445,0.014792988616973162,0.030800728294998407,0.004187468965246808,0.010585741727263667,0.002594818969082553,0.02455183896701783,0.005847152306232601,0.02125900409184396,0.010550544367870316,0.0160029599070549,0.02044767585583031,0.006253967641387134,0.004623591489798855,0.005595528120320523,0.0022991775222180877,0.006563979981001467,0.0037448908673832194,0.006271206525852903,0.009746925951913,0.008345589663367719,0.003160526179271983,0.007398457726230845,0.013690387909300626,0.007547542839311063,0.004663332452182658,0.0023301910946611315,0.005749783867504448
layer_2,0.009062730924633798,0.02260791433043778,0.006995959783671424,0.007685644207522273,0.008425020178547129,0.011615804384928197,0.006257550069421996,0.005282868801587028,0.0020740027840656693,0.0005446237414435018,0.003793477416038513,0.013481711917556823,0.0095352328941226,0.00893860979238525,0.0009878289063635747,0.00043816815115860664,0.020357996560633182,0.0031473528467176946,0.010988856377080082,0.005509302779100836,0.008250112719833851,0.010794905899092554,0.010209878269815818,0.011153515104670077,0.0026607677634456193,0.007276248631533235,0.011477271281182765,0.009227667138911783,0.003352446398785105,0.0023755549965426325,0.007430982375517488,0.0072209597798064355,0.014789848295040429,0.007164658424444497,0.009729923455743118,0.01224868365097791,0.030571935223415492,0.05274994095787406,0.006385762445861473,0.005796114043332637,0.00726028956589289,0.011108685763028916,0.008623020807281136,0.0011513774131890386,0.0033539934786676897,0.002901952987158438,0.0024487868952564897,0.00680913825519383,0.00512016833818052,0.008229615126037971,0.004971761691849679,0.0005125205371587072,0.011891015064902604,0.006660659661283716,0.0015067022319999524,0.007409230787307024,0.008738188371062279,0.005527179029886611,0.007798987098503858,0.004314309004112147,0.0033223939666640946,0.005150251599261537,0.003881136732379673,0.009972218892071396,0.00362371488721692,0.002442043468763586,0.0025070722577220294,0.0062021481292322276,0.0035823394713224844,0.008143441238207743,0.009440367582719773,0.008220841535949147,0.006343204880831763,0.0039311778817500455,0.006636749288882129,0.015038804742507636,0.010427410033298657,0.010541683304472827,0.003078978051780723,0.016176273925229908,0.014888532375916839,0.0040096215371158905,0.0028183335438370706,0.018506598686799408,0.0037966075462463776,0.023683818876743316,0.0027998405539256055,0.003921700059436262,0.0035724813648266717,0.0009122224098246079,0.0044113176339305935,0.0064075757865794,0.010524470093660056,0.0116329147759825,0.00845633186865598,0.008273817487061024,0.010579090800601989,0.0017815994341799524,0.017425826673861593,0.003995836559915915,0.0020115027962310707,0.003103957498096861,0.02199620062485337,0.016630416554398834,0.00391534727983526,0.0001933388070028741,0.002600472746125888,0.008542274523060769,0.004673858776222914,0.00945305262110196,0.029854711974039674,0.0052183488712762485,0.003286399931530468,0.004796566385775805,0.009327610566979274,0.002785721501568332,0.007395918645197525,0.004490347244427539,0.01720365883782506,0.0005511307326378301,0.006144222575530875,0.000968153738649562,0.0022120681623346173,0.01239444844191894,0.0011892166326288134,0.0008173313770384993,0.007339082709222566,0.004910762530053034
layer_3,0.00474820599964005,0.008243271599058062,0.0034873147902544587,0.012968610694952077,0.0008329820683866273,0.0035765623257611877,0.0001732627379533369,0.00036548106669215486,0.013837715201079846,0.005680864251335151,0.0005532277739257552,0.002880396661348641,0.0036260175223287662,0.001669068574992707,0.010493692988529802,0.006018389971577562,0.0020306177156453487,0.01245435792952776,0.015415084627456964,0.0021106598527694588,0.01188490383210592,0.010720558727625758,0.001888805437629344,0.00428313608164899,0.024513131137937308,0.0008785772586998064,0.002661307441012468,0.02322952705435455,0.01701159981545061,0.012761795276310295,0.002719690450467169,0.0006197779359354172,0.0049571338089299385,0.006308901858283207,0.00343498134840047,0.024548677988350392,0.006558141129207797,0.008553582052700221,0.005845497264526784,0.002592120558692841,0.0015901829017093405,0.0016961090973927639,0.0011561831286235247,0.02613428651355207,0.00500713894245564,0.006254219485854264,0.003760567276040092,0.012661887858994305,0.009805987419094891,0.010254609967814758,0.004858423952537123,0.015359482199419289,0.006635834425105713,0.0026587992161512374,0.0004370939357613679,0.0004512438138772268,0.004206558208097704,0.011989288097247482,0.01766074137762189,0.004411096624826314,0.0034691764428862373,0.009575179477687925,0.005390804677299457,0.02725951259955764,0.0020883119874633847,0.001958454880223144,0.004289514596603112,0.006589720092015341,0.0036322341205959675,0.008196607383433729,0.004505319504969521,0.004024861020443495,0.018463414050638675,0.004336492411675863,0.0015495681863103529,0.003487489553517662,0.014823663006536663,0.01753627081401646,0.005178201860981062,0.004359703763038851,0.00949242862756364,0.0031664780611754396,0.0028753390797646716,0.001174660721590044,0.021339416108094155,0.03198654761537909,0.0025756474951049314,0.0019244396686553956,0.024170434661209585,0.0025819489017885645,0.008324629550334067,0.0015567227920109871,0.005937191344564781,0.004380406874697655,0.0015702353288361338,0.03469516193494201,0.003058069368125871,0.0038705333419784436,0.001812731202953728,0.012631377908401192,0.012548745349049569,0.006703248079866171,0.017049860497936605,0.005228476830525324,0.0026093491760548204,0.011098858467303217,0.003403710765996948,0.010243173888884485,0.0032780169221223333,0.00830121775099542,0.0064326374535448845,0.00868284807074815,0.010923832757398486,0.019342664692085235,0.012749110197182745,0.002398571019875817,0.008424619261641056,0.0025969571091991384,0.004939231872558594,0.013244875003583729,0.010082955975085496,0.00541331184678711,0.007965028396865819,0.009597054425248643,0.002443996611691546,0.003056547951709945,0.007979080647346563,0.019291364275850355
layer_4,0.004960885868786136,0.001743431257782504,0.021720249857753515,0.011469176071695984,0.008334091968135908,0.02048808502033353,0.007787833728361875,0.00474589820834808,0.0005418276909040287,0.005453767250583041,0.009834384836722165,0.04212649893946946,0.006892289973329753,0.012125801315996797,0.01396631816169247,0.028744668588042258,0.003751521198573755,0.005134199995663949,0.037155903857201335,0.005346083226613701,0.004084857964480762,0.020525811202824117,0.001609261852572672,0.003075112953374628,0.015940218227915467,0.00171091685857391,0.002357611942861695,0.003961412741919048,0.0294765611551702,0.00734069146681577,0.003999280235293554,0.02028621413744986,0.0015064760856330394,0.023523364439606665,0.00704319971788209,0.01542033240199089,0.017864914897363634,0.0036930508346995337,0.01878956285538152,0.0008286081044207094,0.004190599109424511,0.0008689966706151609,0.0037541219541162717,0.00874727034708485,0.003223421930306358,0.0022921051501180044,0.0006573653087252751,0.0015645866986596956,0.0220505438093096,0.023569011082872748,0.019944394212216138,0.0019308541555074043,0.00136493620055262,0.006799038539174945,0.009446782094892114,0.0021708161049173213,0.004584549544961192,0.011527037373743951,0.00010457441967446358,0.005091668120585382,0.00578447749488987,0.0011474865842319559,0.006688080501044169,0.005696021558251232,0.0009034384903497994,0.005423462979961186,0.014900945029221475,0.001388980205374537,0.002003469273622613,0.001161014551835251,0.004075503512867726,0.014363136724568903,0.0142476658616215,0.0022530991974053904,0.0027116672188276427,0.010870090969838202,0.003620990791532677,0.002004882720648311,0.002688126917928457,0.003923642920854036,0.002677847315208055,0.009625410763546824,0.008979352983587888,0.0010282071807887405,0.016573308245278896,0.0008705077737977263,0.007188167836284265,0.003739607141178567,0.0076838940993184226,0.009528103959746658,0.0011334395056474022,0.004828273865277879,0.01410356636159122,0.004608778560068459,0.005256496455986053,0.004887170833535492,0.0033664934686385094,0.0005863486608723178,0.0005104646157997195,0.008817454362288117,0.005272923274897039,0.025383854797109962,0.00204753280224395,0.0050652238517068324,0.0030583982859388927,0.0027816713390348014,0.001069633998995414,0.0009478823504468892,0.005324871269986034,0.01942996927537024,0.007362037112470716,0.0036058078130008654,0.0021562884545710402,0.014278843831270933,0.002540331922209589,0.003380900343763642,0.0014281506385304965,0.00588716053054668,0.005238969745114445,0.001346905771351885,0.001135012283048127,0.004672255147597753,0.007731044086394832,0.013185227625072002,0.009648241729009896,0.005673046618467197,0.010900934902019798,0.0183490174356848
layer_5,0.008884682971984147,0.0033947520930087192,0.003081481158733368,0.004638959488947876,0.004261497565894387,0.004872830779640935,0.012074855528771878,0.021008659596554936,0.0021994448004988955,0.005816632129717618,0.0054445412568748,0.002274532187730074,0.00730582304764539,0.0007483603688888252,0.037902922984212634,0.010095389124471695,0.005444140380714089,0.00723227248294279,0.017360294244717807,0.004598118615685962,0.007105802521109581,0.00220351552561624,0.0055721420103509445,0.00712530808057636,0.0026781351570389234,0.020799130527302624,0.010185479575302452,0.017532446773257108,0.013933634283021093,0.00828833741717972,0.0005116159333556424,0.001896617908787448,0.004081003093306208,0.0025909332738956437,0.003031537708011456,0.021867299526929854,0.006836867468082346,0.0013084189347864594,0.0013583521152031608,0.009594787831883878,0.015774886193685233,0.002044191924796905,0.0022300780212390235,0.014744258217979223,0.052089851750060916,0.017818615585565568,0.006954789971932769,0.003576778203714639,0.004446191197785083,0.0009746555816673208,0.012977528150659055,0.013133048303425312,0.0065456591313704845,0.03296334152109921,0.0036602229057461954,0.0011975636750867125,0.004112530659913318,0.010570969926193356,0.007217706278897822,0.0024466024694265796,0.0022789421160996424,0.0008975739663583226,0.004092428883886896,0.0008469674778461922,0.006861440874636173,0.013822835481259971,0.00037462991909706036,0.007063609834294766,0.0023828740627504885,0.010049197720363737,0.007426726599223912,0.0031584342663700227,0.0015107626770623028,0.0034692226856714112,0.03838215795345604,0.011356347205583006,0.0015112098451936617,0.0029138259348110295,0.002182796975685051,0.016510720876394772,0.005326474860776215,0.0014657277247169987,0.006653623280581087,0.0020903987588826566,0.010959538999013602,0.008148930547758938,0.02218965251930058,0.0030505395350337496,0.012693759689573198,0.005888311817543581,0.0027057461882941426,0.004754440563265234,0.003240110888145864,0.009569361181929708,0.001679636027838569,0.009227076130919158,0.00843700617318973,0.0045259454968618225,0.02603071945719421,0.0018583006963308435,0.005947265319991857,0.004306794594158419,0.003332498805830255,0.005465953680686653,0.013838671250268816,0.0019473786232993007,0.005228314934065566,0.004137458716286346,0.0019620990169642027,0.02517569269053638,0.0010391035715292673,0.0015974557268782518,0.00022370989972841926,0.006184061207022751,0.012381239156238734,0.009460551536176354,0.0029453894610924182,0.008588003345066682,0.005226510899374262,0.0061671101077809,0.00245476448777481,0.017230077302083372,0.005533079517190345,0.006025066564325244,0.008689462987240404,0.0016367803582397755,0.008778432982508093,0.004282596449193079
layer_6,0.006072625102096936,0.033379480442963544,0.009867366986582056,0.014152007689699531,0.004558300572389271,0.016986508537083864,0.012060387009987607,0.004899902116012527,0.009651464379858225,0.0005300061433808879,0.0023640623927349224,0.004397902757045813,0.0033227383194025604,0.0012966899127059151,0.0033292838661873247,0.006906594040920026,0.028357985862530768,0.00041959290916565806,0.012302713245735503,0.0016352820892643648,0.00914437657847884,0.005624747892143205,0.004917831033380935,0.000849635032718652,0.0022322573023848234,0.0022332801189622843,0.0018707955557329115,0.011957632075645961,0.0004903577054210473,0.02259410869795829,0.007902764863683843,0.00666213477961719,0.0038493522064527498,0.00605322235962376,0.0007170229946495965,0.0030743522464763374,0.0025280940467200708,0.0043861686051241125,0.002056085426593199,0.00022237869110540486,0.032484286362305284,0.004191277580102906,0.0045399771754455285,0.003928546285605989,0.017912075128406285,0.016686620330438016,0.0005716950781061314,0.00412829959008377,0.005796119191218168,0.00384632486384362,0.005322365630418062,0.005398200801719213,0.002939576338394545,0.0021815274463733657,0.007786411320412298,0.0014993111968215089,0.005696771930670366,0.004627800969756208,0.002211173833347857,0.003831553077325225,0.017652743896469474,0.0002581465765251778,0.024303545427392236,3.353207095642574e-05,0.003998483601317275,0.001647812939772848,0.035767577700316903,0.004286954973358661,0.015052885212935508,0.010080766398459673,0.0010849043534835801,0.0038823548902291805,0.00419233121763682,0.01083856339333579,0.03698050303384662,0.0006928659226105083,0.020473904348909854,0.003516993326775264,0.007948339527938515,0.0023698600809439084,0.005863841196987778,0.010968682665843516,0.008414010709384457,0.00593850712873973,0.009922331967391073,0.003264607179153245,0.03805018588900566,0.0007295615424663993,0.006220538399065845,0.0011963969410862774,0.0014699783487594686,0.013995579169131816,0.007169052896788344,0.0019308284508588259,0.0005439812703116331,0.026642458718270062,0.0010894427937455475,0.003519875438360032,0.008435983345843851,0.0024531660007778553,0.007834573800791986,0.016731688639847562,0.006626649604877457,0.009433261814992875,0.012536533186212182,0.0003041940646653529,0.00713783890765626,0.005593343719374389,0.0216475987713784,0.01799335468793288,0.0045591794711072,0.029864708883687852,0.0017905529669951647,0.0030043481235043144,0.0004227076275856234,0.000722394092445029,0.012023616854567081,0.0005372070116573014,0.005702502834610641,0.011875390174100175,0.0018808541489124765,0.002626778239500709,0.015036584408953786,0.016996021098457277,0.0033879110289853995,0.0005854286332032644,0.005842146105132997,0.002979322413884802
layer_7,0.008165686300490051,0.003355311828054255,0.00579510408861097,0.005335829306859523,0.005820340496720746,0.0014274310588371008,0.001910716403799597,0.011301505444571376,0.003467290144180879,0.016199562372639774,0.0010899413574952633,0.007323072256986052,0.0013871581520652398,0.02942011827486567,0.00013334703369764612,0.013890094957314431,0.01859754230827093,0.018063930538482965,0.00460300141130574,0.015525631490163505,0.002291097759734839,0.0006103412616357673,0.0032010586524847894,0.021273629385977984,0.0038688577711582183,0.010385248267557472,0.004558896779490169,0.0022503134215367026,0.002636605562875047,0.008923375424928963,0.011806038775248454,0.0033678041206439955,0.017301387026382144,0.0008136615622788667,0.005948545134160667,0.009549953264649958,0.005894849651958793,0.010169150442816317,0.004510485004429938,0.007235058245714754,0.0019591538996610327,0.015589380506426095,0.007976623839931562,0.0073266444087494165,0.011423876435728744,0.009137093561002984,0.013535764684784226,0.0068721728067612274,0.0015504316697479226,0.0002125205496849958,0.0015373662897036411,0.002748087855434278,0.002328947259957204,0.018734389508026653,0.0036932050189352594,0.0037766805331921204,0.030195393450558185,0.007774809491820633,0.002497645846742671,0.000597820692928508,0.006490748065407388,0.0005768503053695895,0.0025950631027808414,0.00674160634574946,0.008899855718482286,0.025879249488934875,0.0027449525687552523,0.004320543575449847,0.004343883413239383,0.00022933798216399738,0.0054412518156459555,0.016951183988712728,0.0011614257258770523,0.0016104902545339428,0.0027139133180025966,0.0017740901801153086,0.004892367197171552,0.015155920358374715,0.006122974678874016,0.005222445249964949,0.013286019093357027,0.0031423621060093863,0.04387501834658906,0.041787585271522404,0.0003506681602448225,0.003284642112266738,0.009898668332025408,0.002959832314081723,0.0014651931932894513,0.0034317381397704592,0.01946908582467586,0.021240796104539186,0.023320100693963466,0.001245944640104426,0.004635952711105347,0.003265840740641579,0.002106147108715959,0.006469330510590225,0.019457922047004104,0.003253322742821183,0.00716445276804734,0.004831599280005321,0.002868400362203829,0.01174586196662858,0.002742865842592437,0.0013540809346886818,0.015051469248719513,0.02064009967725724,0.0028625846609065773,0.005961649095115718,0.0022974042850546538,0.008722691885195673,0.0019230673504353035,0.017512293681502342,0.01332205428276211,0.0033872788472217507,0.0026576119328092316,0.004517141043907031,0.00429399137821747,0.005520785111002624,0.005829646112397313,0.0004602744437579531,0.019615058721974492,0.0027174906340951565,0.004035508122397005,0.0017544407074456102,0.011281832838431,0.004234544415376149
layer_8,0.0007464740610885201,0.013401834270916879,0.0019970907927199734,0.010364329284639097,0.013365125847049058,9.200760214298498e-05,0.0021377826106618158,0.0017357318277936428,0.005858557497849688,0.007110330683644861,0.005132827701745554,0.002772985062620137,0.007730355293606408,0.0002929121992201544,0.0013319900786154903,0.007532293038675562,0.007954789891373366,0.001881830721249571,0.01042360149556771,0.004939833262469619,0.014775061015971005,0.0325908186705783,0.007133526598336175,0.024484096388332547,0.0008877158279938157,0.002689653463457944,0.0021262437266705092,0.006554625537246466,0.005815814905654406,0.02088913356885314,0.0013342053210362791,0.004275647423346527,0.00027474299786263147,0.004997393890516832,0.0065991361966007385,0.0009163445336162113,0.006758161708712578,0.00045143911949708127,0.03023599277250469,0.005098817617399618,0.0043426653028291184,0.004932180075265933,0.002698689222452231,0.029259769506752492,0.002282468017656356,0.005579296614741907,0.00548962248605676,0.009502497513894924,0.006045168312848546,0.008582298117689789,0.008283634488470852,0.0023138876553275623,0.006850184700451792,0.004618384843925014,0.00262299533438636,0.0022694694668462033,0.011241642145178048,0.002536286901158746,0.047063659522682426,0.01067436730954796,0.004622779388446361,0.0068517523449554574,0.002527148321532877,0.0071528830705210565,0.008929836120223626,0.005009539239108562,0.008111548724700697,0.03458963136654347,0.02201343434397131,0.004238193694036454,0.0116331717853609,0.013373323786072432,0.015268065701238811,0.031537303254008296,0.005348128866753541,0.003506851182610262,0.005305442822864279,0.0011618214879126753,0.021314179846085607,0.001135351509292377,0.000265398836490931,0.015608947727596387,0.0023504419157688973,0.002098704675299814,0.0013201582425972447,0.004098684028722346,0.001883516561356373,0.0021914267171814572,0.014398149026092141,0.006986523118102923,0.0007944489794317632,0.0017413650594244245,0.0005285207419365179,0.00040377773882937617,0.014549521310254932,0.0036414986004820096,0.0044759609655011445,0.006100523986387998,0.005847656017867848,0.0017398282511567231,0.0005207442209939473,0.007408675637561828,0.010895404482726008,0.0021018194033240434,0.004772686881769914,0.0008582185067643877,0.0023218491932493635,0.06023105725646019,0.0038025234660017306,0.005273416708223522,0.001870086267881561,0.0005993729189503938,0.00788174303015694,0.0030852177768247203,0.009483089607674628,0.004206506803166121,0.008372352654114366,0.0030102332046953962,0.0075693150609731676,0.016805529640987516,0.0008428916115371976,0.0012605673779034986,0.002010685562272556,0.01482041981536895,0.005955273164436221,0.01752435676753521,0.009539833057206125,0.019440110102295877
layer_9,0.00015749896498164163,0.004007411391648929,0.00257240172548336,0.01577593726105988,0.005702513118158095,0.03935360638424754,0.005733441864722408,0.009042094519245439,0.009745419984683394,0.002962664332007989,0.0022839739877963438,0.00239857618289534,0.008394957496784627,0.0022166682958777526,0.004716503680683672,0.0033555919490754604,0.005454756646649912,0.0004782894509844482,0.007766148882219568,0.014699513628147542,0.001941663147736108,0.005736153069883585,0.005460844738991,0.0037046307884156704,0.0028056639243732207,0.008234102183487267,0.01317023478448391,0.04663382528349757,0.03779441107995808,0.028788624359294773,0.0026665449027495924,0.008551027583889663,0.010942156198434532,0.002835495346225798,0.0035771585500333457,0.009407082212856039,0.007897671267855913,0.010130046845442848,0.004394525914685801,0.02023218957707286,0.02660876212641597,0.012965295475441962,0.0068754571420140565,0.0017797285460983403,0.007528535886667669,0.0017465819499921055,0.008404872111568693,0.02855875689536333,0.0013424752662831451,0.00010659950188710355,0.0011941302948980592,0.026540772821754217,0.0035641188707086257,0.004024691433878616,0.021298261750489475,0.0030419714801246302,0.004189730474026873,0.0009130036512215156,0.005403561644488946,0.01714139515534043,0.0004297851373848971,0.0044274154980666934,0.0006326582790643443,0.003068595645017922,0.006110567172290757,0.00331208865653025,0.005984873310662806,0.006277014494407922,0.0035530837072292342,0.002679101441754028,0.0030409743842028545,0.0012591385123960207,0.004483128404826857,0.0022566662152530624,0.028370033539831637,0.012628196426667272,0.0015012848762853536,0.007827024743310176,0.0004657226358540356,0.004999809601576999,0.008371776978019625,0.019325662166811527,0.0010190994599543046,0.005171137179131619,0.0001285361779446248,0.005341734936228022,0.03715370930731297,0.0014282996831752825,0.016832770549226553,0.0014917402605351526,0.02552649467717856,0.004633732331858482,0.005982714593410492,0.002243405531626195,0.0031442329872515985,0.0066820412105880675,0.004464041732717305,0.001377652070223121,0.0014033356666914188,0.0013931999706255738,0.00026876026706304404,0.011781730027869343,0.004296309449127875,0.002493328415439464,0.006330910481774481,0.004230689585674554,0.004523612043412868,0.014032632037997246,0.02611476555466652,0.0022356392921938097,0.0011296566113014705,0.0008853926393203438,0.020198791292496025,0.0018388876637618523,0.005385716243181377,0.011344093848019838,0.0028053761040791867,0.01539145180489868,0.0035305816668551415,0.004291894346242771,0.001788209209626075,0.007653448465280235,0.00024051191176113206,0.00676559385843575,0.0015112509607570245,0.005182791720144451,0.008159554512239993,0.004215069707424845
