,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,0.006264378867927007,0.0029256204573903234,0.0012936803023330867,0.030391558818519116,0.009024734302656726,0.0074090975127182905,0.0012695362998056225,0.010587031008908525,0.014883252516156062,0.0017642439072369598,0.005331481621251442,0.0017934917866659816,0.04795377360656858,0.01135891725658439,0.006378021162236109,0.0038189030706416815,0.0038955712923780085,0.00999318100628443,0.0019339835672872142,0.017771743116900326,0.0034227266168454663,0.005053638918325305,0.004278237167163752,0.027221148777753116,0.002722750773245934,0.01284899478079751,0.0006702353927539661,0.007048689260263927,0.0046048537688329816,0.023213952508522196,0.017188133371528237,0.004053162011259701,0.002500651139416732,0.015776909425621852,0.019552278721239418,0.027761386670172215,0.019727356834337115,0.006174214741913602,0.00607144360721577,0.002659816084196791,0.010857142499880866,0.00040054180863080546,0.005314307498629205,0.0022732605907367543,0.014725451645208523,0.0009787520294776185,0.005356419353047386,0.0026573725443449804,0.01098533949116245,0.0027074831374920903,0.003704750082688406,0.031183237032964824,0.015488652035128326,0.0015006918355356903,0.022865355629473925,0.0036943980597425254,0.006722742078709416,0.007984794760122895,0.007663593653705903,0.001083410265564453,0.00011827134207123891,0.002636694018729031,0.013171473955153487,0.005455890608718619,0.006441844609798864,0.00554763842083048,0.005550028759171255,0.02381267912336625,0.0019769814776373095,0.004037897805683315,0.002780428386904532,0.0016853706983965822,0.0053482476307544855,0.004384268458234146,0.0006724688134272582,0.0037390443379990757,0.011597711278009229,0.02363237504614517,0.010716480565606616,0.01246327140601352,0.0029364076093770564,0.004130440932931379,0.0073471013398375366,0.0014736930798972024,0.0019394296919927,0.00038112437905510885,0.004287505320971832,0.0009654133568983525,0.0038964849198237063,0.004638674191082828,0.0003503811307018623,0.002032563654065598,0.017511514581274243,0.0005257935277768411,0.004362021689885296,0.006778362125623971,0.010691799621563405,0.0043252274964470415,0.005781941158929839,0.013031448437832296,0.0046814608812564985,0.0031892756768502296,0.016885264799930154,0.0008300546472310089,0.008146986403735354,0.0033924385224236176,0.0031810739421052857,0.0024081940087489783,0.0029847205302212386,0.005695121641037986,0.001810745721159037,0.00589169445564039,0.03488415125757456,0.007968996353447437,0.005320931611349806,0.002525288532488048,0.009124185307882726,0.004322374859475531,0.0037795886630192397,0.0029596186726121233,0.004468782544136047,0.009759155052015557,0.003687036647461355,0.006069317032233812,0.011723487033741549,0.01731516158673912,0.005132226643036119,0.0019742563302861528
layer_1,0.010266565640922636,0.009429333502193913,0.0013842563233629334,0.003205634366895538,0.0028102012060116977,0.04993768440559507,0.0007214929728070274,0.0018434094090480357,0.006626870111213066,0.014506802714895456,0.012472450896166266,0.004676967361010611,0.02620467675384134,0.0011165979696670548,0.012812884228769689,0.00019551110119209625,0.0011706910995417275,0.007737753494875505,0.002657945150276646,0.001937824033666402,0.014332072408869863,0.007554770784336143,0.0008195655676536262,0.0009436260905931704,0.0018653354937850962,0.0014311065338551998,0.0074582652782555665,0.0017003459902480244,0.0020908181378035805,0.003466112751630135,0.0004777136324264575,0.009374085705494507,0.04669278464396484,0.005844103657291271,0.0025908108879229984,0.012672200087690726,0.017270465274341406,0.0036446562359924426,0.0043599260988412426,0.007049741544178687,0.004333737460547127,3.2961909892037514e-05,0.0002597095043165609,0.006427944331662729,0.006475941004464403,0.0006236946767603513,0.0024806701991474255,0.027827364467084406,0.0030242588033434,0.00046784386388026177,0.0007013501357869246,0.0007035048046964221,0.0011464921734295785,0.002969802405568771,0.014962217608699575,0.001420685501070693,0.010740389452548698,0.008889110799063928,0.0010637955827405676,0.035133775658905506,0.0022208315186435356,0.012251533363014459,0.002345227022888139,0.00011492075791466049,0.015244512369390577,0.013486609593965113,0.018781949914991856,0.00014774086972465738,0.003955393024371006,0.001276893049944192,0.001502836967119947,0.00472490803047549,0.004160326797282323,0.0003292775667796377,0.00021455979367601685,0.002659094304544851,0.00549901528051123,0.00042106144566787405,0.0026241251471219584,0.0016639650502474979,0.0004816236940678209,0.011534583738539368,0.005317932646139525,0.0025805406022118404,0.007747215875424445,0.018424948728643357,0.007421401283936575,0.002635197149356827,0.011129468781873583,0.010817094033118337,0.004296198613010347,0.014977966781007126,0.0024096186819951983,0.005723480678861961,0.007043942555319518,0.0024550914083374662,0.0016564317463780753,0.0038553670459077695,0.01600820150692016,0.0042268971737939864,0.025812957305461168,0.011658551580039785,0.03049054984934628,0.005474362108507194,0.02297244073357433,0.006924398775445297,0.02546232451451942,0.0041291052039014176,0.01488854071474634,0.005247336855973117,0.022953966923523694,0.036467529758811,0.009904041704721749,0.007772499153506942,0.009794547189958393,0.0023850361857330428,0.005082283035735599,0.007163689207227435,0.011324414085829631,0.010328980188351124,0.004329556227312423,0.002365065789199434,0.0032456954423105344,0.015521661801612937,0.005038001952925697,0.002489197829272598,0.001174900968617294,0.0021770069026388226
layer_2,0.005429837347764988,0.016279787509702145,0.01438067089766264,0.010025723456055857,0.003531215777620673,0.024060700002592056,0.01113572355126962,0.006836271027568727,9.614874259568751e-05,0.0004547055787406862,0.005613317415700294,0.010834480432095006,0.012958142515271902,0.002640894841460977,0.0010843377347919158,0.006296230259467847,0.009352512378245591,0.0024856235884362834,0.006324868447263725,0.0020767763064941393,0.005095492395339534,0.020987482473719864,0.02235132463974878,0.012324558020336553,0.010332600378897041,0.006503787664114497,0.011331978449597956,0.013190065913368016,0.0023703969593043437,0.005370538659626618,0.008715441059321165,0.02021281246561557,0.009472889980534091,0.0029495499440236016,0.011361811029491947,0.014520436832681298,0.030199015280231833,0.11468781178817153,0.001445870033930987,0.004298680372885428,0.0035458264127373696,0.004239289971883409,0.019989556637592613,0.001033003987686243,0.009081435758853331,0.0008954144374001771,0.0006596362119307742,0.005347664041328244,0.006919044047826901,0.011723552983021364,0.004725966993719339,4.082611849298701e-05,0.012684212609892711,0.0048766905581578614,0.0003738983321818523,0.0034935842599952594,0.012407431110041216,0.0035770452581346036,0.001967679517401848,0.0007296696442062967,0.0014442797098308802,0.0026568154827691613,0.001421958759892732,0.001946335240791086,0.0010372873736196199,0.0004851458128541708,0.012540387693443336,0.0052281715004937725,0.0014450269239023328,0.005825695189414546,0.0049945323029533025,0.004829157854546792,0.008832678478211165,0.0004582606715848669,0.0028788277818239294,0.005839332937030122,0.006368471774621866,0.004001797564560547,0.0009794336662162096,0.02337148379534483,0.02016602864023298,0.004449664283310994,0.0018980231444584205,0.004989364116918296,0.0004927482470520772,0.037538900530198586,0.006180889153038152,0.0010410835646325722,0.0014914956112625076,0.0009354326638276689,0.0025621211595716884,0.004392543395515531,0.012888108413899318,0.007598801162093878,0.008198966622585431,0.004903190478216857,0.016402058347593992,0.000648955334618222,0.0037526195868849755,0.004979749069316313,0.001161562837951351,0.00035618465102743357,0.037868806701153515,0.004890844009350985,0.0013021232723258436,1.737913320539519e-05,0.00178371490619611,0.0042200611397856845,0.004303868539864197,0.0036424095439724622,0.019722050949931146,0.005084733013063669,0.006196229818742722,0.0008700195403071121,0.012278013527393342,0.0030792988766916098,0.005701910224743188,0.0019217510934686289,0.012428569763433189,0.0010285003256285564,0.0028778342850273473,0.0014710572341573424,0.0009433124307543039,0.003543753491831012,0.0026784454312291928,0.0002738264063373208,0.01298058875312563,0.01733282179397065
layer_3,0.010037098339525983,0.003133638192084618,0.008847920470871032,0.017318920440156944,0.00046943289577029647,0.004313417180092074,2.4774025077931583e-05,0.0001210713257023599,0.01432906139176339,0.0007843423244776204,0.0002830911200726405,0.016432647126493977,0.0018961489078355954,0.0022706503525841983,0.0015614045059191995,0.00044177651521749796,0.0003652506205253303,0.0076148748747073116,0.009559852494858205,0.0038968860573368146,0.007945079054334201,0.0059144060045946386,0.000726742318365723,0.003209732893737964,0.025399604178965092,0.0003966398371267132,0.001640126029669773,0.04106738524045795,0.009527677175356075,0.015589531555306166,0.0018409115271060727,0.00016386762334150262,0.0035682824190007524,0.007146905467379838,0.002671361118555069,0.01548499991884455,0.008612067592912354,0.003387459896039218,0.0008240847976412624,0.0014154437623801642,0.0007691314269322902,0.0007305166660808027,0.004168536552460864,0.034074109438806774,0.006000598471146077,0.014689909857115708,0.004882742953486741,0.004243949121446349,0.008604148981394246,0.034734084671363234,0.0019295288683497348,0.003038388599816244,0.00019643349223770202,0.0019823858753079547,0.00030014271032996476,0.0009532056696480141,0.0025598624179838225,0.006622074760962278,0.027617060909979046,0.0016185497672995552,0.0012777761585311964,0.011556006370228715,0.0009390964001067914,0.022955118492245675,0.0006768786034081131,0.009465235493262298,0.0033289037889335303,0.006765405120095238,0.0018710609164554626,0.005639387208502739,0.008745674170786515,0.0032518367224838585,0.028820283534005283,0.0032526445732219147,0.0009318596485536545,0.0010001432843273505,0.0021153991285245864,0.02345045576337725,0.000895606319536455,0.0028458610322559252,0.006110924312379211,0.006599443486193195,0.0003495637301239185,0.00015129718638490886,0.01758724369457923,0.01049457527580671,0.001955427551874891,0.003831043856916949,0.023778172812890262,0.00023680498648900538,0.0022501562419347467,0.0027769389297463932,0.010652623653877527,0.0033786741548101416,0.002013790508499369,0.0571630756277591,2.819824148900807e-06,0.0012890513546881266,0.0012685038082418032,0.004062468677293509,0.014175264880759642,0.0021752921381266786,0.04360836488660425,0.004540580017492175,0.00817372603341937,0.005726919071748853,0.0010561680851969867,0.007606041317339987,0.0009541700893896632,0.00797852665244136,0.016139891021884976,0.0016993881546659396,0.0027162848715670406,0.08030090102925896,0.005389959715539589,0.006517293389479164,0.003494853779557161,0.002061573244573083,0.0011032775760395452,0.005272891741478816,0.00827505444874987,0.002889892419334501,0.02338129744865,0.0028436479973606766,0.005162624656804837,0.0005112124991137534,0.008135093627497553,0.012418412087718024
layer_4,0.0006329484033631161,0.0009391427246737294,0.024392394197639077,0.00865997182787396,0.021240513061638922,0.02670134088024497,0.005397813659219537,0.003600827074260451,0.00010560402937699109,0.0035012486795312726,0.004511078801006079,0.02597741449542809,0.0050003193068550895,0.06546360561624169,0.009833281255559996,0.07212178222835064,0.004233430966851301,0.00019811328616924583,0.023538026976166294,0.0012561894676764497,0.001678399556549266,0.01662976336432621,0.0003179704576905351,0.0044423891260521485,0.03550664743408561,0.0005139782928745263,0.0016427219998149667,0.007341309562907555,0.022899895268492402,0.0019893574964953585,0.002193051369395107,0.02205656999256462,0.0031460681391763503,0.025667758132331072,0.01042058669263497,0.00664476218924392,0.028636595923453568,0.003640979510091711,0.017280844071647154,0.0012194745638407767,0.00026572180795483293,2.7539716829778626e-05,5.076696048490703e-05,0.006165907717077062,0.0019320895813871176,0.000697631495713722,0.00027381349354982376,9.745298579218798e-05,0.01685797350946814,0.03072404472157359,0.00415597835497465,0.0006937650340842083,0.00013600292935734616,0.0018045456113759428,0.008560212776064873,7.65963617595844e-05,0.0006957727106055245,0.003838729177368805,1.210123737109825e-05,0.011730050430633127,0.0074285198282450435,0.0006520902927150019,0.003482868259306997,0.0017969393177190796,0.0006810697723994963,0.0027820956852519885,0.021175199825083837,0.0007047655287897214,0.0009853586096141953,0.0070220826176228,0.0009395843086531386,0.017138210728298874,0.03130751105025411,0.0003052633788320236,0.0009049022162798792,0.002285240632481873,0.00011199929853319191,0.00014201650337781758,0.0010420617880299687,0.0011279723470215685,0.0032072460211929866,0.0016495424543973057,0.011360182365169749,0.0009193286759546027,0.022489237119443714,0.00018009681545663625,0.000962512242840603,0.0027024946734309197,0.00966144459467614,0.001857264869613573,0.001027151468442753,0.0032512794190552087,0.008096362412907183,0.002639262403245084,0.0046349166659638286,0.006554333955282345,0.00023013648635242134,0.000323782025516266,0.00024626542028272525,0.00516555130132474,0.005279108951799572,0.04871460019145161,0.0022174575098324566,0.0010892139648785814,0.0037852715724147855,0.00031055538944201543,5.761394058936276e-05,0.0002632254926720634,0.012006379012018443,0.05750365244224667,0.006399485807633027,0.0013906766613945366,0.0005099948594579474,0.005576931597897783,0.0006612121729995124,0.0003842818149132654,0.00038256562111200766,0.007191802139859646,0.0014784844050882385,0.0006663019361440092,0.00015834465710213409,0.0012262225401354953,0.002094506244175136,0.01470647880807519,0.004310751343145966,0.006530494287726469,0.003109414310893044,0.012844980816589668
layer_5,0.017452523013344035,0.0022578295366838573,0.0013098037749296055,9.784269263036549e-05,0.002714980023447424,0.0008059943583793939,0.02733206742675975,0.039762967759743334,0.001545417889719829,0.005512801766162739,0.011316909324377775,7.57881868048571e-05,0.0011540520354174078,0.0004984509496716782,0.0637378667667508,0.009922068931628019,0.0006997295835753903,0.005285843631718308,0.0053463110778830016,0.003795662267366424,0.003203165239538066,0.0013421549103804864,0.0004629515431588516,0.004772835336625576,0.00024874733440810815,0.010206950253341347,0.011240113183157518,0.010262446798151359,0.010120013514533639,0.022911759531125425,0.0014934747043298558,0.0022897757147438825,0.0038809272990329192,0.0031783693048055284,0.000610454473644495,0.018116441135061903,0.00456373390799854,0.00011916748087969608,0.0005048717978934292,0.003380031739361584,0.00612465993152,0.0019259930384578183,0.0017840024942415767,0.023391894074156882,0.09878631243482232,0.01196153174038045,0.0040402758022537455,0.0012902553321328014,0.013233781743329018,0.003342642860370688,0.011516099235159345,0.004945261137327179,0.0051834660186432305,0.07514289501588792,0.007594709735712968,0.00045468791417079045,0.0011216525494819507,0.026811951333656908,0.005017413038294762,0.001023227011610288,9.470884877373465e-05,8.129890338750556e-05,0.0043440181791083885,0.000640588183014188,0.0006866526012890972,0.005510113128111698,6.215400921064429e-05,0.004305160966760013,0.00015928110922686756,0.010830835661618039,0.0027633669710485265,0.012139245289145038,0.000498150551575236,0.00559881952154683,0.027129683691309765,0.006852420453215018,0.02259450706653297,0.006420476870262064,0.0003499391584773548,0.008450946244120133,0.0018696034658933058,0.00030904336977982894,0.0033898734097601844,0.00013989754545036702,0.009227299090707675,0.01364975358126685,0.009485965507337824,0.004394079623743892,0.006140298332320526,0.00012676594109507278,0.0013667866424657404,0.00028011619244352917,0.008205989127745852,0.00498112770030275,0.0006690763402730227,0.003567585064447485,0.005386659214855172,0.0069168371008709074,0.025698761492967605,0.0007942662632558495,0.0019136814505327493,0.0017521347070578485,0.0014273618493461982,0.004149316688417457,0.012983220376772806,0.00015079342760145663,0.0007886212202720344,0.0014133091864641757,0.0005423823412274942,0.006501393571961671,0.00024581224453868345,0.0006468840566230938,0.0007394695392576977,0.007952823183732107,0.005092549531254918,0.01173610487487167,0.00017523627524496988,0.0035592306754551827,0.002461025595257524,0.010697681616875343,0.002037009074119851,0.025515535031445324,0.010207355344900861,0.005173212552908808,0.013451515261549503,0.0004902890275116079,0.0010859101347159594,0.02276707892306149
layer_6,0.005411094651208259,0.09983630867674947,0.006376851930981502,0.009849975268589333,0.0018733405467355625,0.01897514863871038,0.009235126519342884,0.014189648461760953,0.002385871693841182,0.00010066799324704335,0.000399881605990231,0.001323023626464419,0.0003438133641611785,0.0004008647563750856,0.001145058316324139,0.011718139993026852,0.060283733662217856,0.0017110135083203205,0.010881177256815136,0.0038311429221357684,0.014395945559372195,0.0016203226085053756,0.005105990463052876,0.00038441560958744957,0.0028336084348848088,0.00027597579173743725,0.0019266700034495444,0.02514409489114769,0.0001632637243892532,0.037967930790036915,0.0012878244690364227,0.008551894453121349,0.0012493018136592582,0.004025914932135492,0.01303728724247776,0.0013130586699116975,2.637115656398237e-05,0.004011291836795863,0.0001368284539785236,4.1353722044732424e-05,0.030541687987279145,0.0007099828321952373,0.0003744475939311087,0.001817694275523536,0.007912287939689122,0.010814324449747802,0.0014395136220264248,0.00012886716285720468,0.0013466401147888974,0.002059303312271368,0.0034404230417567306,0.0034962331410497427,0.0003966918069636449,0.006265996775473468,0.0012376349663827568,0.0017617763619637117,0.0033748799946624786,0.005687707416946068,0.001652685672743246,0.004057370839873329,0.009315650092903525,1.794533454813063e-05,0.05746860980289057,0.0,0.0010029999460675753,0.0016690098619437776,0.025159059667494148,0.0022856425266945734,0.006806996572995558,0.01566967897582799,0.0021937395064742303,0.0012072568890289404,0.005276977249595802,0.01876172613701783,0.04204173892154359,5.716184386983514e-06,0.03210509579163045,0.00044478934316430243,0.0030754906684160232,0.00016835176531458275,0.008072377368807792,0.015003676610067487,0.014695575503865257,0.001296065362112131,0.0053842776882811446,0.0003417925073881634,0.018520682213129476,0.00010579984300420619,0.007970584153663368,0.00011711890547303483,0.0020236975656007417,0.015150604024529456,0.01243519845418632,0.0003818070882698521,0.0009574071943643503,0.013657280844636261,0.00021066689776489512,0.0011607491609174757,0.005630902090342715,0.0014714308935799636,0.0014279264392098412,0.019004589344840495,0.012919975322438404,0.012906921416870318,0.017169500030577184,3.599149640649557e-05,0.006663901385618374,0.004594095592037775,0.007140817930921912,0.017925477378303186,0.00032441559538710864,0.022905265743611382,0.0006318356306292117,0.002925199078163132,0.00010904768510954455,4.7724340547574683e-05,0.006514460826001596,0.000582715263881255,0.0015478209988214076,0.022676102163095492,0.0006960103911114857,0.0006430666008964181,0.012278340108459816,0.0022503719307132995,5.923420132603496e-05,0.00014200015648384577,0.00299653795955237,0.0013318139311741105
layer_7,0.007374593757558614,0.0007170967882848345,0.0014566712937084958,0.0067650957894511525,0.0009746109039406293,0.00012337131483945994,0.0010842545799096114,0.016880565909668802,0.0015819201391423122,0.019803601829335094,0.000378759741288377,0.00993923743313644,0.0008699368574889377,0.027930321677122266,0.0013048436943790876,0.005585506203933619,0.016096842428669333,0.04012957380153239,0.002776065760408528,0.010468870614422485,0.00011276375909801572,8.86132023879327e-05,0.000882501428714022,0.023710041819140316,0.0008805234279134311,0.004466229805839248,9.826692010392435e-05,0.00021244836651021615,0.0010468372458126397,0.00807390957896132,0.030770468863192946,0.0010676618077559397,0.007720929796923883,3.23746184585616e-05,0.006072366298176348,0.0064260222564917055,0.0025268486281856896,0.011239953248295933,0.001465975365426857,0.0015484595915768295,0.00017625484222662634,0.025855237281648444,0.0088852455036249,0.002087200827081688,0.006034489683806896,0.0020046584762167187,0.008166949068545364,0.003154996879165992,0.00023072224008501506,5.376242188503966e-05,0.0008608632421237416,0.0002487103347084485,0.0012318398381466976,0.010418263655155897,0.007777320111053996,0.006722170310094953,0.012054378509055823,0.00578416398668196,0.0015004454183508641,0.0012587266182526946,0.001190052650636062,0.00013485179108101874,0.001174578893405851,0.021180657913791947,0.04150600014720112,0.03612725895829499,0.0007827625173376873,0.0024459823488723487,0.0009019143474870362,0.0008782396680908277,0.003480077876447467,0.00990154818922747,0.0006540180419688113,0.0008785349610843696,0.003094797295052558,0.0008203412799048238,0.0008886368962703273,0.008054230145644397,0.009810782129643486,0.0025194147491129117,0.004969701317022555,0.0017013528349343688,0.019973045868682676,0.11074616422876715,3.3631007390795275e-05,0.0013235503260511905,0.0018563802138669417,0.0008466048378613778,0.00019838404288748278,0.003941684945020825,0.012726740315556526,0.004730558444862254,0.05768594304099679,0.00015587592672090976,0.005128324584220536,0.00047981832205550744,0.0013576718320837244,0.007152191624045372,0.012361033206107095,0.005335510344884824,0.0006524582073325291,0.0012369288041372785,0.0005969737807754428,0.005717493545962498,0.005230361729627475,0.00046567628800403327,0.004018838581978343,0.04257521590683609,0.00048513495159568264,0.008418934561195784,3.0481755384244025e-05,0.03825991039630026,0.00044942199980141595,0.007546544070355594,0.014500141539610923,0.0037760014084051363,0.0009894344018539414,0.010245801560813561,0.0033531081269029526,0.004101194409886375,0.004531116380821914,1.2226357212057337e-05,0.028277812395244836,0.0014146130351582542,0.008016445853281767,0.0008099162933649496,0.013730046695563942,0.006241355729871429
layer_8,0.0001348072080872953,0.008261847355170176,0.0015619091063854285,0.0019674370362190528,0.012801053037401288,2.375410243985243e-05,0.0004294603216112591,0.001220945006061811,0.0024826965780812317,0.0010413136982242576,0.005932526012184098,0.003294018004089594,0.00038813886043499225,0.0006862233692663722,0.0007525212242035195,0.004225323869613931,0.0015578673785785213,0.0006202250378555619,0.005189011509646662,0.0010071086802054196,0.019715211049187928,0.059438542193965986,0.0004821445079869591,0.03124854064488318,0.0014188296368229203,0.00901058860035846,0.0014544675196520983,0.004755354129010811,0.0011205274451640435,0.006192138085607439,0.0028308623607154002,0.001668052798777353,3.103185968939215e-05,0.0005256373714655637,0.008355562501819805,0.001201788935868535,0.000612551491940394,0.0005412711613462306,0.038465793281793594,0.0009127257752697915,0.0015908320259768517,0.03130682752002031,0.0008674894069554284,0.0529907806077972,0.0005806690704775974,0.00029028219636529685,0.014305917028104886,0.0024894864368252456,0.00518378532724455,0.009850950986729003,0.0036959549656603486,0.0006619514949852601,0.001117816471378319,0.0008409803523682058,0.0026175181759754197,0.0009517448610858992,0.0024842177325626836,0.0029059864400187508,0.09546185031533241,0.0002785269636660814,0.0019530224369373173,0.0019625437300419433,0.003060316165792756,0.00610786940989783,0.0022591094707604497,0.0010571461060317232,0.010492147246841341,0.023508977164747192,0.022492609040345998,0.002404548401827924,0.0073185510165058075,0.024030004132073374,0.008274446355644614,0.017098089139908554,0.0018700029083993286,0.0015976517042145134,0.0022207483171951025,0.00040855641171219756,0.04261466334108263,2.4563260958530008e-05,4.418835160322487e-06,0.018204445962328463,0.001971250861824956,0.0015015322042745537,0.0007432296806655359,0.0009298226027749479,0.00018991025543073193,0.0013173022845876404,0.011408702222397551,0.0058288929972331975,0.0012683842491242104,0.001325620993738994,0.0007400663057342172,0.00018794119911035522,0.03669471958652139,4.050831310451031e-05,0.0020984027406666427,0.005926921428181231,0.006505828734952956,0.0011902580317109824,0.0001811639619700145,0.0030901241005631165,0.006781491950387135,0.0014546074240934105,0.0021183775283861906,0.00024694476393051447,0.0005276235291967169,0.09128944478929042,0.0018405855441233144,0.0029708591400412843,0.00038027575821615757,0.0023667300265515223,0.002220365413813852,0.0002075877122115344,0.005573134259902872,0.0002891962384455837,0.0043059794930741194,0.0009972750410088339,0.0020295428001554684,0.02658437332138419,0.006617969814105891,0.0028166942676762117,0.00015316697623347865,0.010710385419079102,0.0015748308593174442,0.03970389935187996,0.00292413209885126,0.02718407551757991
layer_9,0.00015425448757014237,0.00012938888976350428,0.0005498710725805723,0.011465181884123012,0.0015396879886975512,0.050810996857471764,0.0015387750272930134,0.004388392763212323,0.006136465849122033,0.002077503858599812,0.0021446426693000832,0.0020243371196556835,0.0016633448246284389,0.0013979694686713628,0.0034402705897809936,0.0011191091110231354,0.003637962497305125,1.1165855103172361e-05,0.004023560698260553,0.0065022484783548865,1.2101524625904857e-05,0.00252993626112584,0.00023590078490087762,0.012121813993435353,0.0002741430967580527,0.0029279855836648492,0.007785399166168645,0.04677696410741192,0.07321863254532218,0.0160428058472462,0.010071339671267197,0.013276533221360296,0.0035832330881385133,5.710313242161646e-05,0.0007724070470430888,0.0054291191395896025,0.01058727275347337,0.02144589360919781,0.001561078196100425,0.005216086248401553,0.055411303844302894,0.0515428620390594,0.004522910077357664,0.0019420882890699431,0.005543807136127725,0.002079293545684777,0.004763294321601279,0.03623537798877805,0.0001478378739557229,0.0005291525009670294,0.001999090122117195,0.012665457859402523,0.00037744596658740193,0.0023847069789189844,0.039718263875693084,0.0003841111034853384,0.0003882716430234723,0.005245724798296578,0.006232934762374498,0.0095699794346001,6.382472303812392e-05,0.005790241670329124,7.727507123490795e-05,0.0004911290394375101,0.004568859416758641,0.00020821092475671322,0.0014139475249976385,0.0014888963883277029,0.004671839062357321,0.0030034814472310245,0.0013000297700637021,0.00030704226752277465,0.001307051576441154,0.0014972887621843257,0.026589778512716294,0.011559133466798812,0.00016076319050625898,0.007524419527908321,0.0027081004955107346,0.0033463536633644253,0.0008476164228341076,0.004550536143360659,0.0004213686536240857,0.00900874300103169,2.883184642996639e-06,0.002328221507195849,0.053488584365695716,0.0010568823918583803,0.00972794710774906,0.0008582834960543551,0.059113078331574795,0.004004040492582135,0.0012726672444841824,0.008509180687833578,0.0009685046732192859,0.0025800362799782307,0.004099298375658691,0.00025569119723513724,0.0014534887159243226,0.00023725454288069157,0.0008406195178395137,0.022952772721182554,0.0007627605530433357,0.0003157712789834477,0.01866287010954693,0.005243468174012378,0.008541364098200575,0.00808550172834657,0.029972457187250258,0.0007736820552963763,0.002121208729513455,0.0020243944635149093,0.008258443450322374,0.00010851083148736506,0.009851624391740189,0.003983001527958549,0.00023705581843387337,0.027713406728580595,0.005250674408162012,0.0007245883496943862,0.0006742782445508055,0.013293700222857297,7.307963387575001e-05,0.0008896877226652577,0.0009347574174171314,0.00245550504012499,0.0018172821239568293,0.00021005533315474168
