rank,layer,expert,expert_label,mean_activation_correct,mean_activation_incorrect,success_delta,delta_height,delta_position,delta_rotation,delta_ordering
1,17,36,L17_E36,0.1341626192491079,0.12420081369357534,0.009961805555532569,0.004690578549771618,0.0011556759988997634,0.0034258243123533177,0.005989168258383887
2,8,21,L8_E21,0.0673010157152396,0.05836341572386019,0.008937599991379407,0.010235786109286195,0.006672153470816317,0.0010912833556023793,0.023731740040238952
3,12,94,L12_E94,0.06591781070359896,0.057260177642254544,0.00865763306134442,0.007087110137731278,0.004202956814614141,0.0007819917711904163,0.0067438419268000815
4,10,65,L10_E65,0.08317801539699748,0.07514833698430323,0.008029678412694252,0.004416519625331544,0.007189243971120501,0.007057695343505692,-0.009585452399915088
5,19,64,L19_E64,0.04559761398716724,0.03785290304865694,0.007744710938510299,0.012154407812939846,0.006117657538761749,0.0008400687105156457,0.00315014309308026
6,18,7,L18_E7,0.0304761390236552,0.02397526233155809,0.006500876692097108,0.013534073194986215,0.0004117376624773704,0.004066533056460639,0.003820220806665022
7,7,107,L7_E107,0.0508787023028378,0.0443939058334496,0.006484796469388203,0.009232277870657578,5.818649449068625e-07,0.0025724044623392957,0.019513158174231646
8,4,101,L4_E101,0.054834562689834034,0.04838058170816391,0.006453980981670125,0.007603138241821024,0.0050060022687474365,0.001055093207104705,0.01746784709976054
9,7,64,L7_E64,0.031842816772285044,0.02548026312880292,0.006362553643482125,0.012238905775388158,0.005156221611089876,0.0008027819133842734,-0.0018985904913279214
10,14,41,L14_E41,0.07724210180188577,0.07111169488196915,0.00613040691991662,0.004970183808301734,0.00481075082530022,0.0019241261444796556,0.003041427629068505
11,14,51,L14_E51,0.11598514047326501,0.11000814760970597,0.005976992863559044,0.002918612006503868,0.0033284756496097107,0.0039372712180211974,0.005099833873100562
12,24,121,L24_E121,0.0700375759570869,0.06431559548120049,0.005721980475886415,0.003688992220251,0.0008084809142740179,0.004149656653938523,0.004164404066978031
13,5,44,L5_E44,0.09683859315652822,0.09119315035702667,0.005645442799501549,0.005143742446842445,-0.002814656987543143,0.011049169171464805,0.011635494185611606
14,19,83,L19_E83,0.12531246799860418,0.11967616242421146,0.005636305574392722,0.0025302442475496068,0.0032724787205423017,0.004987628713990583,0.004745937976986164
15,20,23,L20_E23,0.06995186161672332,0.06434814391424111,0.0056037177024822055,0.006646260112414468,0.0004888317984092505,0.004164655702866983,0.01916829553665593
16,22,65,L22_E65,0.05685907887947774,0.05129524882999633,0.005563830049481411,0.0034690954626592635,0.0050750828504406015,0.0034570768675364627,-0.001149580295896152
17,19,41,L19_E41,0.03597509735335894,0.030457156901278537,0.0055179404520804,0.008483965929318563,-0.0021189077179835578,0.004540792084496235,0.010547592125658412
18,40,126,L40_E126,0.059916963263117164,0.054428920524791126,0.005488042738326038,0.010934926959795546,0.0033285898071798437,-0.003266139966680258,0.006349612586200232
19,45,45,L45_E45,0.05561895119314341,0.05013671555869872,0.005482235634444693,0.007384619646472856,0.0024763639573450735,0.0007069203545108579,0.014458131087303636
20,32,21,L32_E21,0.08745163898031737,0.08197498480749406,0.005476654172823309,0.00837412633357898,0.002188448570581855,0.00043487067232859944,0.013171514682471755
21,27,126,L27_E126,0.052543081141547446,0.047146707256831746,0.0053963738847156995,0.004819193916559661,0.003404187769053768,0.0017713277928324972,-0.0018380251014605206
22,17,62,L17_E62,0.08677220561532016,0.0814343627554552,0.005337842859864966,0.005716841202229261,0.002798915742994179,0.004247052425687965,0.008237543678842482
23,16,44,L16_E44,0.0713168766311149,0.06603649877036365,0.005280377860751251,0.0017865546979010105,0.0009412380643102208,0.002807403055878427,0.004805419733747832
24,28,101,L28_E101,0.10448916325556863,0.09922754585054448,0.005261617405024149,-0.000911752522156084,0.005830205638300293,0.003738039604928245,0.015884538646787405
25,7,41,L7_E41,0.027542730565326884,0.022377690566218036,0.0051650399991088475,0.008454574572062806,-0.0040124629679546275,0.0038606240748012884,0.011764127139758787
26,16,37,L16_E37,0.059247778771810006,0.054085261782434564,0.005162516989375442,0.014214438782587158,0.001380907349931057,0.0017349219332511712,0.005320626788306984
27,12,121,L12_E121,0.05833703140276916,0.05318376367217047,0.005153267730598696,0.003990674679003214,1.7144072514310715e-05,0.0033206216144816697,-0.0001982572779525016
28,20,21,L20_E21,0.10019304518847122,0.09522123830915481,0.004971806879316407,0.007945632349754525,0.0036258260808485626,4.0490488416047854e-05,0.013205663394182915
29,12,44,L12_E44,0.02175473952581914,0.0169150872148724,0.00483965231094674,0.012426851975118659,0.0006925805603720595,0.0011520910842995197,0.005342347307305317
30,26,51,L26_E51,0.09645893924015085,0.0916455900726883,0.004813349167462552,0.0009040917160318129,0.0028248412148171587,0.002559186021977737,0.009598626289516687
