,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,0.0022706907172687354,-0.002623824184993282,-0.0018128676625201478,0.021429470373550433,0.004640565101290122,-0.0070058586727827785,-0.00023447268395102592,0.0014106128655839711,0.004241332792444154,-0.012493475493101869,0.0038379783918207977,0.0008199823781615123,0.01249519178643823,0.005519844737136736,-0.009481198902940377,-0.0014513166534015913,0.0014213320967974142,0.002524708918062969,-0.00253054131535464,0.0064472576114349076,0.0005699101308709945,0.003875277543265838,-0.0014284751575905823,0.006962740974267946,0.0016571669444965663,0.005550537093076855,-0.008008629320538602,0.005960418345493963,0.00015607723442371928,0.0010793215164449053,-0.0005196268227882703,-0.0008422942124889227,-0.009188750059693121,-0.005186936309328302,0.00765874514123425,0.00848510266514495,0.015973635792615824,-0.003180616277968511,-0.0006060642859665672,-0.002466088286601007,-0.005698973190737887,-0.0033747047200449742,0.0006122106686234467,-0.0034439986204961317,-0.006966333921300246,-0.0008430098247481511,0.002051300244202139,-0.00027391844821977396,0.0061985695781186225,-0.006834292742423713,0.0027595712592301423,-0.03102445951662958,0.012169336812221446,-0.0022690242889802903,0.01624920664122328,-0.0010786074752104466,0.0005324257566826415,-0.007896865769289434,-0.0010665457759751014,-0.0021974386865622362,-8.610776058048941e-05,0.0017887602593691554,-0.00105165450659115,0.0009634463250404223,0.00045709981262916696,0.001255841740057803,0.0010040379950078202,0.018019206922035663,-0.0025274591002380476,-0.0026615981629583988,-0.00012030132682411959,-1.3068497355561877e-06,-0.0019561516866087912,-0.009589250631397591,2.335289173061028e-05,-0.00021655787073541393,0.01027954727265751,0.011634616584633477,0.00221937981492374,-0.003214143577497452,7.194433579570635e-05,-0.003495350216107908,0.001071515699732118,-0.003031785755592864,-0.0003731935558607801,-0.0008238817281380762,9.035296054207744e-05,-0.0015767740168666933,0.0017009669207618573,-0.0043523718364303935,-0.005489709075191059,-0.0007915624583256431,0.004209942400921138,-0.0007816899672616274,-0.0014712222572416068,0.0032715468952665104,-0.004811951697338373,-0.001549813364981674,0.001138664231402799,0.003928210786543786,0.0004046415869379417,0.001320823868009029,-0.00470403307583183,-0.0052724430087255315,-0.00274574542301707,-0.006720225522876717,7.832943025277896e-05,-0.011315170859452337,-0.0016662661143345757,-0.0002494504617061464,-0.0019464498313027437,0.0014794105460168789,0.0017219200171530308,-0.007610978302545845,-0.010551765064010399,-0.0014191294566262514,0.0031739388930145654,-0.0007435274450108406,-0.0021022469957824802,-0.00578444958489854,3.182755783200271e-05,0.005635296255932188,-0.003042444947641343,-0.0015924939097021699,0.004510175248142332,0.009318708410719408,0.0015182259712310038,0.001595781840151176
layer_1,-0.0020962627069093277,0.0033013938413932924,-0.003511847499466967,-0.0008887116771074946,-0.005559226862387733,0.02294875667896122,-0.0011419321011635474,-0.002556384806521237,-0.007889895324478858,-0.009947009927127512,0.004729338558390737,-0.0009991528862155971,0.009933429625816642,-4.835881831240837e-05,-0.0010963256983086474,-0.0003716044143948238,-0.0023575879327836446,-0.011906036779982969,-0.007021094268420711,-0.004511414954904466,0.002051028553396464,0.004317887698271079,-0.0021390999991854186,-0.001573376261803787,-0.00052509922083118,-0.0008622835864662195,0.0023970299141365097,0.001122395770071307,-0.0005979255723650568,0.0006124533605179751,-0.0004958471763529815,0.005001254913804586,0.01432649303344078,-0.0011439202836481853,-0.007411614618613385,-0.015569102152949198,-0.00018766510765999556,0.0014939470510580573,-0.003272156208695378,0.0014026406366610903,-0.004390336929354817,-0.00023886167924501932,-0.0012212525997892954,0.002316708921571262,-0.0059964269085321575,-0.002096247631852748,-0.004239426121348516,0.0013939979556016613,-0.015196217313641684,-0.0009261836177029182,-0.0012216966456617229,-0.002497893075051252,0.00015292725773178965,8.927211107220487e-05,0.0005849875870626419,-0.0008384837975609117,0.007245848077582195,0.004245967521128477,-0.0015292552928440272,0.016774565908126534,-0.003529168218956329,-0.0011155404290184388,0.0007544581753609237,-0.0007249023966141976,-0.005425316116306931,0.005098040885059163,0.0031460747530218207,-0.0005844445420370903,0.000504838073975407,-0.0014648934209253639,-0.0035667968529742213,0.002904009679623414,-0.0015446482715196904,-0.001114852712053107,-0.0008605018375965302,0.001020165510562947,0.0014707157161319628,-0.0037854042458639017,0.0010361523568280973,-0.009211517620715311,-0.0013631850230740384,-0.0033767128852196047,-0.0015807615342782813,-0.0005244859814411032,-0.002109105607960373,0.002194994643796234,-0.0006129835837054998,-3.7417880375869954e-05,0.009574174856825265,0.005110381735721603,-0.0007948989991564308,0.00603335369261913,4.9750377074815264e-05,0.0006219184165820483,0.0016218827711418273,0.0006274393506464546,-0.003892858722538221,-0.0010990838054567571,0.00802622200717451,0.00036112845089519407,0.0006211615540087229,-0.003134437036933377,-0.00031017844565212754,0.001286893143260386,0.012386699006310663,0.004329579806362744,0.0009104855475015917,-0.0017180471023311838,-0.00637046337709762,-0.005303207511897199,0.006951007016468794,0.016019853902980687,0.003650074063334614,0.003148907663708087,0.00419901906963787,8.585866351495507e-05,-0.0014816969452658675,0.0034187983398442155,0.005053207559976728,0.0005820542364381245,-0.004016033436055296,-0.0007954603900725489,-0.004152762283920311,0.0018312738923123104,-0.0025095408863853664,-0.0021741346229100598,-0.0011552901260438375,-0.0035727769648656255
layer_2,-0.0036328935768688104,-0.006328126820735636,0.007384711113991216,0.0023400792485335836,-0.004893804400926455,0.012444895617663859,0.004878173481847625,0.0015534022259816992,-0.0019778540414699818,-8.99181627028156e-05,0.001819839999661781,-0.0026472314854618165,0.003422909621149302,-0.006297714950924273,9.650882842834104e-05,0.005858062108309241,-0.01100548418238759,-0.0006617292582814112,-0.004663987929816357,-0.0034325264726066964,-0.003154620324494317,0.01019257657462731,0.012141446369932963,0.0011710429156664755,0.007671832615451422,-0.000772460967418738,-0.00014529283158480968,0.0039623987744562324,-0.0009820494394807613,0.002994983663083986,0.0012844586838036774,0.012991852685809135,-0.005316958314506338,-0.004215108480420895,0.0016318875737488282,0.002271753181703388,-0.000372919943183659,0.06193787083029747,-0.004939892411930486,-0.0014974336704472084,-0.0037144631531555207,-0.006869395791145507,0.011366535830311476,-0.00011837342550279572,0.005727442280185641,-0.002006538549758261,-0.0017891506833257157,-0.0014614742138655858,0.0017988757096463817,0.003493937856983393,-0.0002457946981303397,-0.0004716944186657202,0.0007931975449901076,-0.001783969103125855,-0.0011328038998181002,-0.0039156465273117655,0.0036692427389789367,-0.001950133771752007,-0.00583130758110201,-0.0035846393599058505,-0.0018781142568332144,-0.0024934361164923756,-0.0024591779724869407,-0.00802588365128031,-0.0025864275135972998,-0.0019568976559094153,0.010033315435721307,-0.0009739766287384551,-0.0021373125474201515,-0.0023177460487931968,-0.004445835279766471,-0.003391683681402355,0.002489473597379402,-0.0034729172101651785,-0.0037579215070581997,-0.009199471805477515,-0.004058938258676791,-0.0065398857399122795,-0.0020995443855645135,0.007195209870114922,0.0052774962643161415,0.00044004274619510383,-0.0009203103993786501,-0.013517234569881112,-0.0033038592991943005,0.01385508165345527,0.0033810485991125462,-0.0028806164948036892,-0.002080985753564164,2.321025400306095e-05,-0.001849196474358905,-0.0020150323910638687,0.0023636383202392617,-0.004034113613888622,-0.00025736524607054834,-0.0033706270088441678,0.005822967546992004,-0.0011326440995617303,-0.013673207086976618,0.0009839125094003977,-0.0008499399582797198,-0.0027477728470694275,0.015872606076300144,-0.011739572545047849,-0.0026132240075094158,-0.0001759596737974789,-0.0008167578399297781,-0.0043222133832750845,-0.00036999023635871705,-0.005810643077129498,-0.010132661024108529,-0.00013361585821257925,0.0029098298872122542,-0.003926546845468693,0.0029504029604140673,0.00029357737512327765,-0.0016940084204543375,-0.0025685961509589105,-0.004775089074391871,0.00047736959299072624,-0.0032663882905035278,0.0005029034955077804,-0.0012687557315803134,-0.008850694950087928,0.0014892287986003794,-0.0005435049707011785,0.0056415060439030645,0.012422059263917616
layer_3,0.0052888923398859335,-0.005109633406973443,0.005360605680616573,0.004350309745204867,-0.00036354917261633085,0.0007368548543308863,-0.0001484887128754053,-0.0002444097409897949,0.0004913461906835438,-0.004896521926857531,-0.0002701366538531147,0.013552250465145336,-0.0017298686144931708,0.0006015817775914913,-0.008932288482610603,-0.0055766134563600646,-0.0016653670951200185,-0.004839483054820448,-0.0058552321325987585,0.0017862262045673558,-0.003939824777771718,-0.0048061527230311195,-0.001162063119263621,-0.0010734031879110263,0.0008864730410277841,-0.0004819374215730932,-0.0010211814113426953,0.0178378581861034,-0.007483922640094533,0.0028277362789958706,-0.0008787789233610963,-0.00045591031259391464,-0.0013888513899291861,0.0008380036090966311,-0.000763620229845401,-0.009063678069505842,0.0020539264637045567,-0.005166122156661004,-0.005021412466885522,-0.0011766767963126768,-0.0008210514747770503,-0.0009655924313119612,0.003012353423837339,0.007939822925254705,0.0009934595286904373,0.008435690371261444,0.0011221756774466487,-0.008417938737547957,-0.001201838437700645,0.024479474703548477,-0.002928895084187388,-0.012321093599603046,-0.006439400932868011,-0.0006764133408432827,-0.00013695122543140316,0.0005019618557707873,-0.0016466957901138815,-0.005367213336285204,0.009956319532357157,-0.0027925468575267587,-0.002191400284355041,0.0019808268925407893,-0.004451708277192665,-0.0043043941073119645,-0.0014114333840552717,0.0075067806130391535,-0.0009606108076695816,0.000175685028079897,-0.0017611732041405048,-0.0025572201749309896,0.004240354665816994,-0.0007730242979596368,0.010356869483366608,-0.001083847838453948,-0.0006177085377566983,-0.0024873462691903116,-0.012708263878012077,0.005914184949360787,-0.004282595541444607,-0.001513842730782926,-0.0033815043151844294,0.0034329654250177554,-0.002525775349640753,-0.001023363535205135,-0.0037521724135149252,-0.021491972339572382,-0.0006202199432300405,0.0019066041882615534,-0.0003922618483193224,-0.0023451439152995593,-0.00607447330839932,0.001220216137735406,0.004715432309312746,-0.0010017327198875137,0.00044355517966323523,0.022467913692817094,-0.00305524954397697,-0.0025814819872903173,-0.0005442273947119248,-0.008568909231107683,0.0016265195317100734,-0.004527955941739492,0.026558504388667647,-0.000687896813033149,0.00556437685736455,-0.005371939395554364,-0.0023475426807999613,-0.002637132571544498,-0.0023238468327326702,-0.0003226910985540607,0.009707253568340093,-0.006983459916082211,-0.008207547885831445,0.06095823633717373,-0.007359150481643156,0.004118722369603346,-0.0049297654820838945,-0.0005353838646260556,-0.0038359542965190484,-0.007971983262104913,-0.0018079015263356268,-0.0025234194274526087,0.015416269051784183,-0.006753406427887966,0.0027186280451132914,-0.0025453354525961916,0.0001560129801509904,-0.006872952188132331
layer_4,-0.00432793746542302,-0.0008042885331087747,0.002672144339885562,-0.0028092042438220242,0.012906421093503014,0.0062132558599114415,-0.002390020069142338,-0.0011450711340876291,-0.0004362236615270376,-0.0019525185710517687,-0.005323306035716086,-0.016149084444041367,-0.0018919706664746634,0.053337804300244894,-0.004133036906132474,0.043377113640308385,0.00048190976827754617,-0.004936086709494703,-0.013617876881035041,-0.0040898937589372505,-0.0024064584079314956,-0.0038960478384979062,-0.001291291394882137,0.0013672761726775205,0.019566429206170143,-0.0011969385656993836,-0.0007148899430467282,0.0033798968209885066,-0.0065766658866777995,-0.0053513339703204115,-0.0018062288658984467,0.001770355855114758,0.0016395920535433109,0.002144393692724407,0.0033773869747528796,-0.00877557021274697,0.010771681026089934,-5.2071324607822714e-05,-0.0015087187837343648,0.00039086645942006733,-0.003924877301469678,-0.0008414569537853822,-0.0037033549936313645,-0.0025813626300077884,-0.0012913323489192406,-0.0015944736544042824,-0.0003835518151754513,-0.0014671337128675077,-0.005192570299841461,0.007155033638700844,-0.015788415857241486,-0.001237089121423196,-0.001228933271195274,-0.004994492927799002,-0.0008865693188272409,-0.0020942197431577368,-0.0038887768343556675,-0.007688308196375147,-9.247318230336532e-05,0.006638382310047745,0.0016440423333551734,-0.000495396291516954,-0.0032052122417371718,-0.0038990822405321523,-0.00022236871795030307,-0.002641367294709198,0.006274254795862362,-0.0006842146765848156,-0.001018110664008418,0.005861068065787549,-0.0031359192042145875,0.00277507400372997,0.01705984518863261,-0.0019478358185733668,-0.0018067650025477635,-0.008584850337356328,-0.003508991492999485,-0.0018628662172704934,-0.0016460651298984884,-0.0027956705738324678,0.0005293987059849315,-0.007975868309149519,0.002380829381581861,-0.00010887850483413779,0.005915928874164818,-0.00069041095834109,-0.0062256555934436615,-0.0010371124677476472,0.0019775504953577173,-0.0076708390901330855,-0.00010628803720464926,-0.0015769944462226703,-0.006007203948684037,-0.0019695161568233747,-0.0006215797900222244,0.0016671631217468532,-0.0031363569822860883,-0.0002625666353560518,-0.0002641991955169942,-0.0036519030609633765,6.185676902532855e-06,0.023330745394341646,0.00016992470758850657,-0.0039760098868282506,0.0007268732864758928,-0.0024711159495927858,-0.0010120200584060512,-0.0006846568577748258,0.006681507742032409,0.03807368316687643,-0.0009625513048376888,-0.0022151311516063286,-0.001646293595113093,-0.00870191223337315,-0.0018791197492100766,-0.0029966185288503766,-0.0010455850174184889,0.001304641609312966,-0.003760485340026207,-0.0006806038352078757,-0.0009766676259459928,-0.0034460326074622575,-0.0056365378422196955,0.0015212511830031885,-0.00533749038586393,0.000857447669259272,-0.007791520591126755,-0.005504036619095131
layer_5,0.008567840041359888,-0.001136922556324862,-0.0017716773838037626,-0.004541116796317511,-0.001546517542446963,-0.004066836421261541,0.015257211897987873,0.018754308163188398,-0.0006540269107790666,-0.0003038303635548795,0.005872368067502975,-0.002198744000925217,-0.006151771012227982,-0.000249909419217147,0.025834943782538172,-0.00017332019284367617,-0.004744410797138698,-0.0019464288512244816,-0.012013983166834805,-0.0008024563483195381,-0.0039026372815715153,-0.0008613606152357534,-0.005109190467192093,-0.002352472743950784,-0.0024293878226308153,-0.010592180273961277,0.001054633607855066,-0.007269999975105749,-0.0038136207684874544,0.014623422113945706,0.0009818587709742132,0.0003931578059564345,-0.0002000757942732887,0.0005874360309098847,-0.002421083234366961,-0.0037508583918679506,-0.0022731335600838067,-0.0011892514539067634,-0.0008534803173097315,-0.006214756092522294,-0.009650226262165232,-0.00011819888633908689,-0.00044607552699744675,0.008647635856177659,0.0466964606847614,-0.005857083845185117,-0.0029145141696790234,-0.0022865228715818376,0.008787590545543934,0.0023679872787033675,-0.0014614289154997098,-0.008187787166098134,-0.001362193112727254,0.042179553494788705,0.0039344868299667725,-0.000742875760915922,-0.0029908781104313674,0.01624098140746355,-0.00220029324060306,-0.0014233754578162915,-0.0021842332673259078,-0.000816275062970817,0.0002515892952214922,-0.0002063792948320042,-0.006174788273347076,-0.008312722353148273,-0.0003124759098864161,-0.0027584488675347534,-0.002223592953523621,0.0007816379412543019,-0.004663359628175386,0.008980811022775015,-0.001012612125487067,0.0021295968358754185,-0.011252474262146279,-0.004503926752367988,0.02108329722133931,0.003506650935451035,-0.001832857817207696,-0.00805977463227464,-0.0034568713948829096,-0.0011566843549371698,-0.0032637498708209026,-0.0019505012134322895,-0.001732239908305927,0.005500823033507912,-0.012703687011962755,0.0013435400887101424,-0.006553461357252672,-0.005761545876448508,-0.0013389595458284023,-0.004474324370821705,0.004965878239599988,-0.004588233481626958,-0.0010105596875655464,-0.005659491066471673,-0.003050346958334558,0.002390891604009085,-0.0003319579642266056,-0.001064034433074994,-0.0040335838694591074,-0.00255465988710057,-0.0019051369564840569,-0.001316636992269196,-0.0008554508734960106,-0.001796585195697844,-0.004439693713793531,-0.002724149529822171,-0.0014197166757367085,-0.01867429911857471,-0.0007932913269905838,-0.000950571670255158,0.0005157596395292785,0.0017687619767093564,-0.0072886896249838165,0.002275553338695316,-0.0027701531858474486,-0.005028772669611499,-0.0027654853041167377,0.004530571509094443,-0.00041775541365495893,0.008285457729361952,0.004674275827710516,-0.0008518540114164355,0.004762052274309099,-0.0011464913307281676,-0.007692522847792134,0.018484482473868413
layer_6,-0.0006615304508886767,0.06645682823378593,-0.003490515055600554,-0.004302032421110198,-0.0026849600256537084,0.001988640101626516,-0.0028252604906447223,0.009289746345748426,-0.007265592686017043,-0.0004293381501338445,-0.0019641807867446914,-0.0030748791305813938,-0.002978924955241382,-0.0008958251563308296,-0.002184225549863186,0.004811545952106826,0.031925747799687085,0.0012914205991546625,-0.0014215359889203673,0.002195860832871404,0.005251568980893354,-0.004004425283637829,0.00018815942967194063,-0.0004652194231312024,0.0006013511324999853,-0.001957304327224847,5.587444771663289e-05,0.013186462815501728,-0.0003270939810317941,0.015373822092078625,-0.00661494039464742,0.0018897596735041582,-0.0026000503927934918,-0.0020273074274882678,0.012320264247828163,-0.00176129357656464,-0.0025017228901560882,-0.00037487676832824966,-0.0019192569726146755,-0.00018102496906067243,-0.0019425983750261389,-0.0034812947479076688,-0.004165529581514419,-0.002110852010082453,-0.009999787188717163,-0.005872295880690215,0.0008678185439202935,-0.003999432427226566,-0.00444947907642927,-0.001787021551572252,-0.0018819425886613316,-0.0019019676606694706,-0.0025428845314309,0.004084469329100102,-0.006548776354029541,0.0002624651651422028,-0.0023218919360078875,0.00105990644718986,-0.0005584881606046112,0.0002258177625481042,-0.008337093803565948,-0.00024020124197704718,0.033165064375498335,-3.353207095642574e-05,-0.0029954836552497,2.119692217092948e-05,-0.010608518032822756,-0.0020013124466640875,-0.00824588863993995,0.005588912577368318,0.0011088351529906502,-0.0026750980012002403,0.0010846460319589822,0.00792316274368204,0.005061235887696969,-0.0006871497382235247,0.011631191442720595,-0.0030722039836109617,-0.004872848859522491,-0.0022015083156293257,0.0022085361718200136,0.0040349939442239705,0.0062815647944808005,-0.004642441766627599,-0.0045380542791099284,-0.0029228146717650816,-0.019529503675876185,-0.000623761699462193,0.001750045754597523,-0.0010792780356132425,0.0005537192168412731,0.001155024855397641,0.005266145557397977,-0.0015490213625889739,0.0004134259240527172,-0.012985177873633801,-0.0008787758959806523,-0.0023591262774425564,-0.002805081255501136,-0.0009817351071978917,-0.006406647361582144,0.0022729007049929334,0.006293325717560947,0.0034736596018774425,0.004632966844365002,-0.00026820256825885733,-0.0004739375220378858,-0.0009992481273366138,-0.014506780840456486,-6.787730962969432e-05,-0.004234763875720092,-0.0069594431400764704,-0.001158717336365953,-7.914904534118234e-05,-0.0003136599424760789,-0.0006746697518974543,-0.005509156028565485,4.550825222395362e-05,-0.004154681835789233,0.010800711988995317,-0.0011848437578009909,-0.001983711638604291,-0.00275824430049397,-0.014745649167743978,-0.0033286768276593647,-0.0004434284767194186,-0.0028456081455806273,-0.0016475084827106913
layer_7,-0.000791092542931437,-0.0026382150397694206,-0.004338432794902474,0.0014292664825916292,-0.004845729592780117,-0.0013040597439976408,-0.0008264618238899857,0.005579060465097426,-0.001885370005038567,0.0036040394566953203,-0.0007111816162068863,0.002616165176150388,-0.0005172212945763022,-0.001489796597743405,0.0011714966606814416,-0.008304588753380812,-0.0025006998796015985,0.022065643263049425,-0.001826935650897212,-0.00505676087574102,-0.002178334000636823,-0.0005217280592478347,-0.0023185572237707673,0.0024364124331623313,-0.0029883343432447872,-0.005919018461718224,-0.004460629859386245,-0.0020378650550264862,-0.0015897683170624074,-0.0008494658459676421,0.018964430087944493,-0.0023001423128880556,-0.009580457229458262,-0.0007812869438203051,0.0001238211640156809,-0.0031239310081582526,-0.0033680010237731035,0.0010708028054796162,-0.0030445096390030813,-0.0056865986541379246,-0.0017828990574344063,0.010265856775222348,0.0009086216636933382,-0.005239443581667729,-0.005389386751921848,-0.007132435084786266,-0.005368815616238863,-0.0037171759275952355,-0.0013197094296629075,-0.00015875812779995614,-0.0006765030475798995,-0.0024993775207258293,-0.0010971074218105062,-0.008316125852870756,0.004084115092118736,0.0029454897769028324,-0.018141014941502363,-0.001990645505138673,-0.0009972004283918068,0.0006609059253241867,-0.005300695414771326,-0.00044199851428857075,-0.0014204842093749905,0.014439051568042486,0.032606144428718835,0.010248009469360112,-0.001962190051417565,-0.0018745612265774984,-0.0034419690657523463,0.0006489016859268303,-0.0019611739391984886,-0.007049635799485258,-0.000507407683908241,-0.0007319552934495732,0.0003808839770499616,-0.0009537489002104849,-0.004003730300901225,-0.0071016902127303185,0.00368780745076947,-0.0027030305008520373,-0.008316317776334473,-0.0014410092710750175,-0.02390197247790638,0.06895857895724475,-0.0003170371528540272,-0.0019610917862155474,-0.008042288118158467,-0.002113227476220345,-0.0012668091504019685,0.0005099468052503654,-0.006742345509119334,-0.01651023765967693,0.034365842347033326,-0.0010900687133835161,0.0004923718731151888,-0.0027860224185860716,-0.0007484752766322347,0.0006828611134551471,-0.007096888840897009,0.002082187602063641,-0.006511994560714811,-0.0035946704758680424,-0.0022714265814283863,-0.006028368420666083,0.002487495887035038,-0.0008884046466846485,-0.01103263066674117,0.021935116229578853,-0.0023774497093108945,0.002457285466080066,-0.0022669225296704097,0.029537218511104586,-0.0014736453506338876,-0.009965749611146747,0.0011780872568488126,0.00038872256118338555,-0.0016681775309552902,0.00572866051690653,-0.0009408832513145174,-0.0014195907011162493,-0.0012985297315753989,-0.00044804808654589577,0.008662753673270344,-0.0013028775989369023,0.003980937730884762,-0.0009445244140806607,0.002448213857132942,0.0020068113144952804
layer_8,-0.0006116668530012249,-0.005139986915746703,-0.00043518168633454495,-0.008396892248420045,-0.0005640728096477695,-6.825349970313255e-05,-0.0017083222890505567,-0.0005147868217318318,-0.0033758609197684563,-0.006069016985420604,0.0007996983104385435,0.0005210329414694569,-0.007342216433171416,0.00039331117004621775,-0.0005794688544119708,-0.003306969169061631,-0.006396922512794845,-0.0012616056833940092,-0.0052345899859210475,-0.0039327245822642,0.004940150033216923,0.026847723523387684,-0.006651382090349216,0.006764444256550633,0.0005311138088291045,0.006320935136900517,-0.0006717762070184109,-0.0017992714082356543,-0.004695287460490363,-0.0146969954832457,0.001496657039679121,-0.0026075946245691737,-0.00024371113817323931,-0.0044717565190512685,0.0017564263052190663,0.00028544440225232383,-0.006145610216772184,8.983204184914934e-05,0.008229800509288905,-0.004186091842129826,-0.0027518332768522668,0.026374647444754373,-0.0018311998154968024,0.02373101110104471,-0.0017017989471787586,-0.00528901441837661,0.008816294542048126,-0.007013011077069678,-0.0008613829856039959,0.0012686528690392142,-0.004587679522810504,-0.0016519361603423023,-0.005732368229073473,-0.003777404491556808,-5.477158410940441e-06,-0.001317724605760304,-0.008757424412615365,0.0003696995388600046,0.04839819079264999,-0.010395840345881879,-0.002669756951509043,-0.004889208614913514,0.0005331678442598788,-0.0010450136606232263,-0.006670726649463176,-0.003952393133076839,0.0023805985221406444,-0.01108065420179628,0.00047917469637468596,-0.0018336452922085296,-0.004314620768855093,0.010656680346000941,-0.006993619345594197,-0.014439214114099742,-0.0034781259583542123,-0.0019091994783957487,-0.0030846945056691765,-0.0007532650762004777,0.021300483494997025,-0.0011107882483338471,-0.00026098000133060854,0.0025954982347320757,-0.0003791910539439414,-0.0005971724710252604,-0.0005769285619317088,-0.003168861425947398,-0.0016936063059256412,-0.0008741244325938169,-0.00298944680369459,-0.0011576301208697255,0.0004739352696924472,-0.0004157440656854304,0.00021154556379769933,-0.00021583653971902095,0.022145198276266456,-0.003600990287377499,-0.002377558224834502,-0.0001736025582067674,0.0006581727170851077,-0.0005495702194457408,-0.00033958025902393275,-0.0043185515369987115,-0.004113912532338873,-0.000647211979230633,-0.0026543093533837234,-0.0006112737428338733,-0.0017942256640526466,0.03105838753283023,-0.001961937921878416,-0.0023025575681822376,-0.0014898105096654035,0.0017673571076011285,-0.005661377616343088,-0.002877630064613186,-0.0039099553477717555,-0.003917310564720537,-0.004066373161040247,-0.002012958163686562,-0.005539772260817699,0.009778843680396675,0.005775078202568693,0.001556126889772713,-0.0018575185860390774,-0.004110034396289848,-0.0043804423051187775,0.022179542584344746,-0.006615700958354865,0.007743965415284035
layer_9,-3.244477411499261e-06,-0.0038780225018854248,-0.0020225306529027876,-0.004310755376936867,-0.004162825129460543,0.011457390473224222,-0.004194666837429395,-0.004653701756033116,-0.003608954135561361,-0.0008851604734081771,-0.00013933131849626053,-0.0003742390632396563,-0.006731612672156188,-0.0008186988272063898,-0.0012762330909026785,-0.002236482838052325,-0.0018167941493447875,-0.00046712359588127586,-0.0037425881839590145,-0.008197265149792656,-0.0019295616231102032,-0.003206216808757745,-0.005224943954090122,0.008417183205019683,-0.002531520827615168,-0.005306116599822418,-0.005384835618315265,0.00014313882391434746,0.0354242214653641,-0.012745818512048573,0.007404794768517605,0.004725505637470633,-0.007358923110296019,-0.0027783922138041816,-0.002804751502990257,-0.0039779630732664365,0.0026896014856174575,0.011315846763754963,-0.002833447718585376,-0.015016103328671307,0.028802541717886924,0.03857756656361744,-0.002352547064656392,0.0001623597429716028,-0.0019847287505399443,0.0003327115956926717,-0.0036415777899674135,0.007676621093414722,-0.0011946373923274222,0.00042255299907992586,0.0008049598272191359,-0.013875314962351695,-0.003186672904121224,-0.0016399844549596313,0.01842000212520361,-0.002657860376639292,-0.0038014588310034013,0.0043327211470750625,0.0008293731178855516,-0.007571415720740332,-0.0003659604143467732,0.0013628261722624302,-0.0005553832078294363,-0.002577466605580412,-0.0015417077555321158,-0.0031038777317735364,-0.0045709257856651675,-0.0047881181060802185,0.001118755355128087,0.00032438000547699644,-0.0017409446141391524,-0.0009520962448732461,-0.0031760768283857032,-0.0007593774530687367,-0.0017802550271153426,-0.0010690629598684599,-0.0013405216857790947,-0.0003026052154018544,0.002242377859656699,-0.001653455938212574,-0.007524160555185517,-0.014775126023450868,-0.0005977308063302188,0.0038376058219000706,-0.00012565299330162817,-0.0030135134290321733,0.01633487505838275,-0.0003714172913169022,-0.007104823441477493,-0.0006334567644807975,0.033586583654396235,-0.0006296918392763471,-0.00471004734892631,0.006265775156207383,-0.0021757283140323123,-0.004102004930609837,-0.0003647433570586143,-0.0011219608729879837,5.0153049232903825e-05,-0.0011559454277448823,0.0005718592507764697,0.011171042693313211,-0.00353354889608454,-0.0021775571364560163,0.012331959627772449,0.0010127785883378235,0.004017752054787708,-0.005947130309650675,0.0038576916325837388,-0.0014619572368974334,0.0009915521182119846,0.0011390018241945656,-0.01194034784217365,-0.0017303768322744872,0.004465908148558811,-0.007361092320061289,-0.002568320285645313,0.012321954923681915,0.0017200927413068708,-0.0035673059965483844,-0.0011139309650752694,0.0056402517575770625,-0.00016743227788538204,-0.005875906135770492,-0.0005764935433398931,-0.002727286680019461,-0.006342272388283164,-0.004005014374270104
