,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,0.008504985024337657,0.004298281684750691,0.0014167952665593475,0.024409267683513463,0.005548371748300269,0.00682590943062678,0.0012383721844526007,0.01273023058543913,0.0153476729511749,0.0011147970118327065,0.003781612494494766,0.0013882167125120759,0.05004502820549533,0.008254544235533103,0.005884445342235267,0.0023182750400155784,0.0019500910205533727,0.006307964322622865,0.0028664005221799016,0.00922056264942512,0.0019336183252744376,0.0013278898526914418,0.00974984020809643,0.032113951037172225,0.001479602723265998,0.01219557035015896,0.0005801249673822895,0.0075671830598730595,0.0029431174689671024,0.0438664100272581,0.016163411068264397,0.003980891725514084,0.001858504610718228,0.012302552241599186,0.018870638454100117,0.03161918007768691,0.018118956557009368,0.0005996686534490436,0.004946581299882382,0.0012737134122289718,0.006578568163095042,0.00022435675491578878,0.0060639036307111385,0.002261270690942183,0.014531105373753234,0.0011577154346741735,0.0016345321829430758,0.0024150645575718955,0.007244763711933047,0.0018535057810368017,0.0020108586852438746,0.04432065366767347,0.008635730559471994,0.003497750089736655,0.015143947834149003,0.005469589232234284,0.021541401043068616,0.013116380671272054,0.01086373251513578,0.00023985317850019783,1.632254454307258e-05,0.0005505537858698517,0.0067072561476379635,0.0034425264515448363,0.00649708615266718,0.009950909366598353,0.009645468073431402,0.027876273810397832,0.0029194642161019147,0.004288965485757217,0.003761392587912269,0.0008578815497457982,0.0026194927404867485,0.004780195319326595,0.0003154794545844197,0.0021524287736974655,0.008077430495759472,0.024115069403778763,0.010994626140454784,0.009140127692371608,0.0012186974886571988,0.011537205142667517,0.005577216371893883,0.0002143545146100223,0.0008065888879355043,0.0002022133464924991,0.003904800330637954,0.0001505429035751149,0.0016179814864881337,0.003016656095860526,0.0002752298058476299,0.0014684593223500996,0.015952145701739938,0.00028912633191794155,0.001410462370258756,0.005120197362266481,0.010521530759287998,0.0027801627968437968,0.00661399204400368,0.014261812351178378,0.0074184527376201,0.006462466026423499,0.009332849099300801,0.0002884267986519262,0.006258662497857586,0.005093665539752692,0.00359455804573372,0.006368883498944342,0.0008634337107650935,0.004604711455758661,0.0027727773267542943,0.006167469477513805,0.04762774101225659,0.005774797771591693,0.004488161253975704,0.0013364620797801762,0.013172558330697939,0.004984571355162188,0.006697241804213263,0.0024274521751794964,0.004905708108562976,0.009631681347964332,0.0016709713812451809,0.00844845149666071,0.012302281613228843,0.017545959108974784,0.006574798647779972,0.0018009796732803807
layer_1,0.011038541834568604,0.01151137205772102,0.0002757953410036862,0.005231883969390765,0.004160639812471345,0.049781769285909834,0.00047626046114601194,0.0016519515844993294,0.011248094177572056,0.016616768158273773,0.012903219675645233,0.0035634535632561894,0.026526369103230536,0.0018315279835951514,0.009103064105147496,0.00021598964696750044,0.0003525256790453568,0.0128227836440783,0.0034420788154238837,0.004467073726700619,0.01951310071046464,0.007822497681481765,0.000778901242883876,0.00018917640554718673,0.0032774600191623903,0.0013674254110082984,0.00266436628298834,0.002339777200249955,0.0019189942651428283,0.004094632685882971,0.0001301172678358853,0.011191702568903566,0.04933923310018144,0.004665740595664829,0.004143983738613315,0.006751375588355586,0.014417701326310635,0.004961078356136568,0.0026855269074440003,0.010998108176281676,0.0022900489449966697,4.5078822877258064e-05,0.0002518205111846328,0.002888108177576214,0.008118606560165062,0.0005083316861419007,0.0028350943099940194,0.030642653771210462,0.007980163568863646,0.0004681522853206843,0.00022303892183117568,0.00020995626924559475,0.0012839606450870634,0.0016139847948215902,0.021005519953323528,0.0014006758213508874,0.005868661971762776,0.00676954441703856,0.00014658563944976776,0.03422112092957832,0.003343410191591829,0.007640723404474557,0.0009947556199040265,1.9186011631973087e-05,0.014033565763384104,0.015513106061844155,0.017106401511700824,1.5326605644077064e-05,0.00547673950495664,0.0008384139742702246,0.00029107374488376083,0.0059329138847533614,0.004418017701245844,0.0008873506909003481,0.00023139877477660776,0.002035672536003403,0.004418309131870047,0.00012641162727959455,0.0008420348097570241,0.003736561154364608,0.0001674905850086361,0.0148027560824994,0.003382678695488721,0.003482275455025956,0.006474260211689398,0.023954129405319692,0.0061719294416252525,0.0021601915510836987,0.002349311010329984,0.013829498769482598,0.004226090065203607,0.010893906510900705,0.0024882808141410352,0.0033817916584666817,0.005599126609740779,0.0011025467782747001,0.0034905361803248525,0.007169967642985284,0.00809071638272144,0.002425744360079989,0.02003452411503531,0.013602265580557287,0.03079909585416317,0.0031867574353236705,0.03263025579508394,0.008768154982826673,0.00955788389663212,0.0021220955625176428,0.014991518830647692,0.0046298247796949,0.024405260174535214,0.03671897480729967,0.011618760166456923,0.009380153353558853,0.005105472976574674,0.0028745130356401206,0.008757994330953806,0.0033311652741394937,0.020510297790169715,0.01846640759613365,0.002920487493975088,0.002352245172369294,0.003348291097790934,0.018320622345199808,0.003830869159428403,0.0015252208261517808,0.0014939083316130564,0.0019388958683703094
layer_2,0.006838275750633329,0.020639826129190623,0.008852995818015187,0.00833471814985387,0.0026964288332965223,0.024712273759068922,0.011962004713714123,0.006846849349094555,2.6495071942918002e-05,0.00011417723027989268,0.005029551736079156,0.01145873821922578,0.020276901153847574,0.0025812582287471743,0.0011258535156957806,0.0006966214429121464,0.011356105083832517,0.004106209347955882,0.005765359223587439,0.0029139112652046607,0.006782315999735147,0.023732259212993087,0.01771643537795171,0.006512232666136697,0.002060256423428655,0.008531875163316726,0.017482220309320836,0.012942898155888543,0.0024645810050424187,0.005149056396912783,0.0030086661549285055,0.01136341448640451,0.011878002379089593,0.003948358314810321,0.017470663904678076,0.02100414635613561,0.028684296176070347,0.1222435149177909,0.0007550203532446176,0.0021235019154846667,0.004714282650966197,0.002025792691274546,0.016899709374411032,0.00024040687480010093,0.007668622349156067,0.0008965965907555074,0.0009075291000772268,0.004510054008569568,0.011544035212718882,0.009205658466089516,0.0038349839585134758,5.045573343522846e-06,0.006023504497716203,0.0022008014703169465,0.00021178521681576966,0.003122533287387341,0.0136739803745877,0.0032048054062761367,0.003223092509433627,0.0013394323165994138,0.0019330100173829124,0.007315210396191105,0.0006367187993600964,0.0012900545552838594,0.0006787671137135476,0.0003843399544712156,0.005116385548608378,0.0032335052161943166,0.0010734160908032208,0.004273292258731089,0.005077300035627559,0.004109194362536072,0.012335384387988597,6.429230212233961e-05,0.004269013814628124,0.00493871966493316,0.007716893817996606,0.001355055388994515,0.0017850324255414306,0.021362664345651865,0.01661730804131366,0.005840348312631249,0.0010548515804111958,0.009385113046737387,0.0008888198749627918,0.04644462563097477,0.0010858818021370097,0.00030635037808679044,0.00045662910444661976,0.0020528638397809117,0.0015398748224833981,0.008440036223037168,0.0054731252533383665,0.0034494859096594155,0.0059055514051578935,0.009850810022326186,0.009645793283125386,0.0004329295753268525,0.0049121937050949785,0.0021487199887633324,0.0006803976645460352,0.00019944264786317945,0.049554467564448715,0.004430713076144457,0.0015550069033633917,1.4108182513155044e-05,0.0023303902545012533,0.007423052974627353,0.004703165484825149,0.004787722045439296,0.029161344623425976,0.007481351450551301,0.003957985556917265,0.0006192178296623752,0.009882827062392607,0.003955550014507025,0.01074476951151155,0.0029416239995043725,0.01175093928934075,0.0001706449966877699,0.0007789954700274393,0.0005484065151540562,0.0009762250882340595,0.009784659805009142,0.001017555178841576,0.00043600764562143015,0.006753674483625218,0.020841742195189
layer_3,0.006692064504604787,0.0011588862433563917,0.005532184696057811,0.020966245057061315,0.000659859050065279,0.0057107816138886845,0.0,9.380763221997768e-05,0.012800065129995345,0.0008047591790091246,0.0003866264913813211,0.002918874927563593,0.0015674577211029828,0.0016007222887128591,0.0021792980990721846,0.00038467120204586534,0.00023595751204993575,0.008450428082142025,0.0062063936342019585,0.0025918584107421337,0.010556154901860283,0.0015168615675065667,0.0016179808275774122,0.003037191106413957,0.02677211122587323,0.0002783078828360885,0.0003849783906480297,0.05303233397193253,0.01193252883036621,0.013329333402216434,0.0017025461269076913,0.00020209392649121584,0.0021503707591909917,0.004677980142878369,0.005662593283923343,0.016615765749011187,0.020074046003865077,0.0023176008113659917,0.0006334698188584297,0.0007227544271154329,0.0002458280976861715,0.0006337606674060225,0.0022272329335100947,0.04643813296221197,0.004124713290948421,0.020343416944378988,0.00808500732993707,0.0028207834175555035,0.004130882918834686,0.019828621587948875,0.0008315974927973003,0.0032497807149775328,0.00010987399553414435,0.0010046336380764842,0.00023552196100354195,0.001984420280205086,0.0018623299186583608,0.005176917312201113,0.051100075878202915,0.0014153666072525084,0.0008124865472200327,0.011449297057697549,0.00016656425897963346,0.024646543180570007,0.0005174309638096019,0.0024699295056052504,0.004653100755531341,0.010576245110714809,0.0015598843904444948,0.0055666568176820875,0.005441625135135837,0.0029791660112095998,0.020112668975489214,0.00279000420589,0.0014369154814630747,0.0002423800469841808,0.0011511053470894695,0.013004611188080162,0.0005851681376225315,0.0024622575112152843,0.006694221763173119,0.007737885053502396,4.975688527338207e-05,8.561612106859684e-05,0.016162582553224638,0.02386855603195727,0.0009823845513164996,0.00391113119374495,0.025066424566321074,0.00026361340598668904,0.0012789271460496821,0.002048460649093613,0.011165198695962317,0.0028982087632175536,0.0016877977573312819,0.06180399974808097,5.173456156626344e-06,0.001407839856983628,0.0008850302023347467,0.005311928223818541,0.010103457757504658,0.002989039339590818,0.01988696267013438,0.003147158900392242,0.009022055519744753,0.010150505955098197,0.0004048269672784954,0.005221447119256481,0.00047450932674109937,0.016885856286389753,0.01681596822105348,0.0022386372426990418,0.003922833630349487,0.09708035547286271,0.003990772556280717,0.004639531883876771,0.004385726711479947,0.008863406542368467,0.003861525925458409,0.005489763523219154,0.009380768042756244,0.004053947896463797,0.016301853510085493,0.0008730669028591364,0.001192668515141122,0.0002483978390228003,0.010164012596942485,0.008256158459698782
layer_4,0.00036067852459382266,0.0007391704129986465,0.02221053118002601,0.0118212132435292,0.008483272140147165,0.02850990930572152,0.008327515022829175,0.0008788574358914047,0.00013700231560505926,0.003760250669438392,0.003996051436988637,0.030662059575552122,0.002993359590182081,0.05049071970395744,0.012650236206827686,0.08721185833215714,0.004776982144685462,4.701317375293002e-05,0.020114651687908918,0.00546869893616531,0.002525437581934966,0.02867084030760452,9.818895196076483e-05,0.007185495147714391,0.024869224191643297,0.00022610054002143444,0.0018195423489669339,0.006657286086119711,0.01949298899504356,0.0019159204291645437,0.007092001464334316,0.0128488161531277,0.00087992989923805,0.025615093698725104,0.004044230005820282,0.00627322313375771,0.04072197609115392,0.0020688963163411245,0.014884626283310354,0.0002993532386608422,6.866428884677589e-05,9.831276547629387e-06,2.6975146611221134e-05,0.0026157847692957147,0.0010971624619560316,0.0006544558011228219,0.00031281963689252737,0.0001547457557171583,0.011495034815743566,0.029341896245023237,0.004813387098256499,0.00028123224154114724,0.00012556362024042754,0.002421258550020866,0.010522548685548827,2.7901786961592733e-06,0.00023340212064795196,0.006674349954118952,0.0,0.010753747101407498,0.007669580556685105,0.0006702379905618727,0.0030936896649654956,0.0023772907286183907,0.0038269632949959487,0.0020362211216706783,0.015017653533723205,0.00021724750113207846,0.0007556859342730604,0.0060069950757315384,0.0012596397969173267,0.025043874587863682,0.01952309690997936,5.226300563663244e-05,0.00024740176624618473,0.001300044740200974,2.559635555371642e-05,0.00010496914270333945,0.00015210395213216543,0.0006085239304229617,0.008422019222052768,0.001798562778858468,0.006166827048873529,0.00018789948779158295,0.013500624033622444,4.943549633026123e-05,0.0005494690744671971,0.0010755295160925016,0.008038468691520393,0.0018870667298324405,0.0002742369193583727,0.0029068431223277,0.009819748230511323,0.002965087752090767,0.0025131414394127206,0.013957108552567661,0.0008374052948784083,0.0008140420395648107,0.00030324395280331376,0.002751393348444253,0.006846393314190209,0.06915748081635684,0.0006132838025223464,0.0017184167285449804,0.001592096978565678,0.00034173134248703717,0.0,0.0003130608014180325,0.018402323810732923,0.06490197329316288,0.007724073947174475,0.0018390843860106544,0.00020501955907093361,0.005575474726501852,0.0005515114543959499,0.00011560868180822581,0.00013856366043910385,0.012873221391346305,0.0008858950168360025,0.0004999421897809952,0.00011025114799849689,0.0004972714465111494,0.001314603097271174,0.015094624873017892,0.001872163425432518,0.007645985742565245,0.002650899100699462,0.014282142573501916
layer_5,0.018498748106649147,0.0006921894114930182,0.001368528046295978,4.3545810040086505e-05,0.0017859506321838126,0.0003966569434851408,0.028311019618995487,0.04727086333557964,0.002414585783262737,0.005989524382748641,0.009512977387057617,3.5930046578869224e-05,0.0006441863026702777,0.00034733092179521917,0.06247324279509485,0.010198108887998387,0.00034803005284629764,0.0063402189197950065,0.004120954849640839,0.002941750232712366,0.0036769274901598693,0.000699084063526243,0.0003259764134418219,0.003308531051734462,0.00018313161621335894,0.011751319488976151,0.01249284180579707,0.009429178569698706,0.015566480336710811,0.01690430803457275,0.00024772233795374634,0.002040048107737675,0.00406552366388496,0.0009391839994350448,0.0003812002233462408,0.02503829640103504,0.0028322214807849377,0.0001033179892692715,0.0002824102289741859,0.0010590729315299542,0.005420932468259707,0.002697818215820007,0.0007123275939375163,0.01141047727316618,0.1187787177041173,0.008272390755591915,0.0072992701595649126,0.0004968275193823501,0.0038032337656477466,0.00010519845760427415,0.011536140980897471,0.009915175980422646,0.006086195232346654,0.0858923589065671,0.007819921719492412,0.0001802794833201915,0.0006581625866238028,0.03332226242870093,0.009492107511032372,0.0005862400808837265,3.868202213197946e-05,7.321562967263162e-05,0.0035313766670878976,0.001367278138641268,0.000813126897555776,0.008439380464842543,3.607274615205825e-05,0.0020695855864323676,2.6958758826367558e-05,0.010046264952979982,0.00430461865151301,0.0016085234511410817,0.0005062728689517826,0.005033186769578606,0.02541677748435177,0.0038148586492752655,0.008789251984562724,0.009470735637005418,6.671461218502373e-05,0.0063261879386845975,0.0019533076894003897,0.0014988330518826843,0.0034440043708309533,2.1339054219424723e-05,0.006019954751245678,0.012803354503121226,0.01637273334315978,0.001519125725608319,0.005423236150527373,5.8606139500625435e-05,0.0006144011628930457,0.0005664992023957893,0.012196377962827682,0.006348654268076643,0.0008152764482656494,0.00287774313474074,0.003243148954352364,0.0029463004507124424,0.03976990160997957,0.001298894346691668,0.0053991688846144826,0.0019330787216313183,0.002105387948686257,0.0015160558093339205,0.015064299689838663,0.00040927582420408726,0.000605781763442792,0.0029658812953857706,0.0004572218254907057,0.005554965031333268,0.000171164232888259,0.0012062364956364035,0.0012078321664012036,0.008529288601130247,0.004661762497271411,0.01295135918597225,0.00010211403074208647,0.00387433199910447,0.0034783196437638253,0.010590506055159495,0.003205832103267312,0.027992929443717004,0.007299273730022832,0.00454550098918844,0.01373990043764934,0.0001993926565046422,0.00161295005120337,0.007498981623211875
layer_6,0.008363601401215419,0.08925192963331938,0.005046871516969986,0.01116843375028111,0.0014083262675558218,0.02296748001128435,0.009182197064510546,0.012184114243136718,0.005353592383326031,4.592747194692492e-05,0.0001350741588976234,0.0017061401589307933,6.432442751247436e-05,0.00015808439697138964,0.00018048275320325046,0.01219384118448943,0.07734520344994962,0.0013905780855566264,0.01540906319161877,0.0016613297472940758,0.016586132614174857,0.0026336044643539935,0.006742000753292814,5.6609977036714554e-05,0.00043933290115091947,0.0002696124708745629,0.002685106152202934,0.016898777289316057,0.00040688817185582595,0.038421335734892634,0.001176231337012723,0.012919820951065048,0.0009813815058441833,0.0039129445271100845,0.0019455484463833273,0.0011713397345738486,3.3017114037647844e-06,0.005015947789070196,4.584988346323371e-05,3.681172704091296e-05,0.02774454022292048,0.0009154083946486935,0.00037241884449031206,0.0021411051822360604,0.0037820228823693468,0.017334602512419223,0.0010070911626098677,5.427817173767835e-05,0.00042244707874488084,0.001485685933730565,0.0034686443017562852,0.0010966072609880939,0.00014473481918685137,0.0023363322135992346,0.000547227825736627,0.001320862607099116,0.0015213307470548897,0.002749652411439456,0.003337354358518496,0.003838739091879688,0.010152385369874537,7.620317570399493e-05,0.07089222970651463,2.3484004486817867e-06,0.0005687287676846609,0.0007766585884382948,0.037731835858430714,0.0018464076111558824,0.002988037038594484,0.01495909329270944,0.0024680335877928883,0.0012008444155799224,0.004763151969527825,0.01239060404477641,0.04154077135608532,0.0,0.026150578755186872,0.0005538439011434093,0.0015025231544859706,7.701881346292793e-05,0.0030770453275181355,0.011073564959224314,0.019118580061476678,0.0011045503610512242,0.00648792065680027,0.00028057202929630874,0.01586200134479441,5.798146186862141e-05,0.001885006434749812,3.2373822177760305e-05,0.00029785155958961696,0.022791399045381695,0.016679990596603602,8.597511332482099e-05,0.0013908057363005355,0.015358289366122335,8.756704279221595e-05,0.0006378532887902111,0.00232592481886968,0.002107510993955657,0.000670293330331333,0.02812458487576805,0.016953810170525684,0.016104563522385432,0.01356042207335122,1.8527561624068768e-05,0.009418344963341952,0.006971873814472928,0.009268885778728872,0.007132441891590133,0.00022073251544497908,0.024245167393237354,0.000776071646832861,0.004878254153300077,0.0005796973401447758,2.33075040159747e-05,0.01907396561524365,0.00014651508769020438,0.0007372548527200707,0.018294620646047408,0.0006931093765888363,0.00017706651124171913,0.0026496520556975158,0.002019221848458983,9.26986409467645e-05,8.040364715270697e-05,0.0019923909223871304,0.0005300998373422771
layer_7,0.010856214697705582,0.0005124774429714307,0.0008292133308714256,0.0009419071295997128,0.0006660089455544949,9.480794542469084e-06,0.00015123273071367292,0.019076894586905837,0.0025576828164048495,0.00748029935406521,0.001435907252598554,0.006334086139104329,0.000986990929231979,0.020077868555672465,0.0002655596871045418,0.0044000968826003375,0.011006523750256746,0.0557840014831163,0.005092525835498236,0.016960617470322178,3.303215955384076e-05,0.0,0.0009809096949175,0.023045660997740924,0.0015437639501760714,0.002982540566008538,0.00022443029942223803,8.893619698937982e-05,0.0017681860120501369,0.00505864331847988,0.026396823507966474,0.0005886176641797647,0.006704500478808768,3.720819426234812e-05,0.003680404918268323,0.012726424924330786,0.003992997374152765,0.010407232022844255,0.0003353755990974605,0.0005648472282337025,0.00013699731323868036,0.026835488326614722,0.013225699954200537,0.004165257726563141,0.010262163216248154,0.0007517387700499967,0.00517937409458682,0.0023371979768853635,8.287075208500027e-05,0.0,0.00024853972543496637,0.0001851460715988651,0.002066655961680226,0.005996756271924824,0.004632240870851092,0.005523754188325256,0.02032815091079101,0.004796362707857042,0.002421735180541873,0.002037411983474158,0.0017568048444809392,9.289013571105897e-05,0.00017254997044801712,0.019509161605965344,0.025942926354473456,0.034742059679701925,0.0019031907891621813,0.002728584110736847,0.003791157953091897,4.6701509272679684e-05,0.002462664399645291,0.012097771450644359,0.00030435809399932624,0.00047582657483872024,0.005428128209896386,0.0018148658843711019,0.0007913760573137552,0.0083258071471937,0.005123249319731258,0.00341254755796399,0.007956626957748085,0.001580346667324193,0.024220303692854942,0.11774034351110459,1.0811942629516125e-05,0.00035873187822289766,0.0024657896894495933,0.0009917775250505656,0.00020531929039862006,0.0076537521311547604,0.02794800471980125,0.00526062011020258,0.06148602232336998,6.96963386144489e-05,0.014659987859195098,0.000608035648765508,0.0006253407627809793,0.003062452367739752,0.008143693198217079,0.006226017568842508,0.0007336166669847443,0.0007461924286326394,0.0001928165042772889,0.0053550598066067325,0.006052156513324008,0.0004397677135420963,0.0021993193385424093,0.057439785227179525,0.0003422857791883871,0.006416354305692948,0.00012295158114284277,0.009115600200602784,0.0007472421444253995,0.01216258275322616,0.013602074816590174,0.0007530914258677512,0.0017248226038645953,0.005838115579681471,0.00521078854217194,0.0029315485758706927,0.003909293210599571,1.585328718647361e-05,0.02952445739880204,0.0015678914793534205,0.003336416618549265,0.001154294664156623,0.011995901204645634,0.01636612536618486
layer_8,3.158679523039609e-05,0.009783227117732168,0.005352997613372281,0.00155441262118984,0.009503385940333828,1.4973958896007389e-05,0.00015930744630168192,0.0006780433550011367,0.001182627126108855,0.0017019483563490213,0.006282789404504001,0.006663093824172393,0.0009262706211302429,0.00021148788917344064,0.00046990636619739237,0.002792374003911391,0.0006028372125001624,0.00039051735075190663,0.002504329445073381,0.00168212013784796,0.011533418882172554,0.08087300595827401,0.00043338318704627454,0.04693349143024534,0.0002529876900371164,0.0032989390776492654,0.0010943128739017993,0.0009181415499188006,0.0011325601750286295,0.006055324792396277,0.002958282604231499,0.002502577706472948,1.0172525653615594e-05,0.00019293006684165448,0.008193293887306935,0.0004765295679681003,0.0005118689342634752,0.00037035193294286727,0.0515475311409682,0.0009808429353870452,0.004525374501827173,0.016981105767190457,0.0007562527849222533,0.03462137126596645,0.0004133859183639288,0.0003946029470534995,0.004505585064762272,0.0005655385210411623,0.0021673722966806964,0.0038548783684382217,0.008152070717187598,9.437289729248732e-05,0.001825880376272835,0.0009156414977042005,0.0010043340688571335,0.0011075791309121995,0.0008615406270837411,0.002006983109167777,0.07553245931863785,0.00033905943389981984,0.0017900505766738205,0.0007010452428949065,0.0018184292485238984,0.006411122372373939,0.0015542785415891558,0.0009489408682566136,0.007253887765109539,0.017736542287748305,0.02094691334175877,0.0021751776878954844,0.003798407791182399,0.03300458391779102,0.018211111226701177,0.02153864989057183,0.0016966597881400958,0.001130622248747386,0.0030090338503941895,0.0014148472501256037,0.05510121231898665,4.931697505526245e-05,0.0,0.017416090259794147,0.0021747241134289653,0.001809199451818131,0.00014217313553672285,0.0014339499099878595,0.00011248025286477059,0.0021160509940818884,0.0065479688358027486,0.0036438596819061784,0.0002566474792547524,0.002232256382703781,0.00036187042365781963,0.0003416103168274276,0.026729428991675377,5.567557644098997e-05,0.003424470408936031,0.008914140276610851,0.003241709495196119,0.0006067278102273122,1.4141132123768329e-05,0.002510255459928885,0.018377883597277104,0.0007310506666544825,0.0016338815208291634,3.06687131524086e-05,0.0004009273200063035,0.08237906519323587,0.0010651993408100678,0.0018796102225314825,0.0005752263980684802,9.473308047745376e-05,0.0013962770922807976,0.00034107888815924524,0.0012518329604063183,7.661201409064233e-05,0.0016884196386672556,0.000413159363088198,0.004569013908621855,0.03864025017246604,0.0019713109679287298,0.0006351927341893315,6.85459579108283e-05,0.013329083586577327,0.000757962204515934,0.06606218126136809,0.0041388325800653545,0.03972367568872869
layer_9,0.0001369622757192701,0.0002061810635495931,0.0009137169108726084,0.010119090377120301,0.0008636291424045339,0.06308227278292179,0.0018775711389025674,0.00814620641991496,0.007974245910299943,0.0009092433023033664,0.002523675070842728,0.0031574504752643405,0.004997068336233496,0.00125941154838074,0.005833727780263871,0.0006811763497535139,0.0043763681710697715,2.98241782002151e-05,0.009822678031632677,0.008754915583413094,5.31364930793643e-06,0.003684545629657805,0.00025884663220494987,0.0010484423395246266,0.0001751075079664588,0.0029712843243032694,0.0126920673600398,0.0634418634045869,0.07733912130817772,0.03280107716098428,0.0017614089377457275,0.0061344404064584525,0.003108501369133592,7.148014847189189e-05,0.0012415739195421338,0.0030066197569249197,0.01690945297945291,0.004309926094138063,0.0021028285240754486,0.01186414806288667,0.06254010386765003,0.027739487262442707,0.005386618198826909,0.0019123446533922106,0.008495082174194977,0.0016856608996749856,0.002383321918314323,0.01628599675488658,8.976614190032705e-05,0.00018900756142102183,0.001996082051191479,0.01742126896744594,0.00018062282935716212,0.0017640937824035063,0.038955232296139,0.0007826312119141221,0.0003227940498618409,0.001190514335175976,0.007671762818936259,0.00838742332183756,0.00013182564958697185,0.007205983486492187,5.337584298104048e-06,0.0005545537872239947,0.005983803303679452,0.00011261961131822318,0.0012946866056881845,0.0008959916792809963,0.009344512869720347,0.004195517902262509,0.0010379550166544505,8.775587484706193e-05,0.0007223690644605085,0.002098424452415202,0.03215966673567891,0.014879547243472189,6.441700388677418e-05,0.005818128735991195,0.0005095260636880993,0.0025850640621501953,0.0006993932777550071,0.0028777374292258172,0.0010498122195713223,0.016032903032610193,2.5809151702560486e-06,0.003037861343473196,0.059637948870658875,0.0032584907388081776,0.005714798297267407,0.0010623375419527292,0.045570763982832434,0.005101317778462544,0.0035268244566395877,0.010550869269063696,0.0006163981673307717,0.004318840270279907,0.001989801462041214,1.5171596314758063e-05,0.0006983638706151396,3.2684195321053264e-05,0.0013741245571873152,0.01034832001547329,0.0007551084650913254,7.031443878076971e-05,0.009323580436175689,0.0010488005762454122,0.012917985032545402,0.017243796969996766,0.03077627020305954,0.0005240659439004957,0.0004365352768218145,0.0010609241551719605,0.0057237519312184305,4.452759603736922e-05,0.0045078226539772,0.005420486304792575,0.0004983459820505231,0.025887015499174593,0.0010061366786248982,0.00040835116000380366,0.0005114094965392724,0.02052637631772086,7.543698884546757e-05,0.0008532558305887506,0.0003554798022378236,0.002808835871401243,0.003740675518056378,0.0002909302921034396
