layer,expert,expert_label,mean_activation_correct,mean_activation_incorrect,success_delta,delta_height,delta_position,delta_rotation,delta_ordering
10,34,L10_E34,5.506131752882854,5.406339980288094,0.09979177259475946,0.14618325759382778,0.03562924067179374,0.009590498188085661,0.1417456567287445
27,50,L27_E50,5.063129774414667,4.976354007338202,0.08677576707646484,0.11191007845541989,0.05321566899617469,-0.01989078208019901,0.0715652465820309
20,118,L20_E118,5.455419276020314,5.369167272063801,0.08625200395651333,0.1132910172728927,0.05682368596394838,0.024236874622211246,0.10402258038520884
16,3,L16_E3,5.6698203417334225,5.58712672230392,0.08269361942950226,0.12385742979891123,0.02046820958455431,0.033456827464856786,0.1679865956306461
20,115,L20_E115,5.696726378827992,5.616555408490542,0.08017097033745024,0.09862082407754968,0.05307022094726577,0.02657319683777626,0.11341140270233119
34,1,L34_E1,5.079764182024663,5.00564796868774,0.07411621333692242,0.07832034545786204,0.07882963816324828,-0.023161141495955384,0.08472753167152458
28,71,L28_E71,5.569715079694691,5.498216101158423,0.07149897853626808,0.06973887979984283,0.021601435343423958,0.016016198877702337,0.11827661991119331
18,120,L18_E120,5.1050446529199585,5.033601143687067,0.07144350923289178,0.059564342393594316,-0.01470473607381173,0.03131839266994518,0.11906879544258153
15,50,L15_E50,5.1279332283699866,5.056597315746805,0.07133591262318184,0.10124762706896817,0.051592604319255386,-0.007124031844892187,0.055748820304870605
34,22,L34_E22,5.496438437169141,5.425346551531534,0.07109188563760771,0.06998825423857724,0.057948067982992235,0.02035296276995968,0.1387944579124447
17,56,L17_E56,5.610450518013227,5.540434459380083,0.07001605863314442,0.06603020867880627,0.0002501614888510417,0.04995026191075613,0.11540562510490382
8,115,L8_E115,5.557420711706181,5.49096832785718,0.06645238384900054,0.10305993434260863,0.044511807759602284,0.05105888425258165,0.022676914930343628
14,83,L14_E83,5.5464661758725,5.48016264446603,0.06630353140647038,0.0746457234901543,0.015331522623697857,0.013623571186734296,0.0940215647220608
6,100,L6_E100,5.365203748835196,5.29972034473483,0.06548340410036602,0.05045702439897237,0.07910460789998375,0.04203066177535408,0.11152219772338867
9,56,L9_E56,5.225902307151568,5.16064689948806,0.0652554076635079,0.08379708931726526,0.05719076792399136,-0.012271154345127044,0.11363766789436358
22,34,L22_E34,5.363799718346926,5.298784240033714,0.06501547831321197,0.06287129048038942,0.03793434778849303,-0.0023047850843065376,0.1483876824378969
7,20,L7_E20,6.3684507218918,6.3034442148878425,0.06500650700395738,0.08577616162159885,0.04444536844889324,0.02999160164280923,0.09482917189598083
34,34,L34_E34,5.416947959673287,5.353220625465929,0.06372733420735788,0.04903829711324992,0.0382125918070475,-0.01831856945104704,0.15162161588668788
9,103,L9_E103,5.607382462756468,5.543776642917391,0.06360581983907743,0.12098811216214145,0.05122231801350985,0.025553506717346686,0.04585497975349373
21,56,L21_E56,5.396676148518478,5.333343229963628,0.0633329185548499,0.07520933536922225,0.04529056549072319,-0.013305287612111805,0.11811155080795288
28,53,L28_E53,5.189456906649146,5.12618026286862,0.06327664378052589,0.07331484731505888,0.007304592132568288,-0.027343974824537653,0.11617879271507281
20,95,L20_E95,6.196700823189008,6.133765051596141,0.06293577159286734,0.07222766648320622,0.038302758534749515,0.04918612931904054,0.10263305306434578
30,120,L30_E120,5.308057072139023,5.245402167074657,0.06265490506436588,0.05885633125024725,0.021487344106038364,-0.020617544651031494,0.1563362836837774
32,115,L32_E115,5.506027316102887,5.443410155765189,0.06261716033769815,0.07996146994478526,0.04951181411743111,0.011231922266775385,0.11675884127616865
21,55,L21_E55,5.252615059956466,5.190475707867472,0.06213935208899368,0.08413372670902941,0.03654772440592424,0.021785308394515646,0.0601007699966436
16,71,L16_E71,5.465128539812447,5.403657197154884,0.06147134265756282,0.05812401193029704,0.00689202626546237,0.020365563401004927,0.1268765211105345
15,91,L15_E91,5.9042143774504705,5.843479336703502,0.06073504074696867,0.07857783752329173,0.05816693623860658,0.025873897368447807,0.08170579075813311
21,26,L21_E26,4.9153203917021795,4.854628609175666,0.060691782526513194,0.04905830060734484,-0.0013147099812833574,0.02761614427231862,0.014989256858825684
28,3,L28_E3,5.288599240897906,5.228150496913438,0.06044874398446787,0.08974389731884003,0.00823852539062564,0.017272187952409368,0.13043761849403346
11,76,L11_E76,4.972264464538877,4.912266685013787,0.05999777952508989,0.07403491525089034,0.010429306030273366,0.028341845462196424,-0.012873548269271673
32,113,L32_E113,5.343741723806551,5.283999329825309,0.05974239398124226,0.017947586143717942,0.010109322865804238,0.05639437834421823,0.12368544936180115
20,9,L20_E9,4.968166733732318,4.908944689709207,0.0592220440231106,0.06735476150232245,0.0077852121988932765,0.01499538045180504,0.06324054002761859
20,12,L20_E12,5.477632711429407,5.418676205702051,0.058956505727355335,0.0699876950067635,0.036576010386148994,-0.01789796247816966,0.08792269229888916
16,74,L16_E74,5.327608453165187,5.268829969259409,0.05877848390577789,0.05965134150841678,0.027625802357992058,0.024643839451304217,0.028310102224350153
32,118,L32_E118,5.316599298231672,5.257844256716827,0.05875504151484545,0.07848032169482266,0.058691171010335275,-0.016469520434998053,0.09156018495559692
25,1,L25_E1,4.842004979010856,4.783281020097509,0.058723958913346586,0.05523448130663677,0.042087109883626184,-0.0023653360835291792,0.0910754978656767
11,104,L11_E104,5.183746455919625,5.125282209453774,0.05846424646585113,0.04363711791879954,0.05807262420654258,-0.012372302381615796,0.07347503304481506
21,11,L21_E11,5.168062417814047,5.109614491861401,0.05844792595264625,0.07817195794161602,-0.006145184834798201,0.014459959247655974,0.07959325909614545
21,22,L21_E22,5.963233414262828,5.904889207221194,0.058344207041634455,0.0723722454379585,0.036778335571289844,0.023781227438073316,0.13136724829673785
19,60,L19_E60,5.406245788725296,5.348186402017855,0.05805938670744126,0.0772173974443886,0.03284273783365865,-0.009478605630105719,0.15094325542450004
16,102,L16_E102,5.69465420033672,5.63667366576434,0.057980534572380726,0.05698709628161236,0.04725980122884099,0.06318936849895262,0.11683410406112671
42,67,L42_E67,5.717697837565205,5.6598446377145,0.057853199850704584,0.058151191648314615,0.027478434244791572,0.01673585281037404,0.12137733101844805
19,26,L19_E26,6.574781158182881,6.516962340045533,0.05781881813734735,0.07646209001541138,-0.008324197133381617,0.04616459106144166,0.14672634601592982
27,108,L27_E108,5.158887438254781,5.101311772962079,0.05757566529270175,0.08112367286401678,0.01611248016357436,-0.0022852556747299246,0.05805501341819763
32,95,L32_E95,5.616109333416023,5.558620749508656,0.05748858390736622,0.09108880162239075,0.01809316635131797,0.029510510595221362,0.12843011021614092
13,35,L13_E35,5.675461679401964,5.618014217619114,0.057447461782849985,0.05369800504516142,0.055722103118896804,0.00755977735184743,0.0438467919826504
22,84,L22_E84,5.005559949591609,4.948502280640363,0.057057668951245866,0.018060287131982378,0.02765097300211572,-0.0018855281043466121,0.10833222270011955
23,15,L23_E15,5.322454339206809,5.26549881995721,0.056955519249599185,0.05782130009987796,0.04009101867675735,0.0025753744861543026,0.08172683119773883
6,23,L6_E23,5.998454405529665,5.941521711572755,0.056932693956909475,0.04001105094657209,0.01876791636149111,0.06387670521150568,0.11532617807388235
6,54,L6_E54,5.406639037746014,5.3499839967708525,0.056655040975161164,0.04886284207596514,-0.0170385106404618,0.10934873631125974,0.048859906196594416
8,122,L8_E122,5.783965658433367,5.727505468604557,0.05646018982880996,0.05969624484286573,0.022935886383056214,0.01802627141015556,0.13521264195442217
18,54,L18_E54,5.150749532303007,5.094602275452885,0.05614725685012267,0.06016279231099553,-0.011208432515462441,0.10841151705959362,0.05974045991897636
33,22,L33_E22,5.495899663113131,5.43976554424069,0.05613411887244091,0.07139797070447162,0.026887480417887133,0.008140624615183611,0.1364490151405331
23,113,L23_E113,4.9299513467467655,4.8739716153479735,0.055979731398791976,0.037927710834671835,0.03295509974161792,0.009617785612742402,0.04532344341278094
23,70,L23_E70,5.132382170988782,5.076749798446196,0.05563237254258624,0.056760972913573404,0.05400759379068987,-0.002195925043340985,0.06391963958740199
33,55,L33_E55,5.327491075685709,5.272152647126878,0.05533842855883098,0.07670523752184444,0.0480563354492185,0.025342748876203913,0.024575728178025003
15,10,L15_E10,4.975976929806246,4.920726575181636,0.05525035462461059,0.07799331230275808,0.016514466603596567,0.018052572743934014,0.0854815363883974
20,113,L20_E113,5.390627110358512,5.335387030572796,0.05524007978571621,0.007803475155549577,0.002750879923502758,0.046755723785936176,0.09163172245025653
20,64,L20_E64,5.1313790094734415,5.076738142249576,0.054640867223865186,0.06302920071517715,0.02198952356974271,0.015068043742263448,0.12796249985694885
8,70,L8_E70,5.542024296109039,5.487984368633666,0.05403992747537334,0.10262841249213484,0.0432343800862629,0.047999361105132365,0.020549267530441284
19,76,L19_E76,5.29828149965494,5.24457019308339,0.05371130657155021,0.06288282134953693,-0.01065849939982133,0.04558963942946015,0.1223771870136261
19,45,L19_E45,5.357579009367688,5.30405474506493,0.053524264302758695,0.05608460307121277,0.03725049336751329,0.033545647796831446,0.13812559247016942
43,1,L43_E1,5.386261198780324,5.332927788380396,0.05333341039992767,0.0720412512035935,0.03008104324340799,-0.0035652727411505936,0.13045813441276533
6,2,L6_E2,4.817086068710478,4.763816197181625,0.053269871528852875,0.0858130972175033,0.03691717783610038,-0.01990148268247882,0.10855662226676888
35,70,L35_E70,5.184102308632124,5.130875890470269,0.053226418161854916,0.0701091508654983,0.03350686391194646,-0.0014879463011752136,0.08966155648231489
19,86,L19_E86,5.352370370732675,5.299314626483215,0.05305574424945991,0.06885098096202391,0.039569676717122526,-0.010107607172247235,0.10091185569763184
26,83,L26_E83,5.241801573498415,5.188849940347831,0.05295163315058371,0.04589027955251623,0.030079034169514962,0.005109954298587738,0.08100226521492004
23,31,L23_E31,5.302783862198933,5.250086339421097,0.05269752277783635,0.07571961862199483,0.040257549285889205,0.009088619759208605,0.05252807140350324
39,50,L39_E50,5.111451625823975,5.058839738967028,0.05261188685694673,0.05413432243992311,0.044414933522542555,-0.01328805454990345,0.02346201539039594
8,95,L8_E95,5.970263103447338,5.917769258237603,0.05249384520973521,0.07664846585077356,0.010685062408447799,0.05474260919972451,0.02685115933418203
20,10,L20_E10,5.2701656369879695,5.218204565271486,0.05196107171648379,0.05397291656802672,0.03915653864542712,-0.03355435007496865,0.060884016752242864
40,71,L40_E71,5.673981510766662,5.622038986371911,0.05194252439475111,0.04588515968883744,0.012472451527913542,0.010231844165868864,0.10371963977813792
10,116,L10_E116,5.117711709277464,5.066084718225792,0.051626991051672455,0.06655285551267554,-0.005793889363606475,0.02321234293151253,0.02243139147758555
33,58,L33_E58,4.935409715860197,4.884020704888181,0.05138901097201565,0.05333070544635543,0.06004154205322276,-0.00398866021842359,0.10595391392707842
31,89,L31_E89,5.091756636553471,5.040486042316143,0.05127059423732838,0.07913738839766538,0.0459151649475098,0.003900773692548931,0.06408992409706116
7,96,L7_E96,5.453007622520523,5.401762987857678,0.05124463466284457,0.09354084730148315,0.024995822906493714,0.014570380512036962,0.03690687417984062
4,107,L4_E107,5.162261136687628,5.111250164516793,0.05101097217083517,0.058483186013558175,0.002661673227946082,0.02610594347903561,0.04296391606330907
33,103,L33_E103,5.491588885241216,5.440605530372033,0.050983354869182484,0.08459801095373454,0.0375120544433587,0.0031831484091906503,0.11907791495323128
1,19,L1_E19,5.129583037725769,5.078828264638333,0.050754773087436256,0.060590904425172454,0.013446648915609316,0.03281227643029716,0.06470761895179766
7,60,L7_E60,5.547563911664604,5.4968753419193535,0.050688569745250156,0.04433961475596693,-0.010387986501057433,0.007362314483575716,0.1475996971130371
7,26,L7_E26,6.139132735752823,6.088460689404338,0.050672046348485544,0.03226907814250257,-0.008571027119954167,0.06420731753633735,0.10767806172370875
25,43,L25_E43,5.222654814767365,5.172142571031449,0.05051224373591623,0.011152993230258978,0.010696697235108132,0.020886624068545245,0.08849980831146276
22,115,L22_E115,5.16991916033301,5.119411771512749,0.05050738882026096,0.05626077950000763,0.01901061375935864,-0.004710660691847224,0.09836530089378304
33,115,L33_E115,5.278334976422904,5.228025621395047,0.05030935502785727,0.0624941648805839,0.06823954900105811,-0.002406932805714135,0.007166403532028021
24,19,L24_E19,5.037088365838079,4.986936392194052,0.05015197364402635,0.051116103635115095,0.04443108240763394,-0.002860136199415386,0.06517204642295837
34,64,L34_E64,5.749236059660959,5.699327939330136,0.049908120330822925,0.05512516814119639,0.035617396036784044,0.0038251584036315123,0.10584046840667671
7,4,L7_E4,5.176820844706922,5.126988804858664,0.04983203984825835,0.0739051147418861,0.0006010309855142282,0.04298314086177868,0.03552176356315684
29,124,L29_E124,4.953534367060898,4.903704368948538,0.049829998112359775,0.053669606061542474,0.034855079650879084,0.0236696098980147,0.020544272661209284
8,75,L8_E75,5.075520439903335,5.025930503539018,0.049589936364316856,0.06653172478956293,0.07203367869059285,-0.002945392801049884,0.08447182178497314
23,75,L23_E75,4.913881504889762,4.864345285804774,0.049536219084988176,0.035826903055696135,0.017404562632242992,-0.004344611837152179,0.10441530346870387
29,56,L29_E56,5.251576031788741,5.202049300024741,0.04952673176400069,0.05309295216027454,0.004924017588297858,0.01428592727895417,0.09180692434310966
29,109,L29_E109,4.866868028546324,4.817347660511234,0.049520368035089746,0.05612153779057927,0.01924132664998357,-0.0017733720310948442,0.12640906572341937
11,127,L11_E127,4.773412827217933,4.724008467683824,0.049404359534109155,0.07238891019540716,0.03729108174641915,0.014514909501661677,0.10239834785461444
10,60,L10_E60,5.534594398913997,5.485228115898311,0.04936628301568646,0.06213010935222396,0.04514353434244711,0.026836217495432635,0.0629911005496977
15,108,L15_E108,5.035907056071971,4.9865765396169195,0.04933051645505149,0.060220444903654524,0.03031535466512114,0.0010649906961539557,0.0669727265834803
9,11,L9_E11,5.149442479161933,5.100116996063437,0.04932548309849594,0.08024308611364894,0.01829507191975921,0.0011088597147086432,0.017110204696654918
45,78,L45_E78,5.504052431276529,5.454771486811813,0.04928094446471576,0.055354902849478194,7.216135660836898e-05,0.012932542123292201,0.1179873108863827
34,122,L34_E122,4.988596835939011,4.939338929677089,0.04925790626192139,0.03963541546288685,0.040548470815022775,-0.008145036404592965,0.11643640398979205
33,14,L33_E14,4.976482551876861,4.927285208749931,0.049197343126930804,0.01417165381066976,0.03131823221842467,0.01931017532683299,0.15404576063156128
11,11,L11_E11,5.098925023975939,5.049860885709425,0.049064138266514234,0.0952583735480026,0.010176455179849775,-0.003354084073452057,0.05097038149833644
22,1,L22_E1,4.99188489725094,4.942887762318486,0.04899713493245361,0.04287260507836077,0.0036569023132324574,-0.011584560076395967,0.038494503498077925
10,1,L10_E1,5.073915439076943,5.024981736339455,0.04893370273748854,0.03207057363846744,-0.010950667063394981,0.009668673339643163,0.0695375323295595
8,59,L8_E59,5.382543195592294,5.333787859084215,0.04875533650807906,0.06908263178432694,0.014842179616292306,0.008432102830786548,0.11629334092140198
5,88,L5_E88,5.17281180089063,5.124058482638969,0.04875331825166107,0.050580444581368234,0.010647672017415566,0.03329130536631553,0.08834064602851832
18,106,L18_E106,5.476246899897509,5.427626555579961,0.04862034431754836,0.03261470531716082,0.021966317494710452,0.03408631630111092,0.09549236297607422
37,122,L37_E122,4.967933749208356,4.91937929332057,0.048554455887786396,0.06678607533959813,0.025674591064452912,0.00325824607882641,0.04473419189453143
8,10,L8_E10,5.0505096699931835,5.002124650821239,0.0483850191719446,0.06203870650599974,0.0325985272725422,0.00047010810751668686,0.026667261123656694
28,2,L28_E2,5.1983727559004675,5.149994877269834,0.048377878630633475,0.06046663400004881,0.0029756800333657907,-0.000977171094794116,0.047846823930740356
15,44,L15_E44,5.293770927013737,5.245425922814819,0.04834500419891796,0.08980914687409136,0.043550116221109825,0.01546088227054554,0.0030859589576719415
