,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,4.874064283370972,5.00931492805481,5.159128313064575,4.58121835231781,5.044324350357056,4.9396419429779055,5.093413228988648,4.81827552318573,4.7483712005615235,4.8800424432754514,4.8393847846984865,5.090222024917603,4.609182085990906,4.994632530212402,4.808463482856751,5.216819787025452,5.0251415252685545,4.858870568275452,5.033250193595887,4.926943984031677,5.148859562873841,5.063717951774597,4.921387968063354,4.7089987468719485,4.83697741985321,4.7656427669525145,5.074223899841309,4.897562112808227,4.903552937507629,4.773005027770996,4.820228438377381,4.946043567657471,5.120706434249878,4.88464358329773,4.781059322357177,4.832225680351257,4.766217970848084,4.997695074081421,5.018563656806946,5.17285918712616,5.0418098402023315,4.989470043182373,4.995424327850341,5.068803486824035,4.763184571266175,5.367526168823242,5.04329993724823,4.985272927284241,4.881843357086182,4.7732353687286375,4.944586706161499,4.850083885192871,4.785456986427307,5.225914492607116,4.6774879693984985,4.897259712219238,4.8551659631729125,4.801760272979736,4.836252150535583,5.224382967948913,5.219172358512878,4.853726615905762,4.876775188446045,5.02076548576355,5.16081856250763,5.243167324066162,4.93828085899353,4.717703466415405,4.891290011405945,4.8350335884094235,4.896571822166443,4.989463729858398,4.967164912223816,4.9654964303970335,4.99244462966919,4.992394156455994,4.759653868675232,4.732345051765442,4.726015620231628,4.920908241271973,4.951310076713562,4.943699650764465,4.987983012199402,4.8610561752319335,5.209195027351379,5.122146978378296,4.8035532569885255,4.8757221889495845,5.0493702840805055,4.775265784263611,5.3463815546035764,5.06031225681305,4.622665429115296,5.202533421516418,4.987713027000427,4.861957740783692,4.930361366271972,5.018907885551453,5.192901072502136,5.0003182983398435,5.175821166038514,4.924302792549133,4.910693163871765,5.272092237472534,4.900239605903625,4.786180944442749,4.9354990243911745,5.197303776741028,4.928174901008606,4.892681775093078,5.118809423446655,4.810359139442443,4.63653793334961,4.793094868659973,5.103825125694275,4.941235637664795,4.681571297645569,4.866069464683533,4.938606524467469,5.206304268836975,5.333909888267517,4.846759848594665,5.21195188999176,4.892131457328796,4.752350373268127,4.80527596950531,4.642049078941345,4.9016984891891475
layer_1,4.819778246879578,4.724470834732056,5.116302108764648,5.006387257575989,5.309568343162536,4.5437354516983035,5.372169437408448,5.1871440935134885,5.081492133140564,4.942923703193665,4.879074869155883,4.995144782066345,4.7536152696609495,5.083833661079407,4.840289802551269,5.232481608390808,5.28912437915802,4.883528833389282,5.196881909370422,5.162647008895874,4.7241676139831545,4.950482959747315,5.145920610427856,5.395599346160889,4.8877169704437256,5.128952579498291,4.899671540260315,5.087470812797546,4.806283297538758,5.176842293739319,5.65855649471283,5.046409225463867,4.659179067611694,4.929048027992248,4.966645622253418,4.747255458831787,4.861740698814392,4.968411331176758,4.977919797897339,4.857498369216919,5.085091600418091,5.297923908233643,5.125796780586243,4.913165526390076,4.886284255981446,5.515920052528381,5.049573578834534,4.730523724555969,5.004489593505859,4.93488350391388,5.170350837707519,5.0463633584976195,5.199925355911255,5.345237078666687,5.0291963386535645,4.957124156951904,4.880249094963074,4.846947526931762,5.270557928085327,4.6996218824386595,5.076833205223084,4.8536670112609865,5.007327408790588,5.656607446670532,4.802483072280884,4.8040144157409665,4.923248763084412,5.325135626792908,4.9058790159225465,4.848254117965698,5.111126279830932,4.854981098175049,4.847142076492309,4.969670643806458,5.2150439310073855,4.945959982872009,4.967284255027771,5.357072257995606,5.127742609977722,4.954050064086914,5.110277943611145,4.761070408821106,4.888522787094116,4.858143153190613,4.880552926063538,4.878422122001648,4.886101369857788,5.23053879737854,5.168931851387024,4.933485732078553,5.060855989456177,4.858304991722107,5.341170535087586,4.857807922363281,4.9061548709869385,4.81957775592804,4.968049983978272,4.9127684545516965,4.9370009183883665,5.152977514266968,4.84408058643341,4.917061190605164,4.741481695175171,5.052057085037231,4.803537158966065,4.832208180427552,4.730711674690246,5.038200192451477,4.722765121459961,4.994047365188599,4.702562570571899,4.441517767906189,4.775975050926209,4.8483945083618165,4.927166252136231,4.926549782752991,4.895880637168884,4.891642446517944,4.761219167709351,4.885459957122802,5.035468010902405,5.00333152294159,5.394147930145263,4.922639842033386,4.996216130256653,4.961848015785217,5.100838890075684,5.307730355262756
layer_2,4.928640089035034,4.752703051567078,4.708263177871704,4.710595383644104,5.257713589668274,4.470284562110901,5.222621264457703,4.973105764389038,5.466132545471192,5.457285590171814,4.8438258504867555,4.700969228744507,4.703677968978882,5.038424096107483,5.247896881103515,5.041060490608215,5.103453235626221,4.93718535900116,4.819102673530579,4.7907495069503785,4.815864477157593,4.735628170967102,4.68145679473877,4.93996796131134,4.987999143600464,4.825236449241638,4.6915286970138546,4.929249739646911,4.815018467903137,4.766573457717896,4.7898570251464845,4.690422315597534,4.9957324361801145,4.910193710327149,4.6377503156661986,4.75754292011261,4.519767255783081,4.215464503765106,4.928188047409058,4.836850724220276,4.992271437644958,5.069372720718384,4.709228353500366,5.395942883491516,4.947161245346069,5.1253632545471195,4.9470986557006835,4.993624696731567,4.886116213798523,4.890574140548706,4.803043909072876,5.525448536872863,5.261862721443176,4.925240125656128,5.285172719955444,4.7532248258590695,4.749432215690613,4.962663745880127,4.966509079933166,5.285092425346375,5.019063558578491,4.820238552093506,4.994233703613281,4.885390901565552,5.366769075393677,5.2031158828735355,4.842083392143249,5.147803463935852,5.0812687492370605,5.165833334922791,5.140624899864196,4.8131739616394045,4.856841940879821,5.226443595886231,5.035211968421936,4.707848997116089,4.989478569030762,4.902422041893005,5.017796959877014,4.643500213623047,4.359361305236816,4.856028428077698,5.016167078018189,5.032824029922486,5.900250391960144,4.744134945869446,4.830281949043274,5.223052487373352,5.528540377616882,5.303105311393738,5.212940640449524,4.768636646270752,5.1779253911972045,4.990324897766113,4.845298337936401,4.9637743806838985,4.594905457496643,4.7968550872802735,4.895427885055542,4.5829874658584595,4.961398420333862,5.3820724153518675,4.399768667221069,5.074345107078552,5.26998682975769,5.170766978263855,4.6914557313919065,4.877579646110535,4.834318313598633,4.852375288009643,4.648108282089233,4.764362096786499,5.019097752571106,5.012095994949341,4.627656836509704,4.737075772285461,4.906170163154602,4.754935631752014,4.978089838027954,4.870648636817932,5.392942433357239,5.068129959106446,5.354454584121704,4.896138343811035,5.01775290966034,5.697279791831971,5.038524942398071,4.710483040809631
layer_3,5.1069388008117675,5.265986280441284,4.9686386775970455,4.882050359249115,5.310285973548889,4.974017453193665,5.727031216621399,5.059072093963623,4.687321071624756,5.421998534202576,5.208065495491028,4.7281013870239255,5.365885086059571,4.669671092033386,4.953386182785034,5.195476870536805,5.6432108974456785,4.886094427108764,4.801089954376221,4.953559851646423,5.344801588058472,5.432496104240418,5.5691203689575195,4.843230862617492,4.884801774024964,5.331513690948486,5.057184162139893,4.477167701721191,4.628736357688904,4.78296811580658,5.197598462104797,5.515830087661743,4.908509769439697,4.901044483184815,4.860813331604004,4.984501008987427,4.706695022583008,4.866738262176514,5.502831768989563,4.959550166130066,4.931326532363892,5.3729707670211795,4.958223743438721,4.3780358791351315,4.77883623123169,4.6296323823928835,5.0401708984375,4.8844359636306764,4.762856464385987,4.561637167930603,5.479913520812988,5.181034235954285,5.168135023117065,5.089151110649109,5.004869966506958,5.07997193813324,4.833926157951355,4.8923344326019285,4.406641054153442,5.156978197097779,5.094318528175354,5.742874274253845,5.199772663116455,4.609668269157409,5.676345443725586,4.794745607376099,5.307432885169983,4.835023665428162,4.939443430900574,5.110236239433289,5.275634994506836,5.11841652393341,4.535917782783509,5.152290496826172,4.882317295074463,4.927085828781128,5.015200457572937,4.684394950866699,5.2897327709198,5.0874921989440915,4.907397322654724,4.972107067108154,5.227644910812378,5.1687738227844235,4.6596380853652954,4.979759044647217,5.0690924215316775,5.008830709457397,4.778236694335938,5.7273967075347905,5.194205808639526,4.9433122158050535,4.800014853477478,4.944198851585388,5.113601531982422,4.1418630671501155,5.730556311607361,5.28343391418457,4.715615720748901,5.010510258674621,4.677728586196899,5.2198200511932376,4.4016029214859005,4.927787261009216,4.85034152507782,4.948129229545593,5.2099051809310915,4.803896613121033,5.058668189048767,4.8570763111114506,4.756506366729736,5.2689150619506835,5.213960018157959,4.216495180130005,4.823368530273438,4.742725353240967,4.975610303878784,4.9320671224594115,5.451852836608887,4.848642268180847,4.758333759307861,4.8969978952407835,4.933183536529541,5.704291296005249,5.068467736244202,5.099828329086304,4.8631382131576535,5.0856778383255
layer_4,5.31806252002716,4.994434151649475,4.586501560211182,4.621024355888367,4.799667220115662,5.268111529350281,5.122387943267822,4.660918087959289,5.198732738494873,5.910349373817444,5.0533139038085935,5.011087851524353,5.292993445396423,4.385467185974121,4.771731858253479,4.219864888191223,4.93384081363678,5.381911835670471,4.6825229358673095,5.249720830917358,5.093849234580993,4.5489983654022215,5.236986432075501,4.997308292388916,4.61866217136383,5.714910273551941,5.045470561981201,5.044326000213623,4.567979083061219,5.56117476940155,4.76152928352356,4.627093048095703,4.867747917175293,4.537141180038452,5.341328573226929,4.8470619726181035,4.342854733467102,4.856400179862976,4.9824251508712765,4.99458797454834,5.338651671409607,5.237468461990357,5.611091775894165,4.950218367576599,4.821290211677551,4.999797778129578,5.1106202507019045,5.429636106491089,4.54299045085907,4.616500782966614,5.027835736274719,5.163611993789673,5.186217942237854,4.897787413597107,4.753107600212097,5.6229529428482055,5.3844849443435665,5.000708346366882,5.622919125556946,5.032339329719544,4.74032811164856,5.462846417427063,4.67963568687439,4.959497752189637,5.4126112222671505,4.929436283111572,4.545679612159729,5.266862549781799,4.899996733665466,4.734060969352722,5.557132973670959,4.690975432395935,4.5355450677871705,5.206414332389832,5.271730375289917,4.801968240737915,6.016815142631531,5.626278777122497,4.871944108009338,5.182963862419128,4.9196953773498535,5.3239972066879275,4.7189296627044675,5.30209557056427,4.812933859825134,5.560755214691162,5.261289644241333,5.120335178375244,5.108518471717835,5.243539805412293,5.285265436172486,4.6769946718215945,4.613950033187866,5.10619517326355,4.724905815124512,4.945541529655457,5.441843581199646,5.327429704666137,5.516277241706848,4.741983065605163,5.012602858543396,4.608183422088623,5.196289281845093,4.970425543785095,5.083677291870117,5.187514448165894,5.5965910911560055,5.272401089668274,4.73108145236969,4.10693874835968,5.049480838775635,4.821469492912293,5.168083419799805,5.296286120414734,5.009052438735962,5.046213407516479,5.096686434745789,4.802349553108216,5.25016571521759,5.247808785438537,4.877236166000366,5.294928998947143,5.650655121803283,4.575104603767395,5.140281400680542,4.465655837059021,4.817217512130737,4.772505569458008
layer_5,4.814652419090271,5.006733155250549,4.899193000793457,5.38931031703949,5.316920886039734,5.926536498069763,4.566773245334625,4.836149778366089,5.173224272727967,4.971064138412475,4.577190175056457,5.438278226852417,5.126073551177979,5.31430911064148,4.242226996421814,4.7694347906112675,5.3097357130050655,4.7677721452713016,5.071580481529236,5.134679803848266,4.732539458274841,4.970764808654785,5.761452102661133,4.8915386438369755,5.513732895851136,4.90593798160553,4.709127860069275,4.544585824012756,4.793214936256408,4.627232055664063,5.365868167877197,5.128226141929627,4.968912630081177,4.806927752494812,5.082791075706482,4.564730858802795,4.765851521492005,5.028576159477234,5.0100587415695195,5.252537860870361,4.798032097816467,5.168288226127625,4.8921724224090575,4.727179098129272,4.047362699508667,4.765272607803345,4.930656671524048,5.375220818519592,5.296264996528626,5.619702301025391,4.645801019668579,4.9325888729095455,5.0913551330566404,4.354974579811096,5.177756171226502,5.346767373085022,4.965475797653198,4.504983515739441,4.87336275100708,4.950587120056152,5.118324809074402,5.484144048690796,5.549995937347412,5.210796408653259,5.339221448898315,4.585055527687072,5.509168529510498,4.687474555969239,5.343351078033447,4.663244395256043,4.966355638504028,5.033129210472107,4.794422473907471,4.725085368156433,4.817376942634582,5.20619152545929,4.783243708610534,4.833438062667847,5.105121936798096,5.234515571594239,4.763998317718506,5.129054088592529,5.142356300354004,5.738525037765503,5.189280118942261,4.6822777938842775,4.571255626678467,5.203237237930298,5.202858233451844,5.632776794433593,5.07813907623291,5.219581093788147,4.725705661773682,5.048265991210937,5.33265338420868,4.872550005912781,4.958273854255676,4.629583587646485,4.4497816944122315,5.17591480255127,5.240149345397949,4.961245150566101,5.120626783370971,5.2427746868133545,4.635708146095276,4.941124539375306,5.104475178718567,4.974598393440247,5.327141556739807,4.643919973373413,5.045945959091187,4.722518763542175,4.8953486347198485,5.243116450309754,4.993821597099304,5.192412080764771,6.0171401405334475,5.10974841594696,4.583443760871887,4.855792098045349,4.964535117149353,4.243558983802796,4.832122368812561,4.990401253700257,4.592695407867431,5.605502991676331,5.325572514533997,4.721061124801635
layer_6,4.855843081474304,4.0828169202804565,4.803295221328735,4.819111919403076,5.677608795166016,4.436458730697632,4.9561270570755,5.261505522727966,5.18416124343872,5.345209417343139,5.771036357879638,4.83374704837799,4.96131736278534,5.157644920349121,5.7077729558944705,4.655780849456787,4.160023548603058,4.962165560722351,4.749576840400696,4.713659610748291,4.667650051116944,5.011708116531372,4.999351525306702,6.062775278091431,4.922802534103393,5.329488415718078,5.15008780002594,4.492936415672302,5.2503597450256345,4.41212308883667,5.056546959877014,4.617395696640014,5.022304458618164,5.094246425628662,5.270804405212402,5.089260311126709,6.034886193275452,4.755754790306091,6.445214648246765,5.62312105178833,4.335798552036286,5.381719727516174,6.339268207550049,5.289379825592041,4.600659599304199,4.781762351989746,5.354725499153137,5.261546425819397,5.063544607162475,5.087745161056518,4.88337999343872,4.797105412483216,5.92731433391571,4.852430858612061,5.483218054771424,4.83624767780304,5.197882843017578,5.028973093032837,4.797134494781494,4.7058985137939455,4.827844591140747,5.530209941864014,4.236175158023834,6.21402271270752,5.266529173851013,5.307871074676513,4.465651807785034,5.129290056228638,4.571063594818115,4.532896113395691,4.982300539016723,4.684586472511292,5.058810749053955,4.536062817573548,4.342370085716247,5.996802787780762,4.425385274887085,5.174415040016174,4.60316885471344,5.354495401382446,4.619676594734192,4.491152992248535,4.552589249610901,5.406002359390259,5.107777614593505,6.039603500366211,4.705466251373291,5.252080497741699,4.847003016471863,5.542890796661377,5.1617377710342405,4.4583882713317875,4.5652587652206424,5.776655344963074,5.1775734424591064,4.962363109588623,5.7369043827056885,5.1639607763290405,5.477963819503784,5.1783109331130985,5.444432463645935,4.845832648277283,4.485162019729614,4.9694753980636595,4.560538234710694,5.5542892599105835,4.791844935417175,4.92822573184967,5.2714927196502686,5.0484335994720455,5.839233665466309,4.791336612701416,5.0033939790725706,4.9544969749450685,5.206817564964294,5.686857924461365,4.994391989707947,5.128547892570496,4.8201772451400755,4.532799851894379,5.40696765422821,5.184831833839416,5.023866028785705,5.17574601650238,5.139263505935669,5.852269515991211,4.814316420555115,5.592478852272034
layer_7,4.610012722015381,5.331515812873841,5.352402095794678,5.039194011688233,5.267027988433838,5.741404852867126,4.986060576438904,4.414779300689697,4.930751113891602,4.7118657159805295,5.470699973106385,4.935531401634217,5.559365253448487,4.517222762107849,5.138965167999268,4.711241760253906,5.119470233917236,4.504673111438751,4.945424208641052,5.037281060218811,6.523459215164184,5.964830279350281,4.9866270208358765,4.264289608001709,5.066641917228699,4.814842486381531,6.278481602668762,5.2284540271759035,5.2145126438140865,4.809526066780091,4.4180597710609435,5.448674440383911,4.810425729751587,5.7773703622818,5.005908765792847,4.645993418693543,5.198792276382446,4.7891761636734005,5.198583765029907,5.274599251747131,5.305057592391968,4.556282277107239,4.719734630584717,5.0663636207580565,4.826775689125061,5.273751678466797,4.9299784183502195,4.9596579647064205,6.16515431880951,5.67580201625824,5.444445233345032,5.942454051971436,4.893253993988037,5.1050952053070064,4.608269748687744,4.758752408027649,4.773724679946899,4.706370739936829,5.312760515213013,5.228653845787048,5.632284474372864,5.475942068099975,5.019312338829041,4.5548775553703305,4.45331716299057,4.46011935710907,5.324960098266602,4.974243831634522,5.349571580886841,5.594955177307129,4.896623640060425,4.553336911201477,4.844224143028259,5.964887123107911,5.135646066665649,5.135732412338257,4.992144632339477,4.793041434288025,4.557784643173218,5.046525192260742,4.9915304946899415,5.326554412841797,4.840219783782959,3.955446648597717,5.4805309152603146,4.984866890907288,5.1661514472961425,5.025580234527588,5.609230527877807,4.919428558349609,4.526263375282287,5.04410026550293,4.274287395477295,5.661319966316223,4.94735466003418,5.398883113861084,5.52268419265747,4.843478636741638,5.041232476234436,4.947774629592896,5.400707745552063,4.686500930786133,5.2102584600448605,4.937986783981323,4.731922402381897,4.92199857711792,5.393306488990784,4.344237730503083,5.3340362501144405,4.683029007911682,6.3338448476791385,4.627306561470032,5.1349737215042115,4.907445297241211,4.523510613441467,5.03137610912323,5.19269558429718,4.477752666473389,4.787999472618103,4.851326627731323,4.893865075111389,5.041003260612488,4.634857339859009,4.999158606529236,5.0255332279205325,5.117620649337769,4.501064472198486,4.885697159767151
layer_8,4.855056467056275,4.5812915468215945,5.017208409309387,5.155093002319336,4.715972247123719,5.474559483528137,4.972334666252136,5.020406002998352,5.729294490814209,5.058700942993164,5.168878927230835,5.266439661979676,5.241252422332764,5.033302855491638,5.750806031227111,5.014535279273987,4.939538159370422,5.342696690559388,4.864259281158447,5.227563285827637,4.877629842758179,4.531736421585083,5.621586623191834,4.790384812355041,4.922260026931763,4.874979705810547,5.371702365875244,4.85425977230072,4.699164290428161,4.825852460861206,5.1345813274383545,5.1247846794128415,5.447951803207397,6.049423575401306,4.514446964263916,5.560233569145202,5.901116671562195,6.13858920097351,4.420348446369172,5.31222849369049,5.102429842948913,4.6451800394058225,5.271421775817871,4.384561121463776,5.737549362182617,5.378029179573059,5.124420447349548,5.787750163078308,5.0261427021026615,4.812820315361023,4.8019027471542355,5.078401393890381,5.467575860023499,5.132655081748962,4.963424263000488,5.115561375617981,5.68742769241333,4.793952903747559,4.043216066360474,5.449333209991455,4.849095287322998,5.58552173614502,5.041507000923157,4.7012205410003665,5.109549994468689,4.835214519500733,4.508764615058899,4.484690871238708,4.53872884273529,5.183849411010742,5.509156632423401,4.5111380434036255,4.686032614707947,4.611081495285034,5.093192105293274,5.055215439796448,5.06759708404541,4.887593817710877,4.258391301631928,5.7643880271911625,6.054617161750794,4.698277449607849,5.089244775772094,4.8972589921951295,5.501290917396545,5.352072153091431,6.21491530418396,4.905691685676575,5.003765807151795,4.766079502105713,5.456708660125733,4.925302095413208,4.916132879257202,5.068605427742004,4.585008389949799,6.167318058013916,4.874925632476806,4.664163084030151,4.702215356826782,5.019163994789124,5.3053157520294185,4.961570301055908,4.808134078979492,5.563533444404602,5.176088852882385,5.9546542692184445,5.534910717010498,3.950576581954956,5.29344539642334,5.12289140701294,5.69287109375,5.391971898078919,4.838369836807251,5.597151074409485,5.1381046056747435,5.6934272813797,4.866348180770874,5.189543495178222,5.586256675720215,4.5553062152862545,4.827725777626037,5.434632205963135,5.903734951019287,4.783813967704773,5.392620668411255,4.669336462020874,4.777714810371399,4.2157071852684025
layer_9,5.399069967269898,6.354996275901795,5.0044377994537355,4.538128805160523,5.011026248931885,4.765921356678009,5.143432097434998,5.0929936599731445,5.1449052381515505,5.275210809707642,4.993058767318725,5.250910711288452,4.9866547012329105,5.089677805900574,5.232936682701111,5.263039817810059,5.11320384979248,5.521154570579529,5.085606827735901,4.769256901741028,5.671159462928772,5.384223675727844,5.685703635215759,5.008562202453613,5.823863091468811,5.259299683570862,5.074828658103943,4.1156280875206,4.287841603755951,4.666402153968811,4.619244132041931,4.701427755355835,4.936113853454589,5.9604024314880375,5.378839135169983,5.732405505180359,4.501737580299378,4.843275847434998,5.2486337518692014,5.177534227371216,4.7510760259628295,4.585650835037232,4.570681948661804,4.759368481636048,4.958840403556824,5.267509479522705,4.654168076515198,4.972159700393677,5.114012451171875,5.898823847770691,4.866593632698059,4.955082602500916,5.742142624855042,5.331159915924072,4.298911061286926,5.363541955947876,5.31349826335907,5.069969720840454,4.949440879821777,4.65419557094574,5.400797519683838,4.5324074649810795,5.387697591781616,5.391989035606384,4.837613768577576,5.844422550201416,5.331144800186157,5.412792406082153,5.050788040161133,4.963156480789184,5.028757815361023,6.0662216949462895,4.864198398590088,4.79283712387085,4.399242253303528,4.902205309867859,5.234660181999207,4.897817764282227,4.986847701072693,4.927790818214416,5.771603627204895,4.960572786331177,5.227830114364624,4.860752792358398,5.726481647491455,4.893427300453186,4.6477105951309206,5.210549521446228,4.745438604354859,4.998687539100647,4.422324600219727,4.833965520858765,4.949505243301392,4.5837851953506465,4.7932760047912595,5.018082051277161,5.566640744209289,6.123662099838257,4.892400550842285,5.418719906806945,4.996891646385193,4.8741212606430055,5.206741886138916,5.704194130897522,4.741229219436645,4.845810317993164,4.615137515068054,4.947179932594299,4.487132358551025,4.951693983078003,5.303169374465942,4.994335374832153,4.774623680114746,5.89570797920227,4.773359270095825,5.33119836807251,5.4079266452789305,4.660897884368897,5.370876789093018,5.051862359046936,4.843858227729798,4.407309103012085,5.070972146987915,5.254818406105041,5.614744634628296,5.189539246559143,5.03241874217987,5.769412708282471
