,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,-0.021234507560730087,0.04378752708435041,0.10198184967040991,-0.14538275718688976,-0.149377703666687,0.11922504901886022,0.04050787448883053,-0.024492983818054093,-0.025558490753173402,0.0760008716583247,0.01695836544036844,0.048682122230530034,-0.10712757587432886,-0.05445209026336695,0.09828081130981481,0.11073744773864824,0.029746036529540554,-0.03652197360992382,0.03730141162872336,-0.04469855308532722,0.09243809700012218,-0.0010541868209834604,0.0423951053619378,-0.05016848087310777,-0.05266346931457555,-0.04680042743682833,0.2028175449371341,-0.15471629142761234,-0.018714609146118555,-0.046210517883300994,0.008152985572815297,0.07248557090759267,0.2316277027130127,0.0624832725524902,-0.08727201938629214,-0.021113562583923162,-0.1639492273330685,0.05560649394989081,0.02574644565582318,0.1267110252380368,0.12734000205993645,0.15463475704193108,-0.013824462890625,0.12143002986907891,0.08675222873687805,0.18011850357055703,0.020840630531311355,0.07169783115386963,-0.0893268251419066,0.02025334358215325,0.04954906940460191,0.18361535549163754,-0.1701812744140625,0.1399703025817871,-0.11328320503234846,0.044885601997375346,-0.017288413047790385,0.04045421123504678,0.004925732612609757,0.10933650493621805,0.031616005897522115,-0.013929085731506419,0.017772455215453675,-0.02068359851837087,-0.014502577781676962,0.01500340938568101,-0.07501429080963096,-0.13569365978240988,0.0758586359024056,0.018143358230590323,-0.0017894840240479937,0.06934781551361091,0.10969342708587693,0.15770848751068112,0.07976657867431669,-0.0473049640655514,-0.13309754371643034,-0.07507050514221181,-0.04416243553161614,0.10601236820220983,0.009234652519226394,0.1316699266433714,0.024230928421021147,0.06714550018310561,0.05419625282287566,0.15077386379241897,-0.03474781990051223,0.062239837646483664,0.021406688690185582,0.058960075378418075,0.23250678539276137,0.05461774826049837,-0.027666268348693457,0.10168035507202067,0.06505798339843771,0.029106001853943297,0.02399155616760229,0.03226008892059351,-0.03384902000427292,0.011262927055359029,0.05906186103820854,0.014772105216979803,0.0754693460464475,0.18096780300140392,0.05085397243499745,0.0790028858184808,0.07955517768859899,0.2671082830429077,0.0381014537811275,0.04132606983184761,0.15660175800323461,-0.04031039237976142,-0.013149342536926234,0.004447059631347727,0.18391579627990762,-0.007142443656921849,-0.03358476638794006,0.05035160064697308,0.038599171638488805,0.16754396915435787,0.11483642578124975,-0.10243662357330319,0.10265506744384734,0.047687921524047994,-0.052400717735290314,-0.04042840480804433,-0.06477371215820327,-0.1553979873657232
layer_1,0.07087846755981442,-0.11137399673461879,0.10467340469360309,-0.002099027633666317,0.16288436889648406,-0.25412517070770235,0.08512690067291295,0.14670320034027107,0.07746997833251967,0.10656734943389878,-0.11548117160797133,-0.03750400543212962,-0.14093451976776183,-0.004425635337829803,0.006747584342956081,0.11028316974639907,0.1691473150253291,0.08012707233428973,0.12627948760986296,0.12833837509155277,-0.024904208183288645,-0.10340922355651827,0.1369859552383419,0.0722410202026369,-0.05883280277252201,0.12279096603393569,0.01503951549530047,-0.14991576194763212,0.020481219291687225,0.052252058982849015,0.17201136112213167,-0.05834910869598442,-0.04593947410583521,0.012686429023742285,0.1162448883056646,0.09277014255523675,-0.07686201572418216,0.017674055099487163,0.032154541015625426,0.012044978141784846,0.06379906177520756,0.14883567333221492,0.18137300491332997,-0.04672835350036575,0.018340086936951217,0.13251108169555614,0.16767743110656763,-0.024271140098572452,0.21145953655242877,-0.020506396293639817,0.11618690013885491,-0.02168148040771456,0.07600450992584218,0.016251144409180185,0.03101170063018799,0.10413323879241965,-0.1086490249633787,-0.13502659320831345,0.15863283634185787,-0.14215256214141903,0.0958436489105221,-0.0013627147674561968,-0.0068457365036014295,0.31402610778808526,-0.015023612976073686,-0.09467482089996349,-0.17576449871063193,0.18105067729949997,-0.023365502357482804,0.02560104846954392,0.12370085239410322,-0.08622590541839603,0.027036409378051296,0.07017844200134338,0.05859020709991469,0.01733849525451614,-0.018007292747498127,0.2660287380218511,0.00608165740966804,0.2145512628555295,0.11832556724548304,0.05291535854339635,-0.04918718338012695,0.02898613929748617,-0.009258036613464249,0.0005124568939214313,0.054743719100952326,0.004515333175659109,-0.12197708606719981,-0.10355484008789073,-0.005119771957397212,-0.05836318016052289,0.08221453666687051,0.05408840656280489,-0.011692924499511648,-0.055796356201171626,0.05088473796844539,0.03791508197784399,-0.09346827983856176,0.10324514389038075,-0.03356853485107436,-0.06694022655486975,0.0025223684310917704,0.015274419784545579,-0.21093861579895012,-0.15559652328491147,-0.06399402618408256,0.06183662414550728,-0.01879056930541978,0.10139000415802002,-0.10890859603881875,-0.1778922128677376,-0.07639843463897655,-0.06771612167358398,-0.10134732246398936,-0.017495388984680282,0.019384455680846457,-0.07189875125884981,-0.034354948997497026,0.11851510047912583,0.08577154159545941,0.06404160976409923,0.13306790351867637,0.04954005718231169,0.020666027069092152,-0.010007033348083283,0.11440754890441873,0.206844067573547
layer_2,-0.0015225172042843127,-0.04527930736541741,-0.09978234767913818,-0.13962477684021035,0.021801996231078924,-0.1443260908126831,-0.1561317873001098,-0.09706834793090824,0.16295415878295927,0.13440194129943883,-0.0724999237060544,-0.06627329826354966,-0.12755075931549076,0.13581051826477086,0.0818405437469476,-0.2494389486312869,0.10992318630218545,0.019977698326110627,0.040489730834961435,0.05575040340423598,-0.0050421953201293945,-0.17119462966918952,-0.1654117393493646,-0.04641435623168988,-0.22208909511566155,-0.05949688911437967,-0.12007963180542003,-0.15658821582794236,-0.10025629043579087,-0.12241185188293446,-0.12850130558013895,-0.19662647724151672,0.03277706146240256,0.05155345916748111,-0.09863992691040036,-0.08710290908813434,-0.07687462806701717,-0.5271760916709907,0.10020208835601796,-0.038449363708496165,0.14192168235778801,0.0793933534622191,-0.21863225460052504,0.17946285247802773,-0.14767994880676305,0.0614855194091799,-0.02027611255645745,0.07084826946258538,-0.09675920963287332,-0.24553353786468524,-0.0781755876541137,0.20767376899719192,-0.04287880897522012,0.007547259330749512,0.14823808670043892,-0.032026591300964746,-0.15236528396606452,-0.008567914962768874,0.01575961112976021,0.21150415420532287,-0.004335870742798065,0.06022627830505378,-0.024833822250366566,0.12326153278350827,0.19218281745910648,0.12383292198181195,-0.22297295093536373,-0.0007463169097903233,0.07244330406188926,0.14434343338012745,0.09360770702362053,0.041085033416748296,-0.13074238777160652,0.23440371036529584,0.05576680660247746,0.07171599388122551,0.012881412506104084,0.022117323875426642,0.0564448690414423,-0.16717982292175293,-0.09117567539215088,-0.08369863033294678,0.08483081340789767,0.25981241703033486,0.22156776428222624,-0.2771957683563233,-0.2821451091766365,0.055312623977661346,0.03574390411376971,-0.057690486907959304,0.1241727924346927,-0.11408023834228498,-0.28130231857299837,0.004088940620421866,-0.09575173854827934,0.06917922973632784,-0.21841075897216822,0.050590848922730025,0.12223928451538146,-0.1492929124832152,0.09114045143127392,0.2124677324295039,-0.24748638629913344,0.10147393703460672,0.007991671562194824,0.10646393299102819,-0.008593726158141912,0.07354698181152308,-0.019980797767638947,0.0956156301498412,-0.009914550781250142,-0.08551694393157927,-0.11968358516693112,0.1950804233551029,-0.11061234951019294,-0.08821153163909923,-0.067164802551269,0.008090453147888255,0.05319795608520561,-0.08535969734191884,0.21565778255462664,-0.06762015342712324,0.1307719182968139,0.132304682731629,-0.1222057151794429,0.2292458248138436,-0.13057778358459426,-0.24655784130096414
layer_3,-0.34860831260681113,0.24625029563903844,-0.11474135398864771,-0.09316036939620975,0.02000037193298354,-0.10115108489990199,0.2616735601425173,-0.07770859718322765,-0.10502670764923128,0.17676620006561272,0.13484139442443865,-0.25124311447143555,0.05060949325561559,-0.10137012958526626,0.13006172657012982,0.24134123802185137,0.31656573772430363,0.07067984580993603,0.05826582431793259,-0.15175932884216348,0.10649459838867159,-0.07829590797424313,0.07640713214874228,-0.002543926239013672,-0.29040539264678955,0.029097805023193146,0.2171692562103278,-0.1481116819381718,0.12936585903167774,-0.09227210521697948,-0.004180555343627823,0.20318689346313423,0.006236987113952708,0.0655305671691897,0.03659512519836472,0.08466767311096213,-0.08534686565399152,0.08001445770263693,0.18590271472930908,0.06854643821716344,0.08512870788574212,0.0745999622344975,-0.17727436542511033,-0.11639189243316661,-0.12486879825592023,-0.20810552597045895,-0.018053541183471467,0.12889865875244144,0.04453233718872074,-0.516658005714417,0.2791696596145625,0.338116674423218,0.3055855655670161,0.14913785457611084,-0.06047749996185292,0.0914777803421023,-0.02747559070587169,0.021538615226745605,-0.1102646732330328,0.1756300592422484,0.12818747997283886,-0.1993451929092407,0.25101500034332336,-0.00418875694274945,0.17766969680786104,-0.19089985847473123,0.0311101007461545,-0.032024455070494895,0.08010385990142854,0.21582001209259083,-0.2926236534118649,0.09411872863769499,-0.26543824672698957,0.1324364662170412,0.04974120140075744,0.17331135749816884,0.35501216888427756,-0.20978542327880856,0.3304408979415898,0.06439045906066898,0.044991636276244584,-0.14042759895324775,0.1868010520935064,0.19532732963561994,0.0830784320831297,0.2781523704528812,0.0920508766174315,-0.021891765594482138,-0.055642709732055096,0.1245446777343755,0.26399977684021003,-0.09179084300994855,-0.14023591518402068,0.006143474578856889,0.02549717903137161,-0.16298835515975973,0.5026088619232185,0.1691963195800783,-0.08182780742645246,0.1794848394393922,-0.05175475597381585,0.12190484046936056,-0.3926455545425416,0.018925633430480815,-0.22523717880249006,0.07062023639678916,0.0891326999664308,-0.04322158336639337,0.13883454799652029,0.03087589740753227,-0.19947070598602323,0.2787626314163205,0.16650531291961634,-0.8089907646179197,0.03638881206512501,-0.1595221185684199,0.0335809230804438,0.13224169254302964,0.33673729896545446,0.14832998275756815,0.04177838325500538,0.07588136196136475,-0.3022249412536615,0.2693462896347052,-0.280959644317627,0.2892581605911255,-0.03887503147125315,0.06391523361206009
layer_4,0.3249486064910885,-0.14426559925079374,-0.12080416202545141,-0.021044812202453578,-0.20953025341033893,-0.374383940696716,0.010889501571655025,0.004881453514099299,0.15236650943756125,0.05159914493560791,0.07994407176971396,0.05038362979888955,-0.16629742145538362,-0.5097661495208747,0.07499130249023445,-0.4428697681427005,-0.19181388378143271,0.3438758707046512,0.13224087715148958,0.22874869823455768,0.17198567390441877,-0.0046208381652830255,-0.03922089576721177,0.003500304222106898,-0.4628615951538091,0.35849570751190196,0.07789448261261,-0.29434579849243203,-0.025782546997070277,0.37956018447875906,0.06905879497528122,-0.11848402500152577,-0.1059972620010381,-0.13690006732940674,-0.07788136959075942,0.0958398485183718,-0.16375461578369155,0.04318821430206299,0.057671089172362855,-0.012000284194946254,0.3086969614028927,0.22644600391388003,0.39762655258178725,0.08170115947723389,-0.008073720932006978,0.14904931068420435,-0.08163114547729489,0.3218258237838745,-0.02896985054016099,-0.11720063686370885,0.2708770704269403,0.28579411983490033,0.09458592414855982,0.20518995285034158,-0.05616322517395034,0.5425242090225222,0.3220743131637569,0.05446976661682079,0.13138978958129854,-0.05246605873107857,-0.20923714160919182,0.12161936759948677,0.04543984413146962,0.1381496238708504,0.017876625061035156,0.10099240303039547,-0.13302479743957552,-0.05735037803649856,0.0605360984802239,-0.351194400787354,0.3508322095870966,-0.021978292465210103,-0.18225800037384055,0.11254021167755113,0.14128851413726817,0.035710577964783496,0.4899512529373169,0.36133592128753644,0.041290397644043075,0.11875125408172593,0.09259496212005658,0.2251717662811279,-0.16051021575927749,0.05325203418731661,-0.08476160526275667,0.20358474254608172,0.2977730703353876,0.07439198493957555,-0.096213202476501,0.28535054683685335,0.12377848625183141,-0.060602145195007395,0.09859530448913567,0.16569344043731693,-0.10517620086669943,-0.03947072505950899,0.36930695533752456,0.11063453674316381,0.16753766059875463,0.07696882247924819,0.11770833015441884,-0.446313614845276,0.07794575691223216,0.06970012187957764,0.21360316276550328,0.18162882328033447,0.27065613269805855,0.2511631584167482,-0.25931207656860344,-0.2848212385177611,-0.007494921684265243,0.04095225811004699,0.2072306966781614,0.12698244094848565,0.04855758666992216,0.1937741899490355,0.12952285766601612,-0.05607061386108381,0.17856626033782952,0.2288086652755732,0.11220349788665818,0.14119567871093697,0.26241574287414515,-0.026045184135437438,0.20541817188262979,-0.08866039276123061,0.10649466514587402,0.04861926078796408
layer_5,-0.3375177288055422,-0.059955086708069594,0.07544026374816948,0.44474969387054486,-0.09179039955139157,0.27801634311675993,-0.31175184965133695,-0.50070013999939,-0.00010179996490400356,0.15153473854064892,-0.202810277938843,0.35200082302093527,0.1363287210464481,0.20824948787689213,-0.3084139299392703,-0.06439295768737718,0.2988481378555292,-0.05360033512115425,0.20567838191986088,0.004757676124572896,0.06490874767303456,0.04343575477600048,0.22357372760772698,0.017263207435608052,0.3107577991485595,0.20528392314910882,0.013070526123047266,-0.012011671066284535,-0.16123583793640162,-0.20705356597900337,0.1668999910354616,-0.05160123825073182,-0.05487200736999487,-0.041197667121886994,0.10029459476470937,-0.038617601394653533,-0.026912717819213228,0.15959610939025914,0.1189560127258309,0.17624302387237556,0.04769548416137681,0.19946604251861544,-0.04676549911498995,-0.252383508682251,-0.3202880811691289,0.10203565597534237,0.05197036743164052,0.2680556058883665,-0.4704985570907594,0.084633469581604,-0.08029221057891789,0.07849303722381595,0.07062311649322517,-0.5238431262969971,-0.04257943153381305,0.23968371391296373,0.09825531005859389,-0.17351563453674324,0.09285541534423825,-0.017455401420593653,0.19217435359954838,0.24463112354278582,0.02142465114593506,0.05484961032867375,0.40210027694702166,0.11286331653594939,0.15438389778137207,-0.009715704917907075,0.17641184329986626,-0.08658497810363741,0.06134698867797894,-0.2878708791732789,-0.003300662040710556,-0.16551670074462876,0.038590803146361985,0.010589785575866983,-0.270889596939087,-0.08271563053131104,0.09968894004821749,0.03725413322448734,0.014210720062255433,0.1474125719070427,0.07813712596893385,0.46035191059112535,-0.22951240062713651,-0.07211704730987556,0.08379776477813738,-0.23836579799652036,0.20781995773315476,0.43881878376007055,0.11581361293792725,0.219443492889404,-0.17241284847259486,-0.049670281410217676,0.07766087532043464,0.1357206296920781,0.04011550903320327,-0.1782928371429442,-0.03728224277496306,0.07728904724121133,0.10577458381652782,0.02054768085479708,-0.07991538524627728,0.08769696712493857,0.02766263484954834,0.1885369205474854,0.2865467786788942,0.15908941268920973,0.2083223867416386,0.20109519004821763,-0.0008202457427977095,0.03447685241699183,-0.20478533744812033,-0.25614579200744636,0.25736491680145246,-0.3726856756210326,0.46445323944091843,0.2074022722244262,0.012032461166382014,-0.22147773265838655,0.03954126358032184,-0.1751737070083612,-0.16266030311584512,0.046086015701294336,-0.14055077075958256,0.1669015884399414,0.2386951255798344,-0.3382945489883422
layer_6,-0.07864025115966822,-0.7282817125320431,0.07495069026947032,-0.013678488731384775,0.1512784814834598,-0.0618213415145874,0.035612478256225266,-0.46494619846343976,0.1441427326202387,0.15339716434478756,0.350180354118347,-0.00010900497436594492,0.20164453983306885,0.20926783561706497,0.022048206329346343,-0.2565248632431034,-0.46978579282760613,-0.1067933988571168,-0.06055139541625998,-0.2172638177871704,-0.06402094364166189,-0.005562686920166371,0.010664596557617756,0.3619248723983768,-0.06463276386261008,0.4430455732345573,0.07479953289031993,-0.3399143552780153,0.06180865287780701,-0.21972769737243691,0.19819947242736813,-0.028483376502991042,0.16773461341857931,0.09415386199951215,-0.27419961929321257,-0.023889474868775018,0.4914200210571291,-0.03345353603363055,0.6546221399307246,0.36227950572967593,-0.043718702793120734,0.3497803592681876,0.4561592578887943,0.18626625061035185,0.008391046524048207,0.12282306194305459,-0.21245616912841836,0.27996838092803955,0.25316884517669624,0.10741052150726293,0.06512989521026569,-0.020214781761168865,0.27618399620056167,-0.07420178890228257,0.312439017295838,0.033917641639710006,0.24724327087402376,-0.016341805458068848,0.07293668746948168,-0.09037989616393993,0.027664589881896795,0.24771675109863267,-0.44396343946456884,0.3933249616622927,0.17342939376831001,0.1000996017456055,0.08724312305450432,0.035905413627625116,0.09189110279083224,-0.17335762977600044,-0.17569299221038825,-0.02209820747375435,-0.13440462112426754,-0.16009882450103685,-0.1790030574798589,0.5928787088394172,-0.15335594177246126,0.3586698627471918,0.0075644588470460405,0.26348148822784445,-0.07885772228241006,-0.03542607784271201,-0.11963783740997336,0.14982234477996847,0.13726765632629334,0.535614953041077,0.05742534160614099,0.20114125251769988,-0.08754578113555933,0.40828067779540955,-0.16256789684295647,-0.010178308486938015,-0.15185120582580502,0.445569067001343,0.019515466690063654,0.17078766345977847,0.42324870586395225,0.27496397972106923,-0.054392518997192774,0.30825130939483714,0.5318844795227049,-0.19527699470519977,-0.19846966266632116,-0.20419606685638492,-0.04888424396514868,0.14100987434387235,0.10504052639007533,0.00979407310485847,0.28696039676666274,-0.09523300647735677,0.4380786561965948,0.09363852977752707,0.11376754283905033,0.04585672855377165,0.11812206268310543,0.41616868019104025,-0.07296089649200432,0.17715405464172385,0.013146224021911124,-0.1305139112472533,0.24691889286041224,0.19956727027892995,-0.24030939579010013,0.35505905151367134,0.3673505687713625,0.4006895065307621,0.09260019779205386,0.2618971872329716
layer_7,0.021985287666320907,0.40780486583709763,0.25460267066955566,-0.19177680015563947,0.28244420051574703,0.3012577486038204,0.010921645164489568,-0.30129286289215074,0.026185545921325826,-0.10748604297637954,0.1692607498168952,-0.08503448486328047,0.00013655185699512629,-0.10432999134063703,-0.34360430717468216,0.046010723114013885,0.24620894432067875,-0.4872388386726385,0.028060588836670064,0.16550561428070143,0.6971604681015009,0.230064105987549,0.12818581104278604,-0.12784638881683286,0.21391977787017868,0.10531013488769592,0.5096423959732057,0.2547509765624998,0.16121581554412767,-0.027540669441222576,-0.44486600160598755,0.21939670085907004,0.03672616481780988,0.4663181638717653,0.03701290607452368,0.05392949581146311,0.07578163623809786,-0.06751242160797144,0.14671525478363012,0.2397257852554313,0.3343439769744876,-0.1223665285110469,0.01119272232055657,0.265145077705383,0.04480798721313395,0.20438052654266414,0.004187340736389267,0.09769993782043418,0.4811611366271977,0.1274496507644658,0.09103593826293999,0.28851448059082063,0.10706736564636277,-0.08969286441802993,-0.07122939586639454,-0.05534606933593711,0.1841903305053707,-0.10662869930267327,0.28268476009368904,0.19561528205871515,0.345676188468933,0.379468126296997,-0.0021479797363284092,-0.292021219730378,-0.5184411692619326,-0.214225482940674,0.24599818706512444,0.10549405574798598,0.19548267364501992,0.02723505973815854,0.12754062175750747,0.06177627086639337,0.0013144969940181994,0.17665813922882112,0.10275320529937737,0.08293660640716549,0.2619991350173949,0.03507191658020048,-0.16782697200775143,0.2293444824218751,0.2267958641052248,0.06259905815124522,0.15817871093749947,-0.7952539539337158,0.3479065036773674,0.15914374351501515,0.3438243865966797,0.06886401176452672,0.1231150150299074,0.09129326343536359,0.037648458480834535,0.1521919536590577,-0.36216435909271283,0.32290146827697797,-0.17428455352783168,0.31014321804046574,0.31423079490661543,0.0006275510787965288,0.055019187927245916,-0.0908968639373775,0.3579484415054326,0.013922877311706827,0.28612773418426496,0.08892712593078578,-0.06690993309021032,0.09102016925811807,0.2539410972595215,-0.16302423238754216,0.2741305541992185,-0.07175990581512437,0.4128421640396125,-0.6388333511352533,0.03812066555023197,0.10497444152832092,-0.04805198669433608,-0.19508450508117647,0.1714816713333125,-0.22426324844360312,0.007602653503417933,0.02417652130126946,-0.044345216751098704,0.29948966503143293,-0.11395430088043224,0.1395831775665286,-0.17877855777740415,0.1262205553054816,-0.117161626815796,-0.0807220411300662
layer_8,0.08209416866302544,0.03334075450897256,0.047997126579284455,0.168312978744507,-0.0032722759246821553,0.03964557647705025,0.11441318988800031,0.081387810707092,0.05191974163055413,0.3156199359893801,0.24224492549896226,0.03884713649749827,0.34069051742553746,-0.07303736686706497,0.2617684555053703,0.053182215690612544,0.08742949962615931,0.11262029647827188,0.192007179260254,0.22342830657959034,-0.32706005096435575,-0.5893251848220826,0.36141417503356976,-0.11112861633300763,-0.0015348196029663086,-0.25233157634735104,0.09227366924285896,-0.0017367029190067385,0.07467402458190886,0.07914676189422654,-0.2124575948715206,-0.011782512664795242,0.17103394508361802,0.5705774545669557,-0.07134691715240482,0.11259563922882077,0.3224370002746584,0.28354274272918634,-0.19229215383529663,0.11978005886077892,0.12332314014434775,-0.4694289302825929,0.2986213541030889,-0.2877817559242253,0.3577107858657831,0.19903499603271513,0.03491177558898961,0.20068364620208712,0.02783076286315911,-0.024725160598754847,0.15369705677032464,0.1559417724609382,0.28398101806640685,0.2422049999237057,0.08156560420989933,0.00807869911193837,0.23650854587554893,-0.0033409500122072444,-0.7312473535537718,0.48128869533538765,0.07137579441070585,0.35246310710907025,-0.056422057151793936,-0.14196641921997077,0.15386436939239534,0.17261802196502707,-0.1007019662857056,0.08704565525054875,-0.1414423084259031,0.1031295633316045,0.12770737171173074,-0.20181240081787077,0.007627887725830007,0.09294026851654014,0.1215887165069578,0.1422548246383668,0.16672493457794157,0.0770871067047123,-0.2822055363655087,0.33355932235717844,0.40418617725372297,-0.11056411266326904,0.12659498691558824,0.13581215858459483,0.12923293590545626,0.33649705410003694,0.2881816720962531,0.008107385635375941,-0.10992178916931117,-0.07177819728851276,0.0448865461349488,0.1634802579879766,0.0017281627655032494,-0.0585676956176755,-0.693073260784149,0.7305318069458009,0.08142585277557313,-0.020773196220398304,-0.27088114261627183,-0.14508709430694555,0.24045380592346177,0.12365109443664579,0.04749445438385003,0.14372810840606665,0.24690288543701122,0.27265026092529254,0.367342534065247,-0.3143071126937862,0.095799269676208,0.14394984722137494,0.19027034759521477,0.0504852914810181,0.11546709537506139,0.4528644847869874,-0.14604316234588666,0.5106903505325322,0.12650003910064722,0.01091939449310253,0.5038766431808472,-0.11381955623626716,-0.33720325469970724,-0.08963170528411801,0.5724036359786986,-0.037858028411865696,0.2566097402572636,-0.2817856597900388,0.09374757766723629,-0.16410344362258833
layer_9,-0.17665841102600055,0.5161383008956912,0.14224822521209735,0.014828996658325266,0.19151394844055236,-0.44638532876968373,0.16504319667816159,-0.01438274860382105,0.05533211231231672,0.17740972518920906,0.0629270792007448,0.1839014244079591,0.16287237644195596,0.011837916374206614,-0.03871014118194527,0.21967988014221174,0.10164784908294688,0.15718573570251415,0.1465659379959101,0.1641396951675418,0.3138478803634648,0.06177918434143059,0.45108315944671595,-0.0024224615097043767,0.349523530006409,0.2149992370605469,0.33822756767273,-0.02420855045318593,-0.5516611409187311,0.24022143840789756,-0.3054658603668212,-0.6170285654068,0.07952623367309553,0.24694085121154785,0.23262950897216772,-0.17025361061096156,-0.0642737483978264,-0.3174587965011595,0.05485338687896668,0.36582492351532014,-0.6962138652801517,-0.8830002403259272,0.10980219841003347,-0.03221847057342497,0.07742977142333984,0.04723075389861986,0.06064035892486608,-0.36452888011932405,0.21832023143768264,0.20280798912048326,-0.23407652854919458,0.28141176223754893,0.24330046653747583,0.19041739940643332,-0.27380586624145486,0.305530371665955,0.45795671939849836,-0.20775898456573483,0.0014706945419309392,0.015511894226074574,0.22534577369689934,-0.1794956159591674,0.23772941589355412,0.327936310768127,0.008977479934692667,0.41196489810943593,0.24146114349365266,0.3776534843444823,-0.06796402454376249,-0.04296994209289551,0.10020111083984329,0.2939900445938113,0.09374369621276912,0.045918588638306446,0.009524340629577743,0.15267392158508297,0.1367541503906251,0.045416660308838175,-0.3638402080535883,-0.006431636810303232,0.41777295112609814,0.30216989994049115,-0.015364699363708212,-0.041360802650451944,0.23858913421630845,0.12432883739471379,-0.5820171356201174,0.15687837600707955,0.008856568336486959,0.07571672439575217,-0.5481758117675781,0.005372004508972239,0.25392814636230465,-0.2061471366882328,0.11097521305084168,0.13140267372131387,0.19613571643829353,0.40143867969513014,0.01628500938415467,0.18686094284057564,-0.3055137109756467,-0.1912081098556513,0.22827795028686548,0.5450788974761966,-0.22940248012542774,-0.027010169029235698,-0.13623069763183615,0.11569661140441845,-0.22445889472961422,-0.0510992050170902,0.01787257194519043,-0.0963742733001709,0.17195809841155985,0.5221796035766602,-0.09491222858429005,0.2247864198684697,0.2930160188674922,-0.08425156593322747,-0.007673296928405904,0.25063461780548124,0.1369739055633552,-0.09081240653991696,0.04813715934753482,0.35394725322723364,0.2874655961990351,0.013104295730590465,0.3225929784774779,0.3494017934799194
