,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,4.898600187301636,5.023276929855347,5.0974281311035154,4.660534133911133,5.1563292455673215,4.924986820220948,5.065669956207276,4.80954439163208,4.791345429420471,4.85078360080719,4.847214918136597,5.052058253288269,4.624702777862549,5.050592398643493,4.720471954345703,5.11825644493103,5.0784379625320435,4.846127028465271,4.987136497497558,5.037803592681885,5.0966609811782835,5.109294867515564,4.928259534835815,4.713705277442932,4.871038012504577,4.794218444824219,5.014230031967163,4.978077635765076,4.936048941612244,4.737334604263306,4.820719299316406,4.926792078018188,5.015535244941711,4.955260834693909,4.781271004676819,4.861077213287354,4.795766725540161,5.07098069190979,5.027034015655517,5.070770769119263,5.007815728187561,4.963416738510132,5.0013931941986085,4.985804834365845,4.760675230026245,5.315374841690064,5.089541482925415,4.932930970191956,4.967147755622864,4.845796852111817,4.925157437324524,4.785610704421997,4.879473686218262,5.210517363548279,4.703416109085083,4.895791792869568,4.815899786949157,4.743632636070251,4.864840908050537,5.19761221408844,5.248889207839966,4.843509387969971,4.807049903869629,5.020889177322387,5.211853046417236,5.285739674568176,4.964803466796875,4.7556308126449585,4.88734610080719,4.850045328140259,4.873852105140686,5.000446000099182,5.021664261817932,4.84246057510376,4.952738361358643,5.018851017951965,4.858828749656677,4.732863035202026,4.778171811103821,4.859377183914185,4.937302837371826,4.836721625328064,5.029315519332886,4.836692380905151,5.227116513252258,5.065476927757263,4.816646423339844,4.86462634563446,5.050343198776245,4.788446989059448,5.233326568603515,5.079274425506592,4.658493275642395,5.184037566184998,5.00651373386383,4.841559257507324,4.921534929275513,4.996448078155518,5.174567923545838,4.957612371444702,5.159002380371094,4.902477898597717,4.896153755187989,5.169292588233947,4.9149988079071045,4.6969152402877805,4.912947626113891,5.08522102355957,4.898024506568909,4.8536997890472415,5.120531244277954,4.860563201904297,4.568951654434204,4.818763465881347,5.05945164680481,4.976945199966431,4.640085458755493,4.892282629013062,4.932039666175842,5.1906961154937745,5.21928005695343,4.877520408630371,5.166217622756958,4.899140086174011,4.7918242073059085,4.843870282173157,4.658645720481872,5.002549366950989
layer_1,4.713886823654175,4.759589018821717,5.1279605102539065,4.929111380577087,5.255068612098694,4.6995590925216675,5.214724969863892,5.064869561195374,5.069099888801575,4.903469710350037,4.957854151725769,4.99530243396759,4.785336112976074,5.036917057037353,4.851575298309326,5.140195813179016,5.247408146858215,4.764200611114502,5.125618319511414,5.092596001625061,4.65787398815155,4.991148447990417,5.152181663513184,5.36853217124939,4.913460321426392,5.0384817218780515,4.9711910295486454,5.117356457710266,4.820147805213928,5.129396944046021,5.571576685905456,5.008670287132263,4.5992761325836184,4.9585789203643795,4.908884720802307,4.768916354179383,4.944289216995239,4.909619860649109,4.863561906814575,4.814241347312927,5.075267434120178,5.136841421127319,5.039337468147278,4.9535654401779174,4.838604350090026,5.423154935836792,5.055697355270386,4.712073535919189,4.919756965637207,4.967303357124329,5.128658881187439,5.08795654296875,5.124044494628906,5.246497111320496,5.012854914665223,4.945416712760926,4.8906271314620975,4.888010468482971,5.1519747161865235,4.765985226631164,4.9912888717651365,4.826521105766297,5.060422925949097,5.498483572006226,4.8138941955566406,4.816609420776367,5.011338210105896,5.238171916007996,5.003016681671142,4.783746886253357,5.046011395454407,4.878464102745056,4.833332304954529,4.984614429473877,5.1095901346206665,4.9101543045043945,4.9780029201507565,5.373188934326172,5.106272711753845,4.835675868988037,5.017663216590881,4.735655970573426,4.887481360435486,4.8093099021911625,4.810970635414123,4.850950436592102,4.8655599594116214,5.209815564155579,5.275739064216614,4.991457109451294,5.091056981086731,4.905987577438355,5.264424419403076,4.773643164634705,4.853123025894165,4.840733971595764,4.947467455863952,4.841417360305786,5.017297892570496,5.087073445320129,4.879065203666687,4.978169350624085,4.814491195678711,5.048523879051208,4.82066011428833,4.936107892990112,4.749243016242981,5.020460443496704,4.782521152496338,4.9872390127182005,4.802710947990417,4.589129581451416,4.776248850822449,4.845209498405456,4.979073758125305,4.863005170822143,4.827169456481934,4.9227137899398805,4.7229103136062625,4.856781973838806,5.014179673194885,5.014159288406372,5.382079496383667,4.7885510349273686,4.9624659013748165,4.934306955337524,5.0860680103302,5.187089657783508
layer_2,4.920416989326477,4.761510810852051,4.789690961837769,4.7434674167633055,5.263101096153259,4.526266431808471,5.304523258209229,4.944067850112915,5.343272895812988,5.301646332740784,4.8678977489471436,4.704498720169068,4.7660222911834715,5.023439149856568,5.1836014127731325,5.0954282760620115,5.01154471874237,4.8639554691314695,4.788416628837585,4.712246289253235,4.869218492507935,4.903253598213196,4.771486372947693,4.957309331893921,5.086919078826904,4.815722994804382,4.776675891876221,5.006913533210755,4.86782732963562,4.805828304290771,4.8812924671173095,4.816762585639953,4.9798633480072025,4.878307805061341,4.64562427520752,4.758480839729309,4.547693095207214,4.516223483085632,4.88518461227417,4.851508774757385,4.9618985080719,5.0843345117568965,4.721884694099426,5.231138329505921,5.039833111763,5.166011691093445,4.947429385185242,4.940719556808472,4.926933436393738,4.91100323677063,4.814613890647888,5.459378910064697,5.346231689453125,4.854871559143066,5.112128119468689,4.73621256351471,4.78395040512085,4.988331937789917,4.963273830413819,5.155711207389832,4.982227749824524,4.726751403808594,5.093878741264343,4.843042860031128,5.25784815788269,5.157593355178833,4.935442123413086,5.131512050628662,5.02970787525177,5.099897212982178,5.1237757110595705,4.8555734968185424,4.901525421142578,5.12513726234436,4.99786159992218,4.723167023658752,4.91432861328125,4.976987857818603,4.9414682912826535,4.693458366394043,4.423684945106507,4.891477246284484,4.912040476799011,4.929680614471436,5.724973673820496,4.751943597793579,4.989235572814941,5.2355768537521366,5.452392239570617,5.302096652984619,5.196812152862549,4.788589420318604,5.423929805755615,4.990451745986938,4.90648814201355,4.904416995048523,4.673100037574768,4.732122702598572,4.799895248413086,4.653297610282898,4.87837140083313,5.205202231407165,4.491778359413147,5.0023591375350955,5.248869881629944,5.052480206489563,4.664053964614868,4.809804301261902,4.8323219871521,4.820013136863708,4.7390308713912965,4.790799465179443,5.0473354625701905,4.913392114639282,4.706938261985779,4.75515043258667,4.966513829231262,4.691541333198547,4.85183400630951,4.871737260818481,5.4242924880981445,5.071119823455811,5.29875530719757,4.858341550827026,5.0581071138381954,5.62285768032074,5.035413093566895,4.797541098594666
layer_3,5.287275691032409,5.12646134853363,5.014162135124207,4.923993730545044,5.2866139793396,5.02613142490387,5.671363415718079,5.0020958423614506,4.801019883155822,5.402454986572265,5.146775221824646,4.886368389129639,5.364069399833679,4.71468918800354,4.851872115135193,5.1092987680435185,5.583819327354431,4.8911313676834105,4.7128552007675175,4.97031421661377,5.320509214401245,5.7244945859909055,5.519808068275451,4.947643866539002,5.119066681861877,5.311080856323242,4.911711111068725,4.447346796989441,4.623783903121948,4.846698513031006,5.153580603599548,5.525089020729065,4.903525180816651,4.956839094161987,4.787724170684815,4.915638194084168,4.81716833114624,4.907469344139099,5.415196228027344,4.9704301404953,4.825477824211121,5.319722623825073,5.020745606422424,4.432371745109558,4.826212348937989,4.700007786750794,4.99753267288208,4.869800848960876,4.8321640682220455,4.839385476112366,5.473575897216797,5.035900983810425,4.955898923873901,5.022010097503662,4.97452721118927,4.942754397392273,4.897244343757629,4.891284728050232,4.421150560379028,5.0845967960357665,5.060539336204529,5.8264640426635745,5.0401498889923095,4.610223045349121,5.615537467002869,4.9093946361541745,5.2479505443573,4.8510585260391235,4.879081826210022,5.103218183517456,5.350118899345398,5.074866304397583,4.701793050765991,5.028440890312194,4.798963804244995,4.909177994728088,4.875354766845703,4.8411030769348145,5.127944469451904,4.99771628856659,4.869951000213623,5.049243221282959,5.230298233032227,5.03109845161438,4.68173415184021,4.76816752910614,5.047643213272095,4.93222553730011,4.773027086257935,5.667365264892578,5.064494829177857,4.960280947685241,4.786322050094604,4.934419217109681,5.059712052345276,4.134165675640106,5.463416910171508,5.253100318908691,4.734171466827393,4.929290366172791,4.703089060783387,5.084258437156677,4.631452851295471,5.070914669036865,4.923901748657227,4.9047842121124265,5.228962306976318,4.877749266624451,4.966818828582763,4.855146441459656,4.803721537590027,5.225855841636657,5.178385252952576,4.440119795799255,4.856163835525512,4.808243188858032,5.005643792152405,4.915977387428284,5.332128124237061,4.669042782783508,4.65328556060791,4.8805958986282345,5.117096457481384,5.841641826629639,5.226263165473938,4.952950668334961,4.77894350528717,5.125008001327514
layer_4,5.127364625930786,5.0696788501739505,4.556611499786377,4.6203611898422245,4.9284579992294315,5.436848645210266,5.124196720123291,4.697097702026367,5.097739028930664,5.939552307128906,4.97054006576538,5.027118291854858,5.340526666641235,4.698068780899048,4.75792962551117,4.257002527713776,4.935232887268066,5.195665297508239,4.6230908250808715,5.103275461196899,5.037995495796204,4.552950444221497,5.284350357055664,4.959604516029358,4.857041621208191,5.562832884788513,4.975490040779114,5.164516673088074,4.569386005401611,5.3518348932266235,4.6727104043960574,4.647450494766235,4.911109523773193,4.528871421813965,5.654722261428833,4.821051411628723,4.411784696578979,4.8612431001663206,4.9557768249511716,4.966767764091491,5.253985242843628,5.058064546585083,5.39694655418396,4.919172277450562,4.883555192947387,4.8671646451950075,5.071954793930054,5.307070121765137,4.597555747032166,4.663622894287109,4.865387239456177,5.0185224723815915,5.087405595779419,4.806218981742859,4.782615022659302,5.341339445114135,5.279933934211731,4.978083758354187,5.630813889503479,5.152551889419556,4.819733295440674,5.301785645484924,4.648430705070496,4.935728302001953,5.277248415946961,4.837345714569092,4.608230485916137,5.333903384208679,4.87028172492981,4.85732479095459,5.309791779518127,4.665576858520508,4.6897682857513425,5.176399178504944,5.149822721481323,4.845744347572326,5.789253654479981,5.462200698852539,4.915906753540039,5.155285258293151,4.847860627174377,5.184324140548706,4.841503796577453,5.245071749687195,4.924989681243897,5.420896983146667,5.23240038394928,5.130163598060608,5.140761232376098,4.9885191011428835,5.1261252450943,4.725384631156921,4.587615070343017,4.979009428024292,4.76155421257019,4.9307909679412845,5.134536266326904,5.184910054206848,5.362704157829285,4.719204692840576,5.032176685333252,4.663164730072022,5.247443284988403,4.912631578445435,5.079921493530273,5.0671038150787355,5.509777131080628,5.123615927696228,4.739233055114746,4.184950125217438,5.018417897224427,4.8740984582901,5.080847373008728,5.162388401031494,4.994976449012756,4.98301516532898,4.973725018501281,4.780948514938355,5.207110767364502,5.072259902954102,4.84130268573761,5.229433636665345,5.628962841033935,4.656130733489991,5.014267864227295,4.5186531496047975,4.836653113365173,4.76806788444519
layer_5,4.975013241767884,5.099281182289124,4.8591810131073,5.095015144348144,5.257206163406372,5.785154566764832,4.65744402885437,5.073120956420898,5.083256759643555,4.852636523246765,4.6533214426040646,5.289163455963135,5.140193204879761,5.188293671607971,4.303699824810028,4.829347071647644,5.307309813499451,4.733910517692566,5.076129794120789,5.184588470458984,4.667889099121094,4.928294658660889,5.607583804130554,4.83482262134552,5.432858080863952,4.828767795562744,4.739625058174133,4.549842734336853,4.8300341129302975,4.779548144340515,5.347315292358399,5.06039864063263,4.943094840049744,4.7616255617141725,5.014822082519531,4.511169195175171,4.74150381565094,4.981030983924866,4.967260241508484,5.153000383377075,4.803414602279663,4.962029008865357,4.862382373809814,4.806646580696106,4.067478125095367,4.751054925918579,4.927908968925476,5.259948511123657,5.574933695793152,5.588105897903443,4.720451474189758,4.973831777572632,5.013449306488037,4.502057843208313,5.143579964637756,5.186194648742676,4.897395586967468,4.504490342140198,4.857809348106384,4.976826930046082,5.002758717536926,5.416107082366944,5.40408037185669,5.194598965644836,5.181027173995972,4.494181833267212,5.433418116569519,4.723926887512207,5.268419570922852,4.749899363517761,4.933858585357666,5.196619811058045,4.781626119613647,4.764554028511047,4.754985122680664,5.278704571723938,4.930371532440185,4.807087426185608,4.99756263256073,5.231341061592102,4.680694994926452,5.082997245788574,5.079546370506287,5.557685894966125,5.1616761302948,4.7274158000946045,4.529198627471924,5.318206777572632,5.161817255020142,5.397380118370056,5.091652021408081,5.019413771629334,4.724392862319946,5.070966506004334,5.318155565261841,4.902611474990845,4.958857803344727,4.71815288066864,4.3966848754882815,4.995309185981751,5.196715040206909,4.956591219902038,5.071221671104431,5.20015718460083,4.548218874931336,4.930277018547058,4.992333889007568,4.849298911094666,5.244415159225464,4.6027740335464475,4.9960654354095455,4.699028716087342,4.9392902421951295,5.338219804763794,4.8234384870529174,5.462955484390259,5.762695579528809,4.953097376823425,4.4911643981933596,4.942656784057617,4.948831744194031,4.229754929542541,4.966523299217224,5.026697988510132,4.5697479248046875,5.501753730773926,5.1403536605834965,4.84808798789978
layer_6,4.773750743865967,4.353345875740051,4.771606397628784,4.759097352027893,5.664513635635376,4.4965585231781,4.881068711280823,5.417085785865783,5.1527543592453,5.251884088516236,5.602606863975525,4.8467058134078975,4.879999918937683,5.040140390396118,5.772384195327759,4.737720918655396,4.3888354706764225,5.040402154922486,4.658282151222229,4.753594527244568,4.614596829414368,5.079219522476197,4.8741398048400875,5.91650876045227,5.008618307113648,5.092380814552307,5.15163519859314,4.593590745925903,5.193408970832825,4.475343990325928,4.998161296844483,4.591819090843201,4.911483254432678,5.007128396034241,5.601261601448059,5.050031147003174,5.822615704536438,4.762901635169983,6.112065515518188,5.4176522064208985,4.3636546277999875,5.118157062530518,6.051228475570679,5.343363914489746,4.626061854362487,4.791787285804748,5.4891894340515135,5.169337601661682,4.887610449790954,5.078244109153747,4.779152698516846,4.892801914215088,5.8015737009048465,4.924481058120728,5.385119123458862,4.810330963134765,5.178829641342163,5.043933720588684,4.665243349075317,4.670375256538391,4.726595678329468,5.404707469940186,4.2836565589904785,5.986073865890503,5.132074027061463,5.205614795684815,4.3866210412979125,5.033740525245666,4.564107537269592,4.592157955169678,4.995678505897522,4.647779383659363,5.091462774276733,4.575700645446777,4.321437752246856,5.733691091537476,4.385614287853241,4.959221920967102,4.730046319961548,5.241364121437073,4.739101810455322,4.512177104949951,4.530622348785401,5.340328273773193,5.0289981126785275,5.756042151451111,4.819344239234924,5.174060683250428,4.890581736564636,5.3175575637817385,5.29684588432312,4.461482615470886,4.62292142868042,5.672873306274414,5.051689872741699,4.89383330821991,5.61327428817749,4.947428884506226,5.575595107078552,4.9603276491165165,5.293930821418762,4.8324440002441404,4.568327279090881,5.126802177429199,4.667308158874512,5.501197986602783,4.795206952095032,5.009132027626038,5.112440929412842,5.311717095375061,5.517613277435303,4.720104503631592,4.978660492897034,4.8772044324874875,5.163988919258117,5.4280183887481686,4.930898189544678,5.002571368217469,4.825925378799439,4.447463374137879,5.332820334434509,5.076935620307922,5.141770377159118,5.182844009399414,4.9882314491271975,5.630784797668457,4.735634126663208,5.5378383350372316
layer_7,4.563682742118836,5.138916659355163,5.315249252319336,5.15278995513916,5.115743474960327,5.552308158874512,5.057381672859192,4.639700565338135,4.989235038757324,4.846708006858826,5.400843510627746,5.027142519950867,5.539161515235901,4.598988819122314,5.3333637189865115,4.6922423458099365,5.124743208885193,4.565988621711731,4.901713852882385,4.918424487113953,6.254799041748047,5.888375940322876,4.934341015815735,4.255340504646301,4.9407158470153805,4.763609280586243,6.019876184463501,5.138682236671448,5.25067720413208,4.848561506271363,4.520228476524353,5.370287404060364,4.7736627388000485,5.509623103141784,4.842659397125244,4.601120548248291,5.111260757446289,4.780454301834107,5.219399156570435,5.152148189544678,5.186011061668396,4.510430846214295,4.670035152435303,4.990308694839477,4.77520911693573,5.2884146070480345,4.915775833129882,4.933051061630249,5.989506874084473,5.602264723777771,5.451976218223572,5.825246214866638,4.826329479217529,5.218538274765015,4.661221795082092,4.752018532752991,4.6696566438674925,4.686446866989136,4.948294777870178,5.198334579467773,5.506046547889709,5.303623676300049,5.051659665107727,4.643118028640747,4.615311636924743,4.586722993850708,5.17433262348175,4.815411534309387,5.282366418838501,5.7011736965179445,4.836227588653564,4.513419570922852,4.915842728614807,6.073039937019348,4.995059723854065,5.027985782623291,4.911534204483032,4.7261865234375,4.730517582893372,4.831991744041443,4.818718657493592,5.300419979095459,4.789462008476257,4.190240874290466,5.281333494186401,4.9379333925247195,5.078385229110718,4.980884265899658,5.477895460128784,4.8025039958953855,4.4894086408615115,5.062764811515808,4.30989280462265,5.4636453437805175,4.88644923210144,5.2629650211334225,5.422234215736389,4.957442169189453,5.034998483657837,4.903781223297119,5.220379748344421,4.762517800331116,5.054085536003113,4.842536458969116,4.715279545783996,4.880175228118897,5.2628259134292605,4.187571566104889,5.185231056213379,4.810502095222473,6.092323222160339,4.968815922737122,5.129278888702393,4.942150115966797,4.564242882728577,5.141633801460266,5.021629471778869,4.597442874908447,4.721019539833069,4.856716165542602,4.987691464424134,4.887325253486633,4.59700927734375,4.9261009216308596,5.139475417137146,4.986090478897094,4.541760854721069,4.70950382232666
layer_8,4.854825930595398,4.538712768554688,5.03398262500763,5.007082476615905,4.790195021629334,5.520876512527466,4.887546286582947,4.9623878383636475,5.876766324043274,4.967759470939637,4.964921698570252,5.127251315116882,5.156969327926635,5.057444930076599,5.49781364440918,5.073665804862976,4.937690563201905,5.272741665840149,4.754423570632935,5.073685050010681,5.073560180664063,4.570406787395477,5.465203576087951,4.540240840911865,4.91975658416748,4.97078950881958,5.276552605628967,4.914024538993836,4.7114137935638425,4.84950975894928,5.250826616287231,5.089034876823425,5.324687461853028,5.718781614303589,4.479255542755127,5.54645215511322,5.791964898109436,5.941988730430603,4.572670044898987,5.175817003250122,5.084438886642456,4.833951525688171,5.115308961868286,4.5184382677078245,5.5360415649414065,5.243150572776795,5.175942816734314,5.9027466249465945,5.057087225914001,4.745481510162353,4.6797297048568725,5.077942757606507,5.344380764961243,4.980411195755005,4.928732447624206,4.995193195343018,5.613428235054016,4.8383926677703855,4.473857169151306,5.377755141258239,4.887104859352112,5.52128616809845,4.99367124080658,4.794358339309692,5.037944393157959,4.766472382545471,4.582496452331543,4.482668166160583,4.640304112434388,5.238042554855347,5.546057147979736,4.474616255760193,4.700440993309021,4.598051457405091,5.050249218940735,5.028158540725708,4.94113245010376,4.873898959159851,4.269207665920257,5.661820435523987,5.907000832557678,4.7132574605941775,5.059962658882141,4.804942865371704,5.48299430847168,5.128954811096191,6.117725405693054,4.880505204200745,5.168164176940918,4.765005912780762,5.491213130950928,4.798342142105103,4.9009596824646,4.974728722572326,5.034313173294067,5.892671227455139,4.801806564331055,4.65904100894928,4.8726119661331175,5.136400060653687,5.173713440895081,4.90487361907959,4.810497241020203,5.567260370254517,4.939731531143188,5.91537531375885,5.321194186210632,4.05537385225296,5.213478527069092,5.102013964653015,5.571519827842712,5.402133798599243,4.789025506973267,5.44640387058258,5.256841053962708,5.451257429122925,4.877297554016113,5.1742042589187625,5.4111194944381715,4.530440435409546,4.9973003816604615,5.551770720481873,5.689642777442932,4.778823747634887,5.321184196472168,4.497730560302735,4.742287340164185,4.320917611122131
layer_9,5.504447612762451,6.171322412490845,4.930487127304077,4.553225135803222,4.8899159383773805,4.836863164901733,5.073574690818787,5.055776343345642,5.033223314285278,5.215655360221863,4.946630620956421,5.085175848007202,4.903599724769593,4.980629415512085,5.288996677398682,5.150182819366455,4.996262001991272,5.411812319755554,4.974848823547363,4.627442989349365,5.479534659385681,5.288532214164734,5.474083194732666,5.087256016731263,5.647698197364807,5.1672616291046145,4.948770866394043,4.054356005191803,4.3576113939285275,4.583343815803528,4.709719271659851,4.965770902633667,4.9133928728103635,5.836861801147461,5.222360897064209,5.871854939460754,4.472415099143982,5.148145356178284,5.254991841316223,5.069595284461975,4.991032123565674,5.134016046524048,4.534131212234497,4.735605268478394,4.848939275741577,5.207065238952636,4.666453652381897,5.2168041563034055,5.008362460136413,5.854269151687622,4.947115359306335,4.783711705207825,5.572884693145752,5.156437902450562,4.440201930999756,5.294051427841186,5.1943896198272705,5.197398457527161,4.907385702133179,4.644689526557922,5.339227514266968,4.5753981590271,5.2912884616851805,5.224803323745728,4.84634952545166,5.757807054519653,5.139749565124512,5.204129772186279,4.984915819168091,5.0039423036575315,5.1028859901428225,5.924635438919068,4.843543376922607,4.761294827461243,4.426595649719238,4.778776054382324,5.122353725433349,4.827558693885803,5.1655989933013915,4.921315941810608,5.627980279922485,4.88229022026062,5.228647179603577,4.779872970581055,5.6495815992355345,4.809342398643493,4.9150752401351925,5.153919968605042,4.726839957237243,4.890882134437561,4.646013283729554,4.780167789459228,4.821326441764832,4.62296229839325,4.681270079612732,4.943901810646057,5.541901760101318,6.014111967086792,4.9317149782180785,5.409029970169067,5.096284022331238,4.988925676345826,5.0449670839309695,5.535794763565064,4.941374192237854,4.912126455307007,4.637887353897095,4.864471082687378,4.575037178993225,4.992904076576233,5.325250835418701,5.06146821975708,4.743227124214172,5.630299892425537,4.864576969146729,5.180187454223633,5.199701604843139,4.68657721042633,5.332538366317749,5.0148684740066525,4.7656196069717405,4.424702754020691,5.061058588027954,5.144329657554627,5.345987405776977,5.164809112548828,4.900390572547913,5.638812985420227
