,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,4.895298790931702,4.965527400970459,5.057146463394165,4.7266011095047,5.193702054023743,4.820416893959045,5.052905354499817,4.842768507003784,4.773929691314697,4.804041571617127,4.822426419258118,5.041539902687073,4.7163096618652345,5.049084620475769,4.710182671546936,5.106082339286804,4.995395488739014,4.895392541885376,4.995948781967163,4.971642537117004,5.0564214658737185,5.064772138595581,4.878992862701416,4.759167227745056,4.889640889167786,4.812443194389343,4.871406354904175,5.05227840423584,4.922267546653748,4.819215545654297,4.8120754528045655,4.873557996749878,4.889078731536865,4.8221603107452395,4.8683313417434695,4.8533392429351805,4.930167198181152,4.94208858013153,4.992817211151123,5.046148161888123,4.914469838142395,4.834835286140442,5.009248790740966,4.947373456954956,4.676432342529297,5.187407665252685,5.022459306716919,4.913575096130371,4.9711701822280885,4.752982025146484,4.895037636756897,4.666468529701233,4.955638260841369,5.085944190025329,4.790771174430847,4.852374110221863,4.872454376220703,4.76130606174469,4.831326417922973,5.115046463012695,5.187556352615356,4.867655701637268,4.859002733230591,5.041449084281921,5.175321140289307,5.228163914680481,5.013295149803161,4.853397126197815,4.81543137550354,4.816890230178833,4.898361306190491,4.9201159143447875,4.857471485137939,4.807787942886352,4.912678050994873,5.039699120521545,4.892751412391663,4.807415556907654,4.770178055763244,4.814895873069763,4.942075424194336,4.812029724121094,4.963752083778381,4.793910675048828,5.1549987745285035,4.971373114585877,4.838301076889038,4.813482351303101,5.02796359539032,4.7163057088851925,5.113874769210815,5.005694508552551,4.650331697463989,5.100853066444397,4.922655043601989,4.832851738929748,4.90636981010437,4.9866477966308596,5.226750092506409,4.9890553712844845,5.116759305000305,4.909530687332153,4.835223817825318,5.09112443447113,4.849385633468628,4.707178058624268,4.8559438467025755,4.93019549369812,4.890073447227478,4.851355705261231,4.962207665443421,4.850669531822205,4.649687275886536,4.7886478090286255,4.919909329414367,4.948378081321716,4.715156064033509,4.81571786403656,4.90000735282898,5.038760299682617,5.219073462486267,4.949196472167968,5.109296822547913,4.844443535804748,4.804751091003418,4.845704374313354,4.706822791099548,5.057096476554871
layer_1,4.748899779319763,4.835844831466675,5.011628704071045,5.008486285209655,5.146683974266052,4.797860622406006,5.287042536735535,5.040440893173217,5.004022154808045,4.836356353759766,4.994556040763855,5.032648787498474,4.894549789428711,5.088259296417236,4.833542218208313,5.122198438644409,5.119977064132691,4.803401761054992,5.070602421760559,5.034308633804321,4.749071822166443,5.053892183303833,5.008934655189514,5.323358325958252,4.946549773216248,5.006161613464355,4.884632024765015,5.237386574745178,4.7858020782470705,5.12459023475647,5.486545133590698,5.104758334159851,4.705118541717529,4.916361598968506,4.850400733947754,4.65448531627655,4.9386027145385745,4.9507372760772705,4.945765256881714,4.845453391075134,5.021292538642883,5.149088234901428,4.944423775672913,4.9598938798904415,4.8679441690444945,5.383408970832825,4.881896147727966,4.754794864654541,4.79303005695343,4.9553899002075195,5.0541639375686644,5.068044838905334,5.123920845985412,5.328985934257507,4.9981846380233765,4.852990918159485,4.988898119926453,4.981974120140076,5.111925091743469,4.8417744445800786,4.9809895563125615,4.855029726028443,5.01417314529419,5.342581338882447,4.817506685256958,4.89868923664093,5.099013261795044,5.144084949493408,4.929244518280029,4.8226530694961545,4.987425427436829,4.941207003593445,4.820105667114258,4.899492201805114,5.156453723907471,4.928621487617493,4.985291547775269,5.091043519973755,5.121660952568054,4.739498801231385,4.991952376365662,4.70815505027771,4.937709970474243,4.829157013893127,4.889810962677002,4.877909665107727,4.831357650756836,5.226023464202881,5.2909089374542235,5.037040572166443,5.065975761413574,4.9166681718826295,5.258955998420715,4.803719515800476,4.91784779548645,4.875374112129212,4.9171652460098265,4.8748533725738525,5.030469198226928,5.049732370376587,4.877649121284485,4.984001417160034,4.738959326744079,5.0367826652526855,5.014475774765015,4.987804703712463,4.794705700874329,4.9763635683059695,4.741555690765381,4.892657361030579,4.811471166610718,4.619409980773926,4.852373485565185,4.9161106300354005,5.02851357460022,4.944045171737671,4.876496181488037,4.963541197776794,4.795574116706848,4.7669448566436765,4.949696469306946,4.9392899131774906,5.261080026626587,4.873099784851075,4.975550103187561,4.971855049133301,4.986431341171265,5.100886287689209
layer_2,4.9301626062393185,4.7979823589324955,4.808045525550842,4.850220160484314,5.235911593437195,4.614610652923584,5.378753051757813,5.070174112319946,5.3031783866882325,5.322883648872375,4.91632577419281,4.767242527008056,4.831228728294373,4.902613577842712,5.166056337356568,5.290499439239502,4.993530049324035,4.917207660675049,4.778612942695617,4.7349991035461425,4.820906672477722,4.9068228006362915,4.846868534088134,4.98638231754303,5.210088238716126,4.884733338356018,4.811608328819275,5.085837955474854,4.915274758338928,4.88898530960083,4.918358330726623,4.8870487928390505,4.962955374717712,4.858640251159668,4.736390242576599,4.844645829200744,4.596641883850098,4.742640595436097,4.82798595905304,4.875300087928772,4.85034975528717,4.989979367256165,4.927860608100891,5.2164800310134884,5.094841194152832,5.06387773513794,4.967374768257141,4.922776427268982,4.9828754234313966,5.136107678413391,4.88121949672699,5.3177747678756715,5.304741530418396,4.917692866325378,5.136934633255005,4.785251417160034,4.901797499656677,4.9712316608428955,4.950749468803406,5.073588271141052,5.023399429321289,4.760012273788452,5.0190675258636475,4.762129368782044,5.17458625793457,5.079282960891724,5.065056343078613,5.148549780845642,5.008825445175171,5.0214899015426635,5.047017192840576,4.772088928222656,4.987584328651428,4.992039885520935,4.979445161819458,4.636133003234863,4.976597156524658,4.8803047180175785,4.961352090835572,4.8106800365448,4.450536980628967,4.939727058410645,4.931336264610291,4.773011612892151,5.678682627677918,5.021330714225769,5.11242705821991,5.167739863395691,5.4927964735031125,5.360795798301697,5.0887678480148315,4.882716884613037,5.459227709770203,4.986235957145691,4.9410500764846805,4.894595150947571,4.813316216468811,4.7462642383575435,4.773188600540161,4.732280378341675,4.870257968902588,5.169604682922364,4.647255053520203,4.972871170043946,5.261995158195496,5.064303045272827,4.700049457550048,4.804032664299012,4.854299111366272,4.756759657859802,4.658022832870484,4.849879040718078,5.138781337738037,4.817015571594238,4.738269186019897,4.8252873039245605,4.973334965705871,4.746845178604126,4.924891881942749,4.956008334159851,5.177284650802612,5.135750112533569,5.2236826658248905,4.763833661079406,5.139958624839783,5.468033967018127,5.169102725982666,4.957040882110595
layer_3,5.455547113418579,5.019735984802246,5.083380031585693,4.975210728645325,5.290285601615905,5.075168538093567,5.465357656478882,5.136780691146851,4.792347779273987,5.245232334136963,5.0732241010665895,4.979344501495361,5.315275592803955,4.771041221618653,4.8233244562149045,4.954135632514953,5.326645159721375,4.815414581298828,4.742824130058288,5.1053191804885865,5.2383069896698,5.510792012214661,5.492713236808777,4.845774788856506,5.175207166671753,5.302415885925293,4.840014905929565,4.625279383659363,4.4993704986572265,4.875240221023559,5.201779017448425,5.312643194198609,4.902272782325745,4.835513916015625,4.824218206405639,4.8998333358764645,4.792041888237,4.786723804473877,5.316929054260254,4.891003727912903,4.84619782447815,5.298370804786682,5.135498108863831,4.494427771568298,4.90370502948761,4.8377379083633425,5.058224439620972,4.755537304878235,4.718324127197266,5.07829517364502,5.200743861198426,4.842917561531067,4.862549457550049,4.940013256072998,5.065347466468811,4.988494157791138,4.861401748657227,4.870795817375183,4.516905727386475,4.98134813785553,4.966131048202515,5.942219467163086,4.948757662773132,4.613857026100159,5.4986757469177245,4.98564546585083,5.2763227844238285,4.867048120498657,4.859339570999145,4.894416227340698,5.568258647918701,5.024297795295715,4.801356029510498,5.019854030609131,4.832576093673706,4.753774471282959,4.660188288688659,4.894180374145508,4.95929187297821,5.023101739883423,4.862405686378479,5.112534666061402,5.040843858718872,4.973446493148804,4.576559653282166,4.701606674194336,4.977041544914246,5.0307224750518795,4.833879404067993,5.602852029800415,4.930206031799316,5.035103058815002,4.940250768661499,4.938055377006531,5.08810435295105,4.304851422309875,5.227947449684143,5.114237594604492,4.797443528175354,4.831025419235229,4.729483342170715,5.097915210723877,4.794248476028442,4.908861627578736,5.07557870388031,4.877508993148804,5.120772480964661,4.847118196487426,4.9198336410522465,4.826200413703918,4.9559770727157595,4.990152430534363,5.0474547052383425,5.025485944747925,4.786979718208313,4.902247471809387,4.94202938079834,4.799825429916382,5.115115537643432,4.700312285423279,4.716555376052856,4.821116533279419,5.235408477783203,5.434945006370544,5.349427380561829,4.810570168495178,4.902013244628907,5.02176260471344
layer_4,4.993113913536072,5.138699750900269,4.707305722236633,4.642069168090821,5.009197473526001,5.642495470046997,5.111498441696167,4.65603663444519,5.046366229057312,5.858750228881836,4.9733698320388795,4.9607042217254635,5.4592908668518065,4.8952333354949955,4.6967405557632445,4.662734656333924,5.125654697418213,5.03803596496582,4.55028205871582,5.0209721326828,4.921863560676575,4.5536192035675045,5.276207327842712,4.993807988166809,5.081523766517639,5.356414566040039,4.967576079368591,5.338671798706055,4.593761630058289,5.181614584922791,4.692470488548278,4.745577073097229,4.973745179176331,4.6740412473678585,5.419209942817688,4.751222124099732,4.506609349250794,4.813211965560913,4.924754061698914,5.006588258743286,5.029954710006714,5.011022458076477,5.213465223312378,4.868517208099365,4.829363932609558,4.850748467445373,5.192251396179199,5.107810282707215,4.571960301399231,4.733701419830322,4.756958665847779,4.877817873954773,5.091632018089294,4.692597460746765,4.809270825386047,5.080428733825683,5.06241063117981,4.946238579750061,5.491529335975647,5.084805388450622,4.949565253257751,5.341227049827576,4.63419584274292,4.821348128318786,5.394734597206115,4.828443880081177,4.6787044095993044,5.324212927818298,4.839460635185242,5.085255370140076,5.2063007640838626,4.712953724861145,4.717803068161011,5.093874120712281,5.130441861152649,4.766257662773132,5.526863889694214,5.264942855834961,4.830653710365295,5.064212608337402,4.827100415229797,5.0988254404068,4.879439878463745,5.2488435363769534,4.8976954650878906,5.35717047214508,4.963516573905945,5.045943193435669,5.204731674194336,4.958189258575439,5.161486949920654,4.737596817016602,4.51535472869873,4.940501732826233,4.830082015991211,4.985012254714966,5.072536625862122,5.216795167922974,5.348739581108093,4.665014243125915,4.894894528388977,5.054497036933899,5.118343524932861,4.900725421905517,4.870074129104614,5.005885624885559,5.325934958457947,5.021237931251526,4.990393528938293,4.3917599868774415,5.0569757604599,4.780517234802246,4.9608527231216435,5.169303679466248,4.96049485206604,4.852439217567444,4.967163577079773,4.8584201669692995,5.0715994548797605,5.019000120162964,4.765032668113708,5.153733320236206,5.388239378929138,4.601149787902832,4.934863228797912,4.554316229820252,4.710722846984863,4.7238863086700436
layer_5,5.152170147895813,5.0666882419586186,4.823752737045288,4.944560623168945,5.408711285591125,5.648520154953003,4.878525094985962,5.336849918365479,5.173326072692871,4.8195293998718265,4.7800004529953,5.086277403831482,4.989744830131531,5.106059622764588,4.550640926361084,4.833827748298645,5.010887575149536,4.821372480392456,4.865902099609375,5.1299221277236935,4.667630710601807,4.927329053878784,5.537878375053406,4.874275436401367,5.202975096702576,4.700654058456421,4.696057333946228,4.556597495079041,4.95445077419281,4.834285621643066,5.198968176841736,5.179827380180359,5.023784637451172,4.848125419616699,4.982496480941773,4.603348460197449,4.792764239311218,4.868980050086975,4.891102728843689,5.0762948369979854,4.75033661365509,4.968822183609009,4.938937921524047,4.979562606811523,4.3676507806777956,4.663236951828003,4.878686304092407,5.107165212631226,5.766763553619385,5.535068831443787,4.726093230247497,4.8540958356857296,5.020732016563415,4.8788177061080935,5.220335602760315,5.1070836591720585,4.867220487594604,4.678499150276184,4.780507335662842,4.968042521476746,4.926150455474853,5.23951292514801,5.528571286201477,5.155946798324585,4.9371211719512935,4.472192211151123,5.354784631729126,4.697190260887146,5.166939234733581,4.74982937335968,4.9050086498260494,5.321000089645386,4.797723135948181,4.890602068901062,4.77878613948822,5.195601739883423,5.054133305549621,4.916153693199158,5.005432996749878,5.197261438369751,4.74978759765625,4.981641516685486,5.06421917438507,5.2781731271743775,5.418792519569397,4.754394841194153,4.48745786190033,5.441603035926819,4.995038275718689,5.193958010673523,4.962325463294983,5.000137600898743,4.8981185102462765,5.097936272621155,5.254992508888245,4.736829376220703,4.918158345222473,4.807876424789429,4.4870639371871945,5.098625755310058,5.134374761581421,4.940697469711304,5.200542168617249,5.155077719688416,4.608045511245727,4.75258761882782,4.817928400039673,4.815508980751037,5.118819169998169,4.442824783325196,5.046766204833984,4.688041911125183,5.100133972167969,5.4992622423172,4.736456680297851,5.5650977563858035,5.552686901092529,4.902346143722534,4.571411299705505,5.077269830703735,4.924993853569031,4.418732690811157,4.994782671928406,4.944315237998962,4.733246178627014,5.438601403236389,5.0868773889541625,5.059355673789978
layer_6,4.934483332633972,4.8110986328125,4.728344531059265,4.832790408134461,5.526330313682556,4.49828007221222,4.920514578819275,5.726451721191406,5.040018510818482,5.191812252998352,5.420856003761291,4.833856053352356,4.759672822952271,4.948377084732056,5.685724749565124,4.91230571269989,4.629809341430664,5.068958959579468,4.810128235816956,4.930923428535461,4.7316709947586055,5.017270803451538,4.988686928749084,5.700850405693054,4.9874352979660035,4.886442842483521,5.07528826713562,4.8328507709503175,5.1885510921478275,4.631850786209107,4.858347487449646,4.645879073143005,4.854569845199585,5.00009256362915,5.545004024505615,5.113149785995484,5.543466172218323,4.789208326339722,5.79059250831604,5.260841546058654,4.379517254829406,5.031939368247986,5.8831089496612545,5.103113574981689,4.592268552780151,4.658939290046692,5.567181668281555,4.981578044891357,4.810375761985779,4.980334639549255,4.818250098228455,4.817320194244385,5.6511303377151485,4.926632647514343,5.170779037475586,4.80233003616333,4.9506395721435545,5.045314898490906,4.724197807312012,4.7962784099578855,4.80018000125885,5.282493190765381,4.680138597488403,5.820697751045227,5.093099780082703,5.207771472930908,4.3784086847305295,5.093384642601013,4.479172492027283,4.7062537431716915,5.1579935312271115,4.706684679985046,5.193215370178223,4.696161642074585,4.521373143196106,5.403924078941345,4.578741216659546,4.815745177268982,4.595604395866394,5.091013913154602,4.698534317016602,4.526579070091247,4.672227087020874,5.25618001461029,4.970509958267212,5.503988547325134,4.6480409097671505,5.050939245223999,4.934548797607422,5.134610118865967,5.324305667877197,4.4685665798187255,4.7171099710464475,5.331086277961731,5.158057975769043,4.791575446128845,5.313655676841736,4.888996796607971,5.532356338500977,4.870059623718261,4.91254798412323,5.041109642982483,4.683631682395935,5.173671464920044,4.609422478675842,5.413279385566711,4.6868044090271,4.918431658744812,4.984532322883606,5.143666605949402,5.401155009269714,4.697698082923889,4.88962643623352,4.908640246391297,5.088695502281189,5.270689244270325,5.067352886199951,4.951393837928772,4.807031021118164,4.663313763141632,5.160048761367798,4.985264563560486,5.2641754245758055,4.820686964988709,4.7719129371643065,5.451580009460449,4.721716222763061,5.3305816650390625
layer_7,4.58802743434906,4.923710947036743,5.097799425125122,5.230970811843872,4.9845837879180905,5.440147104263306,4.975138931274414,4.716072163581848,4.904565567970276,4.819351758956909,5.301439223289489,5.020565886497497,5.559228701591492,4.621552753448486,5.48256947517395,4.665231037139892,4.873261289596558,4.9919119501113896,4.917363619804382,4.87177544593811,5.826298747062683,5.734766173362732,4.8584412097930905,4.392135996818542,4.85272213935852,4.709532351493835,5.7688392066955565,4.973703050613404,5.053296828269959,4.837066736221313,4.862925772666931,5.229277739524841,4.773699564933777,5.311052198410034,4.968895859718323,4.59206392288208,5.123010640144348,4.856688585281372,5.051868510246277,5.0348734664917,4.9707136154174805,4.678648805618286,4.70854190826416,4.8012185430526735,4.781967701911927,5.069371151924133,4.92579107761383,4.861958026885986,5.683993182182312,5.548352365493774,5.353409295082092,5.653939571380615,4.7861866283416745,5.194788069725036,4.679499144554138,4.814098477363586,4.589534349441529,4.812999439239502,5.030075755119324,5.033038563728333,5.286608285903931,5.096473941802978,5.021460318565369,4.846898775100708,4.971758332252502,4.674344840049744,5.078961911201477,4.868749775886536,5.154088907241821,5.56772011756897,4.769083018302918,4.491560640335083,4.842909646034241,5.7882289838790895,5.032892861366272,5.052795805931091,4.7301454973220824,4.757969517707824,4.725611615180969,4.817180709838867,4.764734630584717,5.263955354690552,4.682041072845459,4.750700602531433,5.132624411582947,4.825723147392273,4.822327060699463,4.9567162227630615,5.4861155128479,4.8281352949142455,4.488614916801453,4.891908311843872,4.6364517545700075,5.338418498039245,5.121639213562012,5.088739895820618,5.208453397750855,4.842851085662842,4.98621328830719,5.038671493530273,5.042759304046631,4.672578053474426,4.9241307258605955,4.849059658050537,4.798832335472107,4.830978407859802,5.139365391731262,4.507261962890625,5.059905695915222,4.754788913726807,5.921002683639526,5.2661399126052855,5.0968530559539795,4.80247085571289,4.571562600135803,5.226460614204407,5.0212139129638675,4.702015914916992,4.780396819114685,4.827150106430054,4.938210291862488,4.741513595581055,4.748811640739441,4.8595754289627076,5.204311785697937,4.991400094032287,4.618226099014282,4.966419200897217
layer_8,4.772962298393249,4.547950792312622,4.969211282730103,4.986780023574829,4.719244523048401,5.434913907051087,4.857921476364136,4.93901819229126,5.677374749183655,4.743081007003784,4.926634001731872,5.227592525482177,4.900561904907226,5.106340222358703,5.489037575721741,4.961353063583374,4.852108659744263,5.230076394081116,4.672252101898193,5.004134979248047,5.204689893722534,5.1210616064071655,5.260172448158264,4.901513428688049,4.923794846534729,5.127311282157898,5.279428696632385,4.855996475219727,4.624490265846252,4.74670569896698,5.347038922309875,5.136567192077637,5.276917858123779,5.47884612083435,4.585793881416321,5.4476379299163815,5.578679671287537,5.855046458244324,4.612640600204468,5.1924484348297115,4.9791067028045655,5.114608969688415,4.9728004217147825,4.672342877388001,5.379838576316834,5.178994183540344,5.089508671760559,5.587066516876221,4.998311939239502,4.837545475959778,4.648205690383911,4.922459621429443,5.183594841957092,4.890450081825256,4.881858658790589,5.107482676506042,5.450919146537781,4.797293853759766,4.7744634199142455,4.968044514656067,4.777719492912293,5.233058629035949,5.097929058074951,4.843186960220337,4.955685625076294,4.662596497535706,4.609466581344605,4.39764521598816,4.680171151161193,5.080719847679138,5.38144926071167,4.712950444221496,4.678404726982117,4.518141226768494,4.971603388786316,4.912960615158081,4.900872149467468,4.810506711006164,4.540596837997437,5.430828704833984,5.650430984497071,4.808841562271118,4.962649788856506,4.761446833610535,5.372057981491089,5.015575098991394,5.926733632087707,4.897584300041199,5.113687596321106,4.837857699394226,5.411822113990784,4.761821837425232,4.914404716491699,5.12717312335968,5.278081650733948,5.436786251068115,4.793499779701233,4.684936280250549,4.973096499443054,5.164251089096069,5.064861946105957,4.8379192066192624,4.760639624595642,5.419805335998535,4.929185967445374,5.682004008293152,5.167568182945251,4.264883694648742,5.197646126747132,4.978941559791565,5.502600746154785,5.3414866065979005,4.72290274143219,5.144286589622498,5.28414776802063,5.182736930847168,4.739848141670227,5.17862410068512,5.082380032539367,4.669125771522522,5.164929032325745,5.524263911247253,5.331331315040589,4.821671996116638,5.136010928153992,4.951122121810913,4.683967232704163,4.379810628890991
layer_9,5.575728378295898,5.838857975006103,4.862189574241638,4.523299808502197,4.819512300491333,5.212306685447693,4.978388900756836,5.1073764085769655,5.089573125839234,5.097801084518433,4.930131688117981,5.067009286880493,4.823782324790955,5.077839889526367,5.2716468238830565,5.043359937667847,5.011556000709533,5.3639688348770145,4.9390408897399904,4.605117206573486,5.357311582565307,5.322444491386413,5.234620475769043,5.010984663963318,5.474339561462402,5.044300446510315,4.736601090431213,4.139836637973786,4.839502744674682,4.426180715560913,4.9247099924087525,5.3184563207626345,4.856587619781494,5.71346158027649,5.146209626197815,5.90265911579132,4.566011328697204,5.160734643936157,5.193780364990235,4.811709303855896,5.447289891242981,5.468651075363159,4.46087975025177,4.791586952209473,4.881410632133484,5.220278725624085,4.593527717590332,5.336688580513001,4.895692219734192,5.696015858650208,5.100670161247254,4.673670840263367,5.498842158317566,5.140742516517639,4.572716927528381,5.058011584281921,4.855541543960571,5.277728705406189,4.947970185279846,4.6386836767196655,5.175451745986939,4.711903080940247,5.149968175888062,5.064052724838257,4.828636288642883,5.43245765209198,5.089683656692505,5.035138921737671,5.118752064704895,5.00612642288208,4.9285567045211796,5.772231650352478,4.770454702377319,4.746918535232544,4.38971791267395,4.749531388282776,5.097906031608582,4.8524011039733885,5.350687909126282,4.934222455024719,5.353830676078797,4.658402886390686,5.243194813728333,4.90211359500885,5.487892513275146,4.769098463058472,5.229727730751038,5.053671145439148,4.736582036018372,4.922970814704895,4.970500411987305,4.828593516349793,4.695577096939087,4.789932332038879,4.682300791740418,4.886679377555847,5.370505027770996,5.722223420143127,4.87611554145813,5.23185896396637,5.30240535736084,5.065329370498657,4.978463935852051,5.159115233421326,4.970631699562073,4.8728204870224,4.75136821269989,4.83148332118988,4.711591253280639,5.002793188095093,5.285296802520752,5.090709648132324,4.602665581703186,5.37352837562561,4.868271498680115,5.10641194820404,5.114910626411438,4.745149450302124,5.3785500860214235,4.801227741241455,4.7068843221664425,4.498121509552002,5.022834987640381,4.900871152877808,5.3272790384292605,5.176434950828552,4.709825763702392,5.4200109148025515
