rank,layer,expert,expert_label,mean_activation_correct,mean_activation_incorrect,success_delta,delta_height,delta_position,delta_rotation,delta_ordering
1,10,34,L10_E34,5.506131752882854,5.406339980288094,0.09979177259475946,0.14618325759382778,0.03562924067179374,0.009590498188085661,0.1417456567287445
2,27,50,L27_E50,5.063129774414667,4.976354007338202,0.08677576707646484,0.11191007845541989,0.05321566899617469,-0.01989078208019901,0.0715652465820309
3,20,118,L20_E118,5.455419276020314,5.369167272063801,0.08625200395651333,0.1132910172728927,0.05682368596394838,0.024236874622211246,0.10402258038520884
4,16,3,L16_E3,5.6698203417334225,5.58712672230392,0.08269361942950226,0.12385742979891123,0.02046820958455431,0.033456827464856786,0.1679865956306461
5,20,115,L20_E115,5.696726378827992,5.616555408490542,0.08017097033745024,0.09862082407754968,0.05307022094726577,0.02657319683777626,0.11341140270233119
6,34,1,L34_E1,5.079764182024663,5.00564796868774,0.07411621333692242,0.07832034545786204,0.07882963816324828,-0.023161141495955384,0.08472753167152458
7,28,71,L28_E71,5.569715079694691,5.498216101158423,0.07149897853626808,0.06973887979984283,0.021601435343423958,0.016016198877702337,0.11827661991119331
8,18,120,L18_E120,5.1050446529199585,5.033601143687067,0.07144350923289178,0.059564342393594316,-0.01470473607381173,0.03131839266994518,0.11906879544258153
9,15,50,L15_E50,5.1279332283699866,5.056597315746805,0.07133591262318184,0.10124762706896817,0.051592604319255386,-0.007124031844892187,0.055748820304870605
10,34,22,L34_E22,5.496438437169141,5.425346551531534,0.07109188563760771,0.06998825423857724,0.057948067982992235,0.02035296276995968,0.1387944579124447
11,17,56,L17_E56,5.610450518013227,5.540434459380083,0.07001605863314442,0.06603020867880627,0.0002501614888510417,0.04995026191075613,0.11540562510490382
12,8,115,L8_E115,5.557420711706181,5.49096832785718,0.06645238384900054,0.10305993434260863,0.044511807759602284,0.05105888425258165,0.022676914930343628
13,14,83,L14_E83,5.5464661758725,5.48016264446603,0.06630353140647038,0.0746457234901543,0.015331522623697857,0.013623571186734296,0.0940215647220608
14,6,100,L6_E100,5.365203748835196,5.29972034473483,0.06548340410036602,0.05045702439897237,0.07910460789998375,0.04203066177535408,0.11152219772338867
15,9,56,L9_E56,5.225902307151568,5.16064689948806,0.0652554076635079,0.08379708931726526,0.05719076792399136,-0.012271154345127044,0.11363766789436358
16,22,34,L22_E34,5.363799718346926,5.298784240033714,0.06501547831321197,0.06287129048038942,0.03793434778849303,-0.0023047850843065376,0.1483876824378969
17,7,20,L7_E20,6.3684507218918,6.3034442148878425,0.06500650700395738,0.08577616162159885,0.04444536844889324,0.02999160164280923,0.09482917189598083
18,34,34,L34_E34,5.416947959673287,5.353220625465929,0.06372733420735788,0.04903829711324992,0.0382125918070475,-0.01831856945104704,0.15162161588668788
19,9,103,L9_E103,5.607382462756468,5.543776642917391,0.06360581983907743,0.12098811216214145,0.05122231801350985,0.025553506717346686,0.04585497975349373
20,21,56,L21_E56,5.396676148518478,5.333343229963628,0.0633329185548499,0.07520933536922225,0.04529056549072319,-0.013305287612111805,0.11811155080795288
21,28,53,L28_E53,5.189456906649146,5.12618026286862,0.06327664378052589,0.07331484731505888,0.007304592132568288,-0.027343974824537653,0.11617879271507281
22,20,95,L20_E95,6.196700823189008,6.133765051596141,0.06293577159286734,0.07222766648320622,0.038302758534749515,0.04918612931904054,0.10263305306434578
23,30,120,L30_E120,5.308057072139023,5.245402167074657,0.06265490506436588,0.05885633125024725,0.021487344106038364,-0.020617544651031494,0.1563362836837774
24,32,115,L32_E115,5.506027316102887,5.443410155765189,0.06261716033769815,0.07996146994478526,0.04951181411743111,0.011231922266775385,0.11675884127616865
25,21,55,L21_E55,5.252615059956466,5.190475707867472,0.06213935208899368,0.08413372670902941,0.03654772440592424,0.021785308394515646,0.0601007699966436
26,16,71,L16_E71,5.465128539812447,5.403657197154884,0.06147134265756282,0.05812401193029704,0.00689202626546237,0.020365563401004927,0.1268765211105345
27,15,91,L15_E91,5.9042143774504705,5.843479336703502,0.06073504074696867,0.07857783752329173,0.05816693623860658,0.025873897368447807,0.08170579075813311
28,21,26,L21_E26,4.9153203917021795,4.854628609175666,0.060691782526513194,0.04905830060734484,-0.0013147099812833574,0.02761614427231862,0.014989256858825684
29,28,3,L28_E3,5.288599240897906,5.228150496913438,0.06044874398446787,0.08974389731884003,0.00823852539062564,0.017272187952409368,0.13043761849403346
30,11,76,L11_E76,4.972264464538877,4.912266685013787,0.05999777952508989,0.07403491525089034,0.010429306030273366,0.028341845462196424,-0.012873548269271673
