,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7,expert_8,expert_9,expert_10,expert_11,expert_12,expert_13,expert_14,expert_15,expert_16,expert_17,expert_18,expert_19,expert_20,expert_21,expert_22,expert_23,expert_24,expert_25,expert_26,expert_27,expert_28,expert_29,expert_30,expert_31,expert_32,expert_33,expert_34,expert_35,expert_36,expert_37,expert_38,expert_39,expert_40,expert_41,expert_42,expert_43,expert_44,expert_45,expert_46,expert_47,expert_48,expert_49,expert_50,expert_51,expert_52,expert_53,expert_54,expert_55,expert_56,expert_57,expert_58,expert_59,expert_60,expert_61,expert_62,expert_63,expert_64,expert_65,expert_66,expert_67,expert_68,expert_69,expert_70,expert_71,expert_72,expert_73,expert_74,expert_75,expert_76,expert_77,expert_78,expert_79,expert_80,expert_81,expert_82,expert_83,expert_84,expert_85,expert_86,expert_87,expert_88,expert_89,expert_90,expert_91,expert_92,expert_93,expert_94,expert_95,expert_96,expert_97,expert_98,expert_99,expert_100,expert_101,expert_102,expert_103,expert_104,expert_105,expert_106,expert_107,expert_108,expert_109,expert_110,expert_111,expert_112,expert_113,expert_114,expert_115,expert_116,expert_117,expert_118,expert_119,expert_120,expert_121,expert_122,expert_123,expert_124,expert_125,expert_126,expert_127
layer_0,4.843024172782898,5.027340931892395,5.208171081542969,4.592084269523621,5.132621574401855,4.9729749917984005,5.089669437408447,4.824908800125122,4.767209596633911,4.946443572044372,4.864021201133728,5.105236406326294,4.609028267860412,4.999086031913757,4.763957176208496,5.263891186714172,5.1194980478286745,4.951656761169434,4.969020643234253,5.030994486808777,5.170825934410095,5.137742557525635,4.8672956323623655,4.700151329040527,4.870001502037049,4.7881774950027465,5.079252471923828,4.910267567634582,4.984454674720764,4.694955239295959,4.81363166809082,4.940590448379517,5.098390989303589,4.924877233505249,4.805990424156189,4.755316514968872,4.756791687011718,5.126702542304993,5.050283827781677,5.22795687198639,5.166109023094177,5.088193550109863,4.968558049201965,5.07707721233368,4.786986284255981,5.381687507629395,5.09814444065094,4.989925518035888,4.919128541946411,4.87510835647583,4.952143926620483,4.71093825340271,4.857367076873779,5.235915760993958,4.699403929710388,4.888416914939881,4.693793120384217,4.764179511070251,4.835200405120849,5.3070102882385255,5.325382828712463,4.969211750030517,4.94805025100708,5.05702317237854,5.124380970001221,5.183667645454407,4.883505501747131,4.702194118499756,4.8706813192367555,4.873366799354553,4.876860065460205,5.094493083953857,5.063828420639038,4.930799880027771,5.068762178421021,5.001824269294739,4.79141520023346,4.716153984069824,4.761917510032654,4.8968359565734865,5.031351003646851,4.802790565490723,4.91388958454132,4.9001218128204345,5.253252477645874,5.090277104377747,4.819556303024292,4.957021284103393,5.04598174571991,4.750790071487427,5.3062531900405885,5.0882563877105715,4.659502048492431,5.207390732765198,5.084914608001709,4.890402159690857,4.955697479248047,5.042710146903992,5.12649926662445,4.978183159828186,5.089717469215393,4.858755931854248,4.9976503276824955,5.289674186706543,4.940646209716797,4.781157054901123,4.949734845161438,5.099942665100098,5.007351760864258,4.862667412757873,5.130859899520874,4.831592903137207,4.5699861621856686,4.850519471168518,5.101861476898193,4.968210282325745,4.648791813850403,4.882410774230957,4.9576763153076175,5.247888298034668,5.255248618125916,4.846062378883362,5.204713134765625,4.9648388433456425,4.75938090801239,4.838841667175293,4.683585968017578,4.926260437965393
layer_1,4.732865481376648,4.67239999294281,5.158232216835022,4.993963751792908,5.210309820175171,4.566370854377746,5.356411986351013,5.1814368629455565,4.972203006744385,4.891035327911377,4.855544939041137,5.015467810630798,4.768422636985779,5.032802486419678,4.828981161117554,5.184643125534057,5.3901958703994755,4.850019383430481,5.145802459716797,5.077023735046387,4.630738654136658,4.9458938455581665,5.214499249458313,5.5695768737792966,4.837592139244079,5.102406735420227,4.944533739089966,5.020274753570557,4.802750988006592,5.171979041099548,5.727905130386352,4.9979465246200565,4.618090310096741,4.933695778846741,4.882163219451904,4.789574122428894,4.910406970977784,4.879139189720154,5.0133924531936644,4.733839225769043,5.097634644508362,5.277004718780518,5.100063047409058,4.971242599487304,4.858769907951355,5.570428633689881,5.062204570770263,4.7305339908599855,4.9423126697540285,4.956737833023071,5.220510110855103,5.150682344436645,5.0923756504058835,5.323744053840637,4.972502012252807,4.920089058876037,4.893477191925049,4.839590606689453,5.34307442188263,4.679872708320618,4.997195706367493,4.873906946182251,5.135059900283814,5.601843175888061,4.826379609107971,4.868261294364929,4.952458734512329,5.436175074577331,4.895680475234985,4.875257806777954,5.250073304176331,4.75860960483551,4.829707937240601,4.92571795463562,5.161660413742066,4.9250335597991945,4.94913079738617,5.459383964538574,5.212233328819275,4.922119007110596,5.147265658378601,4.683718819618225,4.938704452514648,4.8061200141906735,4.887340278625488,4.814781365394592,4.932086362838745,5.2737959861755375,5.264486660957337,4.893859677314758,5.029878425598144,4.888898754119873,5.303702936172486,4.839125685691833,4.9131880235672,4.8181166124343875,4.9516609144210815,4.84484176158905,5.005141081809998,5.214197549819946,4.881495313644409,4.882223281860352,4.752638258934021,5.096672415733337,4.719238963127136,4.811324968338012,4.902441873550415,5.109241857528686,4.756885857582092,4.9476389932632445,4.701544041633606,4.426289184093475,4.7993895626068115,4.826650848388672,5.021745667457581,4.882909722328186,4.751394543647766,4.956106085777282,4.669498453140259,4.806669702529907,5.004756774902344,5.0097466516494755,5.3576046752929685,4.8416314125061035,5.003539700508117,5.016438789367676,5.104941301345825,5.292652530670166
layer_2,4.88746563911438,4.68602725982666,4.808949723243713,4.720529222488404,5.30640739440918,4.453818244934082,5.153193492889404,4.939313793182373,5.542273411750793,5.483525500297547,4.853879480361939,4.6727199506759645,4.629301018714905,4.967708029747009,5.2252284526824955,5.134388446807861,4.991205525398255,4.781939048767089,4.806032824516296,4.719600706100464,4.815557451248169,4.689845728874206,4.708679313659668,4.998593835830689,5.095227203369141,4.82506028175354,4.607221808433533,4.962235226631164,4.810771341323853,4.764550623893737,4.905402655601502,4.795129904747009,4.968891315460205,4.848680338859558,4.544384431838989,4.723458580970764,4.535916991233826,4.215649652481079,4.956360015869141,4.821654644012451,4.88014054775238,5.131130404472351,4.722461061477661,5.437112913131714,5.020268759727478,5.091149682998657,4.947451777458191,4.995722351074218,4.846504211425781,4.875759553909302,4.775685181617737,5.579519972801209,5.39402645111084,4.9916333484649655,5.331933250427246,4.742280731201172,4.734623885154724,4.978285641670227,4.958781991004944,5.186443853378296,4.945449991226196,4.742549095153809,5.099018363952637,4.90594132900238,5.363677554130554,5.214742741584778,4.914379100799561,5.234328422546387,5.09200041770935,5.205658979415894,5.197831454277039,4.834741325378418,4.800622067451477,5.365432229042053,4.953722257614135,4.72512348651886,4.981152768135071,5.017622470855713,4.97732264995575,4.643135299682617,4.360274472236633,4.817993569374084,5.041764721870423,4.970318541526795,5.881895403862,4.661312041282653,5.093617744445801,5.379414358139038,5.663732542991638,5.232311720848084,5.290562396049499,4.695562081336975,5.279641833305359,5.1187952041625975,4.869769678115845,4.849747490882874,4.6594184923172,4.736845464706421,4.868283967971802,4.644189047813415,4.989454584121704,5.3826220417022705,4.319256091117859,5.028923726081848,5.26831093788147,5.252037692070007,4.670058040618897,4.749007225036621,4.7984228658676145,4.798253049850464,4.599454193115235,4.7261294794082644,5.134134907722473,5.0576507139205935,4.613168387413025,4.714061889648438,4.89588502407074,4.694327249526977,4.878681688308716,4.978819227218628,5.56533760547638,5.103102250099182,5.3895273017883305,4.787085275650025,5.070517301559448,5.8246415328979495,5.098674097061157,4.659763145446777
layer_3,5.276117663383484,5.375284614562989,5.039707183837891,4.728648769855499,5.280795407295227,4.982706942558289,5.91832284450531,5.085458307266236,4.708838887214661,5.383668012619019,5.123563919067383,4.944162092208862,5.3855683135986325,4.7871060562133785,4.8711573505401615,5.267516355514527,5.75232186794281,4.856950087547302,4.851692066192627,4.978769850730896,5.29565616607666,5.798430404663086,5.565419149398804,4.864704647064209,4.909032282829284,5.482784976959229,5.150420470237732,4.374585018157959,4.587544298171997,4.827141551971436,5.198598237037658,5.593502631187439,4.983895974159241,5.029438076019287,4.7649764680862425,4.939809007644653,4.591737995147705,4.9194335985183715,5.5976284217834475,4.9969969081878665,4.975233306884766,5.462403469085693,5.02546190738678,4.308380603790283,4.819657988548279,4.5870633745193485,4.9358281326293945,4.9320384836196896,4.905168476104737,4.720106472969055,5.495817804336548,5.150858144760132,5.115513658523559,5.091543769836425,5.0390732383728025,4.887991819381714,4.8210109424591066,4.887174959182739,4.265426716804504,5.193278245925903,5.205191950798035,5.748109884262085,5.415033764839173,4.612743368148804,5.745295825004578,4.866952981948852,5.206771583557129,4.739162068367005,4.971669363975525,5.0985991525650025,5.423237195014954,5.028276433944702,4.655712037086487,5.154878768920899,4.803597888946533,5.002885451316834,5.0857470607757564,4.847066087722778,5.207909574508667,5.0573071050643925,4.907425265312195,5.040236954689026,5.483497853279114,5.24492196559906,4.624895939826965,4.735703310966492,5.027383399009705,5.007113952636718,4.768470540046692,5.912088699340821,5.129803333282471,5.016390700340271,4.790727963447571,4.906586313247681,5.1120825242996215,4.102754967212677,5.787622866630554,5.235469446182251,4.7808544731140135,4.957151126861572,4.713909435272217,5.15135504245758,4.593307523727417,4.971697940826416,4.880850305557251,4.8764165592193605,5.233779921531677,4.843106498718262,4.989750390052795,4.6651021766662595,4.760085887908936,5.224471364021301,5.153620586395264,4.127295770645142,4.833000388145447,4.780881490707397,4.955129566192627,4.749950995445252,5.283993744850159,4.760106992721558,4.6995906114578245,4.886215577125549,4.933860449790955,5.879925494194031,5.3175410509109495,5.092795963287354,4.761169991493225,5.158708157539368
layer_4,5.336658349037171,5.025810132026672,4.558381562232971,4.583335800170898,4.975431251525879,5.222087426185608,5.042711935043335,4.786017351150512,5.247812929153443,5.807353634834289,5.06805091381073,4.913183970451355,5.342195281982422,4.500057115554809,4.774288954734803,4.113024160861969,4.955521521568298,5.41441556930542,4.746360139846802,5.095270190238953,5.036539192199707,4.438065495491028,5.4638141250610355,4.94382529258728,4.744255747795105,5.879533276557923,5.0941096830368044,5.019090666770935,4.552958669662476,5.543142457008361,4.617800569534301,4.710042743682862,4.948861012458801,4.551451997756958,5.505962896347046,4.81133312702179,4.2665447735786435,4.9004605197906494,4.903953533172608,5.115599112510681,5.429208860397339,5.318344521522522,5.68618763923645,5.002456150054932,4.918706035614013,5.024857926368713,5.13466962814331,5.461292591094971,4.680582175254822,4.654769968986511,4.937226161956787,5.1689388990402225,5.084132351875305,4.798024716377259,4.734278659820557,5.713333029747009,5.414366717338562,5.023204121589661,5.6957039499282835,5.12567892074585,4.777917432785034,5.348186421394348,4.631063585281372,4.853647789955139,5.110015940666199,4.89976849079132,4.63411964893341,5.453019719123841,4.939027891159058,4.699287042617798,5.446699800491333,4.6062156152725215,4.661068243980408,5.199213824272156,5.431138548851013,4.818597617149353,6.142554564476013,5.662588467597962,5.040979313850403,5.276429305076599,4.7582173538208,5.237590355873108,4.827057938575745,5.399261207580566,4.883508625030518,5.657412881851196,5.309946541786194,5.232679090499878,5.094569692611694,5.093431015014648,5.369004955291748,4.724180798530579,4.551478528976441,5.006485877037048,4.784736428260803,4.795028891563415,5.172278385162354,5.192763633728028,5.479925088882446,4.833648452758789,5.06016173362732,4.49759352684021,5.326494431495666,4.908717041015625,5.17274489402771,5.158902139663696,5.72561888217926,5.079266791343689,4.646293430328369,4.015960190296173,4.938562564849853,4.807060213088989,5.205668396949768,5.208071780204773,4.971603636741638,5.18450098991394,5.1853153514862065,4.638240690231323,5.25112850189209,5.156192684173584,4.835303497314453,5.328304071426391,5.647936425209045,4.601892261505127,5.221460719108581,4.4584682130813595,4.831138672828675,4.717283444404602
layer_5,4.786227006912231,5.0301894855499265,4.949099516868591,5.459584836959839,5.322093071937561,5.910917825698853,4.53108669757843,4.806570463180542,5.139188818931579,4.860967469215393,4.632916736602783,5.597437376976013,5.181027121543885,5.266996307373047,4.26557356595993,4.716740517616272,5.368214135169983,4.705502872467041,5.091166234016418,5.174060134887696,4.680253376960755,4.97014579296112,5.904639048576355,4.856591668128967,5.526458640098571,4.827343573570252,4.611472458839416,4.56766499042511,4.767529258728027,4.672587175369262,5.450988569259644,5.128007445335388,4.927059593200684,4.862502384185791,5.0784218215942385,4.461018195152283,4.795933713912964,5.037229237556457,4.968836512565613,5.3443501806259155,4.791059641838074,5.012098708152771,4.983687906265259,4.824876194000244,3.9785311651229858,4.838385596275329,4.912336826324463,5.3660422706604,5.60088077545166,5.769526791572571,4.602257866859436,4.9122026252746585,5.040069918632508,4.228728408813477,5.150387477874756,5.384716210365295,4.996153311729431,4.420288901329041,4.831145100593567,4.924373722076416,5.223729948997498,5.566229786872864,5.388755226135254,5.212861242294312,5.285057759284973,4.472934784889222,5.58080765247345,4.746983003616333,5.451314635276795,4.6595499181747435,4.942474465370179,5.202836480140686,4.7734713459014895,4.722285747528076,4.806873121261597,5.354241523742676,4.81278124332428,4.772773070335388,5.2910163736343385,5.148242373466491,4.749705400466919,5.041470265388488,5.1837899875640865,5.7609578180313115,5.19159966468811,4.731513805389405,4.468457531929016,5.369587826728821,5.185761017799377,5.703249621391296,5.151024103164673,5.032685136795044,4.684809756278992,5.035994386672973,5.313662133216858,4.8854994964599605,4.946936922073364,4.769912571907043,4.292097387313842,4.957984943389892,5.061541409492492,4.981635136604309,5.0524196434021,5.387120537757873,4.597881455421447,4.985180592536926,5.072835192680359,4.902336664199829,5.344860253334045,4.610757365226745,5.026313891410828,4.655631880760193,4.864408655166626,5.239376659393311,4.849288415908814,5.210270648002624,6.079599738121033,4.968660817146302,4.517956833839417,4.774796924591064,4.940890069007874,4.18401332616806,4.921905531883239,5.007646546363831,4.599291081428528,5.771841187477111,5.271092324256897,4.837549595832825
layer_6,4.666198959350586,4.1739532995224,4.805821208953858,4.77334466457367,5.780241370201111,4.405802326202393,4.967526330947876,5.367682852745056,5.0723961019515995,5.389860377311707,5.989896864891052,4.825047035217285,4.9055002450942995,5.152375035285949,5.880809717178344,4.590071668624878,4.029696574211121,4.98906455039978,4.633612086772919,4.804028949737549,4.610266251564026,5.021362257003784,4.798607697486878,6.143454422950745,5.075270352363586,5.226628046035767,5.142021164894104,4.568626580238342,5.163620414733887,4.422633557319641,5.082511105537415,4.51150908946991,5.001655430793762,5.037821540832519,5.626404500007629,5.091839590072632,6.250302305221558,4.6469286966323855,6.437776937484741,5.533053798675537,4.308463187217712,5.207249331474304,6.306282505989075,5.40611955165863,4.669193081855774,4.712183923721313,5.4349498414993285,5.267370328903199,5.036831340789795,5.0979496717453,4.805855431556702,4.8959115839004514,6.139558873176575,4.882829184532166,5.418041362762451,4.838333606719971,5.352626557350159,5.1663162136077885,4.726031432151794,4.732814798355102,4.734030904769898,5.566794214248657,4.147074048519134,6.281633172035217,5.47941246509552,5.238729639053345,4.334965221881866,5.079137072563172,4.591559739112854,4.501657280921936,4.996360259056091,4.607698850631714,4.9655089902877805,4.564570269584656,4.313677732944488,6.058864860534668,4.441838815212249,5.074869546890259,4.698932342529297,5.476701731681824,4.757501564025879,4.499045491218567,4.446453680992127,5.400269136428833,4.9841280364990235,6.042360420227051,4.731799311637879,5.179304575920105,5.026998863220215,5.5151376008987425,5.356439414024353,4.330678019523621,4.4960266613960265,5.831989393234253,5.081739907264709,4.875680227279663,5.678530440330506,5.143982148170471,5.595072946548462,4.952232007980347,5.614108347892762,4.684018149375915,4.416071796417237,4.8979746437072755,4.5882630538940425,5.707687783241272,4.744482145309449,4.96177426815033,5.11253125667572,5.262273030281067,5.93955159664154,4.7290163373947145,4.974465804100037,4.7963099813461305,5.187005858421326,5.5419655036926265,4.7743523931503296,5.100400867462159,4.85210129737854,4.5928612804412845,5.334615869522095,5.212729749679565,5.2558121538162235,5.220752811431884,5.128095426559448,5.866773781776428,4.781489591598511,5.703369250297547
layer_7,4.479441418647766,5.3326001691818234,5.503085517883301,5.197860083580017,5.190930328369141,5.745266556739807,5.1076456689834595,4.458707575798035,4.915435943603516,4.943634386062622,5.446635565757751,4.956903762817383,5.590935282707214,4.6055454564094545,5.153250079154969,4.713655667304993,5.2530712890625,4.441288497447967,4.821743044853211,4.8527255153656,6.674876427650451,5.954717698097229,4.925796365737915,4.2473451089859005,5.024088678359985,4.834703259468078,6.337824530601502,5.1701716041564945,5.264471526145935,4.881021409034729,4.5344324517250065,5.652712488174439,4.776842064857483,5.7210584735870365,5.125472540855408,4.49290168762207,5.087847208976745,4.787933712005615,5.387162971496582,5.363945841789246,5.379238572120666,4.54535982131958,4.657681741714478,5.044211211204529,4.711285886764526,5.474590902328491,5.0933434200286865,4.995419421195984,6.495785593986511,5.756151390075684,5.622040224075318,6.0424402761459355,4.853071765899658,5.168828597068787,4.605862374305725,4.732108116149902,4.664140839576721,4.681781501770019,5.105321450233459,5.2102529191970826,5.613757514953614,5.418952350616455,5.100579538345337,4.5145212531089784,4.618843426704407,4.5087284755706785,5.162509660720826,4.903927917480469,5.267699971199035,5.885010447502136,4.828428907394409,4.464331903457642,4.865653796195984,6.109602670669556,4.985243310928345,4.966118965148926,5.04465955734253,4.768892321586609,4.680414938926697,4.919883689880371,4.812065925598144,5.322918128967285,4.784819989204407,3.9633286714553835,5.391097846031189,5.099437804222107,5.117226452827453,5.0641907119750975,5.620926280021667,4.77762318611145,4.358582534790039,5.129650545120239,4.232179913520813,5.677896537780762,4.701724848747253,5.34608036518097,5.505437226295471,4.953547277450562,5.18312605381012,4.911599626541138,5.335775723457337,4.7408010244369505,5.2920795965194705,4.851997303962707,4.721746339797973,4.869545044898987,5.35158866405487,4.151773483753204,5.249904909133911,4.7383185434341435,6.458438582420349,4.95002019405365,5.139397864341736,4.803101234436035,4.5589741468429565,5.215812578201294,5.047135176658631,4.551085453033448,4.747268304824829,4.897515811920166,4.964152526855469,5.1376363563537595,4.601836738586425,4.967225613594056,5.100671138763428,5.0241772127151485,4.524453408718109,4.632360939979553
layer_8,5.020657448768616,4.550236978530884,4.910574812889099,5.153126368522644,4.780803360939026,5.698972330093384,4.999645113945007,5.069394555091858,5.982999382019043,5.040167570114136,4.996932845115662,5.104434084892273,5.244181265830994,5.072977318763733,5.733059568405151,5.133032040596008,4.98009316444397,5.284608960151672,4.875591921806335,5.083627791404724,5.048326587677002,4.299418194293976,5.566382894515991,4.511902070045471,5.051256437301635,5.016217994689941,5.298375110626221,5.063574342727661,4.668220019340515,4.784445242881775,5.178051314353943,5.048676805496216,5.41147054195404,6.1208892869949345,4.442995910644531,5.589087796211243,5.940590524673462,5.989887557029724,4.297105519771576,5.260985760688782,4.972670192718506,4.8028292036056515,5.202462792396545,4.557740659713745,5.881813406944275,5.278961224555969,5.343593540191651,6.100252895355225,5.180642051696777,4.991776866912842,4.698108611106872,5.189726634025574,5.394859366416931,5.017608857154846,5.13366593837738,5.022855577468872,5.681397294998169,4.8213095426559445,4.1736444878578185,5.58926146030426,4.898936200141907,5.758477749824524,5.120457906723022,4.710402064323425,5.24283420085907,4.7997670030593875,4.504445056915284,4.523626465797424,4.558641216754913,5.263310809135437,5.569854760169983,4.401426606178283,4.5030319786071775,4.582440786361694,5.052382378578186,5.157473254203796,4.991020240783691,4.769087409973144,4.159671943187714,5.770604248046875,6.208170962333679,4.758920407295227,5.1295796442031865,4.8003661870956424,5.630036659240723,5.227935733795166,6.2316560506820675,4.833606252670288,5.142531051635742,4.825697503089905,5.62874165058136,4.832861022949219,4.958284316062927,4.878773593902588,4.6946972417831425,6.227320280075073,4.782078938484192,4.576285862922669,4.752952203750611,5.07726031780243,5.2740488576889035,4.9440325736999515,4.632595067024231,5.730541024208069,5.044548163414001,6.158992490768433,5.49572603225708,3.9571120071411134,5.391565327644348,5.111899199485779,5.723401255607605,5.39700484752655,4.83161566734314,5.465266613960266,5.2597462892532345,5.7035685777664185,4.9892380332946775,5.311310591697693,5.5337418270111085,4.442247891426087,4.995907464027405,5.584946956634521,6.042337622642517,4.77272020816803,5.474927163124084,4.44742826461792,4.80325553894043,4.114680101871491
layer_9,5.466492638587952,6.583623957633972,5.0004876470565796,4.591398782730103,5.073471841812133,4.633147330284118,5.179408483505249,5.010936522483826,5.037840948104859,5.337713437080383,4.883195257186889,5.04719087600708,4.921740789413452,4.9923391962051396,5.175338778495789,5.100741920471191,5.111587796211243,5.493299870491028,4.95918978691101,4.672548761367798,5.847798748016357,5.255824313163758,5.84354489326477,5.235474400520324,5.820408306121826,5.2508788633346555,4.899045886993409,4.023380088806152,4.357939176559448,4.467048954963684,4.8117911243438725,4.908316707611084,4.933789672851563,6.086874914169312,5.216072554588318,5.854622454643249,4.418813452720642,5.238599276542663,5.154620442390442,5.084199032783508,4.719785509109497,4.864611954689026,4.5435875177383425,4.757715363502502,4.830707597732544,5.31724404335022,4.703371257781982,5.187443037033081,5.119923348426819,5.969336128234863,4.817236590385437,4.719438390731812,5.872131462097168,5.309337472915649,4.318276381492614,5.32464569568634,5.345066132545472,5.203070449829101,4.8467940330505375,4.649165625572205,5.4161191749572755,4.487840466499328,5.46246102809906,5.304096651077271,4.784651689529419,6.040379014015198,5.185207424163818,5.317782568931579,4.86257107257843,4.945131630897522,5.084777460098267,6.1683897161483765,4.862004709243775,4.771165781021118,4.30712064743042,4.7588188314437865,5.2557252454757695,4.922231297492981,5.100650072097778,4.937514367103577,5.774662475585938,5.0644692611694335,5.105721249580383,4.74708179473877,5.766366467475891,4.800049695968628,4.7049629545211795,4.980039162635803,4.827763848304748,4.961782445907593,4.553620853424072,4.81171407699585,4.832117195129395,4.572495288848877,4.818728194236756,4.900085544586181,5.747382836341858,6.3478777933120725,4.920565299987793,5.741337299346924,5.0462978029251095,5.022127103805542,5.187830233573914,5.84024432182312,4.939892106056213,4.9631168031692505,4.5946104621887205,4.774031052589416,4.504406089782715,5.030380926132202,5.48045705318451,5.109085788726807,4.88789059638977,5.885779299736023,4.837272663116455,5.260425429344178,5.232588791847229,4.6827544546127315,5.6612022638320925,5.068303532600403,4.77261905670166,4.327889151573181,5.051649441719055,5.2996019983291625,5.613121581077576,5.031335401535034,4.905774993896484,5.869565734863281
